state,stateName,anyPosData,anyDeathData,unknownRaceEthPos,unknownRaceEthDeath,knownRaceEthPos,knownRaceEthDeath,blackPositives,blackDeaths,blackPctPop,blackPctPos,blackPctDeath,blackPosDispFlag,blackDeathDispFlag,blackPosCaution,blackDeathCaution,blackANHPIPosNotes,blackPosNotes,blackANHPIDeathNotes,blackDeathNotes,asianPositives,asianDeaths,asianPctPop,asianPctPos,asianPctDeath,asianPosDispFlag,asianDeathDispFlag,asianPosCaution,asianDeathCaution,asianANHPIPosNotes,asianANHPIDeathNotes,asianPosNotes,asianDeathNotes,aianPositives,aianDeaths,aianANHPIPosNotes,aianPctPop,aianANHPIDeathNotes,aianPctPos,aianPctDeath,aianPosDispFlag,aianDeathDispFlag,aianPosCaution,aianDeathCaution,aianPosNotes,aianDeathNotes,nhpiPositives,nhpiDeaths,nhpiPctPop,nhpiPctPos,nhpiPctDeath,nhpiPosDispFlag,nhpiDeathDispFlag,nhpiPosCaution,nhpiDeathCaution,nhpiANHPIPosNotes,nhpiPosNotes,nhpiDeathNotes,nhpiANHPIDeathNotes,twoPositives,twoDeaths,twoPctPop,twoPctPos,twoPctDeath,twoPosDispFlag,twoDeathDispFlag,twoANHPIPosNotes,twoPosCaution,twoDeathCaution,twoANHPIDeathNotes,twoPosNotes,twoDeathNotes,whitePositives,whiteDeaths,whitePctPop,whitePctPos,whitePctDeath,whitePosDispFlag,whiteDeathDispFlag,whitePosCaution,whiteDeathCaution,whiteANHPIPosNotes,whiteANHPIDeathNotes,whitePosNotes,whiteDeathNotes,otherPositives,otherDeaths,otherPctPop,otherPctPos,otherPctDeath,otherPosDispFlag,otherDeathDispFlag,otherANHPIPosNotes,otherANHPIDeathNotes,otherPosCaution,otherDeathCaution,otherPosNotes,otherDeathNotes,latinXPositives,latinXDeaths,latinXPctPop,latinXPctPos,latinXPctDeath,latinXPosDispFlag,latinXDeathDispFlag,latinXPosCaution,latinXDeathCaution,latinXANHPINotes,latinXPosNotes,latinXDeathNotes,blackPosPercap,blackDeathPercap,asianPosPercap,asianDeathPercap,aianPosPercap,aianDeathPercap,nhpiPosPercap,nhpiDeathPercap,twoPosPercap,twoDeathPercap,whitePosPercap,whiteDeathPercap,otherPosPercap,otherDeathPercap,latinXPosPercap,latinXDeathPercap
AZ,Arizona,true,true,0.3389,0.1179,0.6611,0.8821,6074,156,0.0413,0.0453,0.0349,false,false,false,false,,,,,1857,57,0.0320,0.0138,0.0128,false,false,true,true,"Arizona reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.","Arizona reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,11972,542,,0.0391,,0.0893,0.1213,true,true,false,false,,,,,0.0018,,,false,false,true,true,"Arizona reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,"Arizona reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,0.0223,,,false,false,,true,true,,"Arizona does not specify if this race category is included under a grouping it labels ""Other, non-Hispanic""","Arizona does not specify if this race category is included under a grouping it labels ""Other, non-Hispanic""",46989,1845,0.5507,0.3504,0.4129,false,false,false,false,,,,,5999,83,0.0013,0.0447,0.0186,false,false,,,true,true,"Arizona does not specify if this race category is included under a grouping it labels ""Other, non-Hispanic""","Arizona does not specify if this race category is included under a grouping it labels ""Other, non-Hispanic""",61219,1526,0.3114,0.4565,0.3415,false,false,false,false,,,,21.2,0.5,8.3,0.3,44.0,2.0,,,,,12.3,0.5,653.7,9.0,28.3,0.7
CA,California,true,true,0.3334,0.0276,0.6666,0.9724,20245,996,0.0553,0.0427,0.0778,false,true,false,false,,,,,25812,1504,0.1411,0.0544,0.1175,false,false,false,false,,,,,1174,41,,0.0035,,0.0025,0.0032,false,false,false,false,,,2664,56,0.0035,0.0056,0.0044,false,false,false,false,,,,,4377,77,0.0298,0.0092,0.0060,false,false,,false,false,,,,80166,3773,0.3754,0.1689,0.2948,false,false,false,false,,,,,55505,147,0.0025,0.1169,0.0115,false,false,,,false,false,,,284716,6206,0.3888,0.5998,0.4848,true,false,false,false,,,,9.4,0.5,4.7,0.3,8.5,0.3,19.2,0.4,3.8,0.1,5.5,0.3,567.8,1.5,18.7,0.4
CO,Colorado,true,true,0.1485,0.0178,0.8515,0.9822,2750,120,0.0392,0.0557,0.0659,true,true,false,false,,,,,1166,58,0.0307,0.0236,0.0319,false,false,false,false,,,,,324,13,,0.0054,,0.0066,0.0071,false,false,false,false,,,226,5,0.0014,0.0046,0.0027,false,false,false,false,,,,,794,25,0.0242,0.0161,0.0137,false,false,,false,false,,,,21455,1164,0.6831,0.4343,0.6396,false,false,false,false,,,,,475,7,0.0019,0.0096,0.0038,false,false,,,false,false,,,22203,423,0.2142,0.4494,0.2324,true,false,false,false,,,,12.7,0.6,6.9,0.3,10.8,0.4,30.2,0.7,5.9,0.2,5.7,0.3,45.9,0.7,18.7,0.4
CT,Connecticut,true,true,0.2968,0.0092,0.7032,0.9908,7040,659,0.0982,0.1885,0.1489,true,true,false,false,,,,,772,48,0.0439,0.0207,0.0108,false,false,true,true,"Connecticut reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.","Connecticut reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,52,2,,0.0015,,0.0014,0.0005,false,false,false,false,,,,,0.0002,,,false,false,true,true,"Connecticut reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,"Connecticut reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",192,35,0.0207,0.0051,0.0079,false,false,,false,false,,,,18651,3265,0.6753,0.4995,0.7377,false,false,false,false,,,,,348,21,0.0032,0.0093,0.0047,false,false,,,false,false,,,10288,396,0.1569,0.2755,0.0895,true,false,false,false,,,,20.0,1.9,4.9,0.3,9.8,0.4,,,2.6,0.5,7.7,1.3,30.5,1.8,18.3,0.7
DE,Delaware,true,true,0.0821,0.0429,0.9179,0.9571,4598,155,0.2156,0.2854,0.2672,false,false,false,false,,,,,230,1,0.0384,0.0143,0.0017,false,false,true,true,"Delaware reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.","Delaware reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,,,,0.0030,,,,false,false,true,true,"Delaware does not specify if this race category is included under a grouping it labels ""Another/Multiple.""","Delaware does not specify if this race category is included under a grouping it labels ""Another/Multiple.""",,,0.0003,,,false,false,true,true,"Delaware reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,"Delaware reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,0.0226,,,false,false,,true,true,,"Delaware does not specify if this race category is included under a grouping it labels ""Another/Multiple.""","Delaware does not specify if this race category is included under a grouping it labels ""Another/Multiple.""",6192,371,0.6273,0.3844,0.6397,false,false,false,false,,,,,817,9,0.0019,0.0507,0.0155,false,false,,,true,true,"Delaware does not specify if this race category is included under a grouping it labels ""Another/Multiple.""","Delaware does not specify if this race category is included under a grouping it labels ""Another/Multiple.""",4271,44,0.0909,0.2651,0.0759,true,false,false,false,,,,22.5,0.8,6.3,0.0,,,,,,,10.4,0.6,452.9,5.0,49.5,0.5
GA,Georgia,true,true,0.2972,0.0072,0.7028,0.9928,70480,2471,0.3103,0.3652,0.4295,false,true,false,false,,,,,3899,102,0.0388,0.0202,0.0177,false,false,false,false,,,,,163,5,,0.0018,,0.0008,0.0009,false,false,false,false,,,287,8,0.0005,0.0015,0.0014,false,false,false,false,,,,,,,0.0198,,,false,false,,true,true,,"Georgia includes this race category under a grouping it labels ""Multiracial/Other.""","Georgia includes this race category under a grouping it labels ""Multiracial/Other.""",75370,2798,0.5318,0.3905,0.4864,false,false,false,false,,,,,7573,15,0.0030,0.0392,0.0026,false,false,,,true,true,"Georgia includes this race category under a grouping it labels ""Multiracial/Other.""","Georgia includes this race category under a grouping it labels ""Multiracial/Other.""",35229,354,0.0940,0.1825,0.0615,true,false,false,false,,,,22.1,0.8,9.8,0.3,8.9,0.3,56.6,1.6,,,13.8,0.5,249.2,0.5,36.4,0.4
IL,Illinois,true,true,0.2481,0.0419,0.7519,0.9581,35497,2155,0.1401,0.1964,0.2710,true,true,false,false,,,,,5643,371,0.0535,0.0312,0.0467,false,false,false,false,,,,,319,12,,0.0012,,0.0018,0.0015,false,false,false,false,,,468,9,0.0002,0.0026,0.0011,false,false,false,false,,,,,,,0.0182,,,false,false,,true,true,,"Illinois does not specify if this race category is included under a grouping it labels ""Other.""","Illinois does not specify if this race category is included under a grouping it labels ""Other.""",64534,3716,0.6157,0.3571,0.4673,false,false,false,false,,,,,8786,53,0.0016,0.0486,0.0067,false,false,,,true,true,"Illinois does not specify if this race category is included under a grouping it labels ""Other.""","Illinois does not specify if this race category is included under a grouping it labels ""Other.""",65466,1636,0.1696,0.3623,0.2057,true,false,false,false,,,,19.8,1.2,8.2,0.5,21.2,0.8,151.6,2.9,,,8.2,0.5,437.0,2.6,30.1,0.8
MA,Massachusetts,true,true,0.2898,0.0063,0.7102,0.9937,11648,744,0.0679,0.1354,0.0826,true,false,false,false,,,,,2612,229,0.0645,0.0304,0.0254,false,false,false,false,,,,,,,,0.0013,,,,false,false,true,true,"Massachusetts does not specify if this race category is included under a grouping it labels ""Non-Hispanic Other.""","Massachusetts does not specify if this race category is included under a grouping it labels ""Non-Hispanic Other.""",,,0.0002,,,false,false,true,true,,"Massachusetts does not specify if this race category is included under a grouping it labels ""Non-Hispanic Other.""","Massachusetts does not specify if this race category is included under a grouping it labels ""Non-Hispanic Other.""",,,,0.0209,,,false,false,,true,true,,"Massachusetts does not specify if this race category is included under a grouping it labels ""Non-Hispanic Other.""","Massachusetts does not specify if this race category is included under a grouping it labels ""Non-Hispanic Other.""",37870,6831,0.7219,0.4402,0.7587,false,false,false,false,,,,,7323,571,0.0078,0.0851,0.0634,false,false,,,true,true,"Massachusetts does not specify if this race category is included under a grouping it labels ""Non-Hispanic Other.""","Massachusetts does not specify if this race category is included under a grouping it labels ""Non-Hispanic Other.""",26579,628,0.1155,0.3089,0.0698,true,false,false,false,,,,25.1,1.6,5.9,0.5,,,,,,,7.7,1.4,137.5,10.7,33.7,0.8
MD,Maryland,true,true,0.1504,0.0032,0.8496,0.9968,35232,1543,0.2931,0.3793,0.4110,false,true,false,false,,,,,2082,139,0.0620,0.0224,0.0370,false,false,false,false,,,,,,,,0.0018,,,,false,false,true,true,"Maryland does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""","Maryland does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""",,,0.0004,,,false,false,true,true,,"Maryland does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""","Maryland does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""",,,,0.0276,,,false,false,,true,true,,"Maryland does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""","Maryland does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""",25541,1600,0.5139,0.2750,0.4262,false,false,false,false,,,,,5069,39,0.0032,0.0546,0.0104,false,false,,,true,true,"Maryland does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""","Maryland does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""",24952,433,0.0981,0.2687,0.1153,true,false,false,false,,,,20.0,0.9,5.6,0.4,,,,,,,8.3,0.5,261.7,2.0,42.4,0.7
MS,Mississippi,true,true,0.1515,0.0170,0.8485,0.9830,34137,1187,0.3753,0.4769,0.4781,false,false,false,false,,,,,287,4,0.0094,0.0040,0.0016,false,false,false,false,,,,,1245,84,,0.0043,,0.0174,0.0338,true,true,false,false,,,,,0.0002,,,false,false,true,true,,"Mississippi does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""","Mississippi does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""",,,,0.0117,,,false,false,,true,true,,"Mississippi does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""","Mississippi does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""",28100,1138,0.5678,0.3926,0.4583,false,false,false,false,,,,,5308,35,0.0010,0.0742,0.0141,false,false,,,true,true,"Mississippi does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""","Mississippi does not specify if this race category is included under a grouping it labels ""Other (Non-Hispanic).""",2503,35,0.0303,0.0350,0.0141,false,false,false,false,,,,30.4,1.1,10.2,0.1,95.8,6.5,,,,,16.6,0.7,1857.2,12.2,27.7,0.4
