state,stateName,anyPosData,posRaceData,posEthData,anyDeathData,deathRaceData,deathEthData,unknownRacePos,unknownRaceDeath,knownRacePos,knownRaceDeath,unknownEthPos,unknownEthDeath,knownEthPos,knownEthDeath,blackPositives,blackDeaths,blackPctPop,blackPctPos,blackPctDeath,blackPosDispFlag,blackDeathDispFlag,blackPosCaution,blackDeathCaution,blackANHPIPosNotes,blackANHPIDeathNotes,blackPosNotes,blackDeathNotes,blackSpecialCaseNotes,asianPositives,asianDeaths,asianPctPop,asianPctPos,asianPctDeath,asianPosDispFlag,asianDeathDispFlag,asianPosCaution,asianDeathCaution,asianANHPIPosNotes,asianANHPIDeathNotes,asianPosNotes,asianDeathNotes,asianSpecialCaseNotes,aianPositives,aianDeaths,aianPctPop,aianPctPos,aianPctDeath,aianPosDispFlag,aianDeathDispFlag,aianPosCaution,aianDeathCaution,aianANHPIPosNotes,aianANHPIDeathNotes,aianPosNotes,aianDeathNotes,aianSpecialCaseNotes,nhpiPositives,nhpiDeaths,nhpiPctPop,nhpiPctPos,nhpiPctDeath,nhpiPosDispFlag,nhpiDeathDispFlag,nhpiPosCaution,nhpiDeathCaution,nhpiANHPIPosNotes,nhpiANHPIDeathNotes,nhpiPosNotes,nhpiDeathNotes,nhpiSpecialCaseNotes,twoPositives,twoDeaths,twoPctPop,twoPctPos,twoPctDeath,twoPosDispFlag,twoDeathDispFlag,twoPosCaution,twoDeathCaution,twoANHPIPosNotes,twoANHPIDeathNotes,twoPosNotes,twoDeathNotes,twoSpecialCaseNotes,whitePositives,whiteDeaths,whitePctPop,whitePctPos,whitePctDeath,whitePosDispFlag,whiteDeathDispFlag,whitePosCaution,whiteDeathCaution,whiteANHPIPosNotes,whiteANHPIDeathNotes,whitePosNotes,whiteDeathNotes,whiteSpecialCaseNotes,otherPositives,otherDeaths,otherPctPop,otherPctPos,otherPctDeath,otherPosDispFlag,otherDeathDispFlag,otherPosCaution,otherDeathCaution,otherANHPIPosNotes,otherANHPIDeathNotes,otherPosNotes,otherDeathNotes,otherSpecialCaseNotes,latinXPositives,latinXDeaths,latinXPctPop,latinXPctPos,latinXPctDeath,latinXPosDispFlag,latinXDeathDispFlag,latinXPosCaution,latinXDeathCaution,latinXANHPIPosNotes,latinXANHPIDeathNotes,latinXPosNotes,latinXDeathNotes,latinXSpecialCaseNotes,nonhispanicPositives,nonhispanicDeaths,nonhispanicPctPop,nonhispanicPctPos,nonhispanicPctDeath,nonhispanicPosDispFlag,nonhispanicDeathDispFlag,nonhispanicPosCaution,nonhispanicDeathCaution,nonhispanicANHPIPosNotes,nonhispanicANHPIDeathNotes,nonhispanicPosNotes,nonhispanicDeathNotes,nonhispanicSpecialCaseNotes,blackPosPercap,blackDeathPercap,asianPosPercap,asianDeathPercap,aianPosPercap,aianDeathPercap,nhpiPosPercap,nhpiDeathPercap,twoPosPercap,twoDeathPercap,whitePosPercap,whiteDeathPercap,otherPosPercap,otherDeathPercap,latinXPosPercap,latinXDeathPercap
AK,Alaska,true,true,true,true,true,true,0.4798,0.0270,0.5202,0.9730,0.5861,0.0270,0.4139,0.9730,209,0,0.0327,0.0660,0.0000,true,false,false,false,,,,,,145,3,0.0630,0.0458,0.0833,false,false,false,false,,,,,,816,13,0.1444,0.2577,0.3611,false,false,false,false,,,,,,219,5,0.0120,0.0692,0.1389,true,false,false,false,,,,,,171,0,0.0149,0.0540,0.0000,true,false,false,false,,,,,,1425,15,0.6484,0.4501,0.4167,false,false,false,false,,,,,,181,0,0.0846,0.0572,0.0000,false,false,false,false,,,,,,357,0,0.0693,0.1417,0.0000,false,false,false,false,,,,,,2162,36,0.9307,0.8583,1.0000,false,false,false,false,,,,,,8.7,0.0,3.1,0.1,7.7,0.1,24.7,0.6,2.7,0.0,3.0,0.0,16.4,0.0,6.7,0.0
AL,Alabama,true,true,true,true,true,true,0.3931,0.0791,0.6069,0.9209,0.4994,0.1610,0.5006,0.8390,30604,837,0.2658,0.4026,0.4204,false,true,false,false,,,,,,454,6,0.0133,0.0060,0.0030,false,false,false,false,,,,,,,,0.0053,,,false,false,true,true,,,"Alabama does not specify if this race category is included under a grouping it labels ""Other.""","Alabama does not specify if this race category is included under a grouping it labels ""Other.""",,,,0.0004,,,false,false,true,true,,,"Alabama does not specify if this race category is included under a grouping it labels ""Other.""","Alabama does not specify if this race category is included under a grouping it labels ""Other.""",,,,0.0188,,,false,false,true,true,,,"Alabama does not specify if this race category is included under a grouping it labels ""Other.""","Alabama does not specify if this race category is included under a grouping it labels ""Other.""",,37708,1101,0.6819,0.4961,0.5530,false,false,false,false,,,,,,7255,46,0.0144,0.0954,0.0231,false,false,true,true,,,"Alabama does not specify if this race category is included under a grouping it labels ""Other.""","Alabama does not specify if this race category is included under a grouping it labels ""Other.""",,7033,61,0.0418,0.1122,0.0336,true,false,false,false,,,,,,55665,1752,0.9582,0.8880,0.9658,false,false,false,false,,,,,,23.7,0.6,7.0,0.1,,,,,,,11.4,0.3,103.6,0.7,33.3,0.3
AR,Arkansas,true,true,true,true,true,true,0.0836,0.0026,0.9164,0.9974,0.0836,0.0026,0.9164,0.9974,13549,189,0.1541,0.2429,0.2417,true,true,false,false,,,,,,814,11,0.0147,0.0146,0.0141,false,false,false,false,,,,,,186,3,0.0067,0.0033,0.0038,false,false,false,false,,,,,,2366,39,0.0027,0.0424,0.0499,true,true,false,false,,,,,,,,0.0264,,,false,false,true,true,,,"Arkansas does not specify if this race category is included under a grouping it labels ""Other.""","Arkansas does not specify if this race category is included under a grouping it labels ""Other.""",,33660,495,0.7700,0.6036,0.6330,false,false,false,false,,,,,,5195,45,0.0254,0.0932,0.0575,false,false,true,true,,,"Arkansas does not specify if this race category is included under a grouping it labels ""Other.""","Arkansas does not specify if this race category is included under a grouping it labels ""Other.""",,13227,62,0.0732,0.2173,0.0793,true,false,false,false,,,,,,47629,720,0.9268,0.7827,0.9207,false,false,false,false,,,,,,29.4,0.4,18.5,0.3,9.3,0.1,296.9,4.9,,,14.6,0.2,65.8,0.6,57.4,0.3
DC,District of Columbia,true,true,true,true,true,true,0.0188,0.0000,0.9812,1.0000,0.0913,0.0000,0.9087,1.0000,7177,451,0.4694,0.5240,0.7442,false,true,false,false,,,,,,216,8,0.0390,0.0158,0.0132,false,false,false,false,,,,,,33,,0.0029,0.0024,,false,false,false,true,,,,"For death data, District of Columbia does not specify if this category is included under a grouping it labels ""Other.""",,38,,0.0005,0.0028,,false,false,false,true,,,,"For death data, District of Columbia does not specify if this category is included under a grouping it labels ""Other.""",,,,0.0490,,,false,false,true,true,,,"For case data, District of Columbia includes this category under a grouping it labels ""Other/Multiracial.""","For death data, District of Columbia does not specify if this category is included under a grouping it labels ""Other.""",,2969,64,0.4097,0.2168,0.1056,false,false,false,false,,,,,,3264,6,0.0294,0.2383,0.0099,false,false,true,true,,,"For case data, District of Columbia includes this category under a grouping it labels ""Other/Multiracial.""","For death data, District of Columbia does not specify if this category is included under a grouping it labels ""Other.""",,3643,77,0.1092,0.2872,0.1271,true,false,false,false,,,,,,9041,529,0.8908,0.7128,0.8729,false,false,false,false,,,,,,22.3,1.4,8.1,0.3,16.6,,111.8,,,,10.6,0.2,97.4,0.2,46.0,1.0
FL,Florida,true,true,true,true,true,true,0.2734,0.0552,0.7266,0.9448,0.3408,0.1111,0.6592,0.8889,91537,2101,0.1610,0.2027,0.1974,false,false,false,false,,,,,,,,0.0271,,,false,false,true,true,,,"Florida includes this race category under a grouping it labels ""Other.""","Florida includes this race category under a grouping it labels ""Other.""",,,,0.0028,,,false,false,true,true,,,"Florida includes this race category under a grouping it labels ""Other.""","Florida includes this race category under a grouping it labels ""Other.""",,,,0.0006,,,false,false,true,true,,,"Florida includes this race category under a grouping it labels ""Other.""","Florida includes this race category under a grouping it labels ""Other.""",,,,0.0282,,,false,false,true,true,,,"Florida includes this race category under a grouping it labels ""Other.""","Florida includes this race category under a grouping it labels ""Other.""",,144928,5337,0.7539,0.3209,0.5016,false,false,false,false,,,,,,38736,467,0.0263,0.0858,0.0439,false,false,true,true,,,"Florida includes this race category under a grouping it labels ""Other.""","Florida includes this race category under a grouping it labels ""Other.""",,176458,2736,0.2517,0.4307,0.2733,true,false,false,false,,,,,,233278,7276,0.7483,0.5693,0.7267,false,false,false,false,,,,,,27.6,0.6,,,,,,,,,9.3,0.3,66.8,0.8,31.7,0.5
GU,Guam,true,true,false,false,false,false,0.2487,1.0000,0.7513,0.0000,1.0000,1.0000,0.0000,0.0000,,,,,,false,false,true,true,,,,,Census does not provide race or ethnicity information for Guam. ,242,,,0.2391,,false,false,true,true,,,,,Census does not provide race or ethnicity information for Guam. ,,,,,,false,false,true,true,,,,,Census does not provide race or ethnicity information for Guam. ,461,,,0.4555,,false,false,true,true,,,,,Census does not provide race or ethnicity information for Guam. ,,,,,,false,false,true,true,,,,,Census does not provide race or ethnicity information for Guam. ,192,,,0.1897,,false,false,true,true,,,,,Census does not provide race or ethnicity information for Guam. ,117,,,0.1156,,false,false,true,true,,,,,Census does not provide race or ethnicity information for Guam. ,,,,,,false,false,true,true,,,,,Census does not provide race or ethnicity information for Guam. ,,,,,,false,false,true,true,,,,,Census does not provide race or ethnicity information for Guam. ,,,,,,,,,,,,,,,,
HI,Hawaii,true,true,false,false,false,false,0.5649,1.0000,0.4351,0.0000,1.0000,1.0000,0.0000,0.0000,53,,0.0185,0.0146,,false,false,false,false,,,,,,1367,,0.3775,0.3768,,false,false,false,false,,,,,,,,0.0021,,,false,false,true,false,,,"Hawaii does not specify if this race category is included under a grouping it labels ""Other.""",,,1518,,0.1008,0.4184,,true,false,false,false,,,,,,,,0.0108,,,false,false,true,false,,,"Hawaii does not specify if this race category is included under a grouping it labels ""Other.""",,,536,,0.2501,0.1477,,false,false,false,false,,,,,,154,,0.2403,0.0424,,false,false,true,false,,,"Hawaii does not specify if this race category is included under a grouping it labels ""Other.""",,,,,0.1040,,,false,false,false,false,,,,,,,,0.8960,,,false,false,false,false,,,,,,2.0,,2.5,,,,10.6,,,,1.5,,10.1,,,
IA,Iowa,true,true,true,true,true,true,0.1782,0.1025,0.8218,0.8975,0.1782,0.1097,0.8218,0.8903,4508,41,0.0351,0.0843,0.0411,true,false,false,false,,,,,,2576,25,0.0240,0.0482,0.0251,true,false,false,false,,,,,,644,5,0.0037,0.0120,0.0050,true,false,false,false,,,,,,644,12,0.0010,0.0120,0.0120,true,false,false,false,,,,,,,,0.0125,,,false,false,true,true,,,"Iowa includes this race category is included under a grouping it labels ""Other.""","Iowa includes this race category is included under a grouping it labels ""Other.""",,43796,908,0.9028,0.8193,0.9098,false,false,false,false,,,,,,1288,5,0.0210,0.0241,0.0050,false,false,true,true,,,"Iowa includes this race category is included under a grouping it labels ""Other.""","Iowa includes this race category is included under a grouping it labels ""Other.""",,10304,67,0.0585,0.1928,0.0677,true,false,false,false,,,,,,43152,921,0.9415,0.8072,0.9303,false,false,false,false,,,,,,41.0,0.4,34.3,0.3,55.8,0.4,205.8,3.8,,,15.5,0.3,32.9,0.1,53.8,0.3
ID,Idaho,true,true,true,true,true,true,0.3461,0.0251,0.6539,0.9749,0.4704,0.0223,0.5296,0.9777,329,4,0.0068,0.0158,0.0114,true,false,false,false,,,,,,233,2,0.0141,0.0112,0.0057,false,false,false,false,,,,,,370,2,0.0135,0.0178,0.0057,false,false,false,false,,,,,,87,,0.0016,0.0042,,false,false,false,false,,,,,,1115,,0.0315,0.0535,,true,false,false,false,,,,,,15318,337,0.9049,0.7351,0.9629,false,false,false,false,,,,,,3386,5,0.0276,0.1625,0.0143,false,false,false,false,,,,,,5752,44,0.1239,0.3408,0.1254,true,false,false,false,,,,,,11125,307,0.8761,0.6591,0.8746,false,false,false,false,,,,,,28.5,0.3,9.8,0.1,16.2,0.1,31.5,,23.9,,10.0,0.2,63.8,0.1,25.9,0.2
IN,Indiana,true,true,true,true,true,true,0.2324,0.1398,0.7676,0.8602,0.5404,0.4998,0.4596,0.5002,9770,426,0.0933,0.1364,0.1505,true,true,false,false,,,,,,1059,17,0.0218,0.0148,0.0060,false,false,false,false,,,,,,,,0.0022,,,false,false,true,true,,,"Indiana includes this race category under a grouping it labels ""Other.""","Indiana includes this race category under a grouping it labels ""Other.""",,,,0.0004,,,false,false,true,true,,,"Indiana includes this race category under a grouping it labels ""Other.""","Indiana includes this race category under a grouping it labels ""Other.""",,,,0.0218,,,false,false,true,true,,,"Indiana includes this race category under a grouping it labels ""Other.""","Indiana includes this race category under a grouping it labels ""Other.""",,46997,1980,0.8359,0.6561,0.6994,false,false,false,false,,,,,,13803,408,0.0245,0.1927,0.1441,false,false,true,true,,,"Indiana includes this race category under a grouping it labels ""Other.""","Indiana includes this race category under a grouping it labels ""Other.""",,8801,66,0.0678,0.2052,0.0401,true,false,false,false,,,,,,34084,1580,0.9322,0.7948,0.9599,false,false,false,false,,,,,,15.8,0.7,7.3,0.1,,,,,,,8.5,0.4,95.4,2.8,18.6,0.1
