date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200818,AL,110361,757898,,1280,12958,,1329,,729,41523,B,8/18/2020 11:00,2020-08-18T11:00:00Z,08/18 07:00,1936,12958,2020-08-18T11:00:00Z,863713,,,105815,1867,69,,,,,,,,,,,,,01,1357,13979,868259,868259,15336,868259,11,0,c98faa4cfe97429cc87bf6dca25290c1bc2e1738,0,0,0,0,0,
20200817,AL,109004,743919,,1301,12958,,1319,,720,41523,B,8/17/2020 11:00,2020-08-17T11:00:00Z,08/17 07:00,1925,12958,2020-08-17T11:00:00Z,848514,,,104595,1855,70,,,,,,,,,,,,,01,571,5928,852923,852923,6499,852923,27,351,fd3b0e913f7262f2ff10651f44973eae3f86a7ff,0,0,0,0,0,
20200816,AL,108433,737991,,1289,12607,,1316,,720,41523,B,8/16/2020 11:00,2020-08-16T11:00:00Z,08/16 07:00,1898,12607,2020-08-16T11:00:00Z,842070,,,104079,1830,68,,,,,,,,,,,,,01,853,8554,846424,846424,9407,846424,2,0,da286f09dc355937bbe76e7ec2fa13d7627300a1,0,0,0,0,0,
20200815,AL,107580,729437,,1259,12607,,1313,,719,41523,B,8/15/2020 11:00,2020-08-15T11:00:00Z,08/15 07:00,1896,12607,2020-08-15T11:00:00Z,832794,,,103357,1828,68,,,,,,,,,,,,,01,1271,10762,837017,837017,12033,837017,3,151,dff25f5939be1e060577775571462a80d6f22ccc,0,0,0,0,0,
20200814,AL,106309,718675,,1326,12456,,1305,,716,41523,B,8/14/2020 11:00,2020-08-14T11:00:00Z,08/14 07:00,1893,12456,2020-08-14T11:00:00Z,820871,,,102196,1825,68,,,,,,,,,,,,,01,752,21670,824984,824984,22422,824984,3,0,38d47e03d63d1e44af627e42f6ee389555e024f9,0,0,0,0,0,
20200813,AL,105557,697005,,1341,12456,,1292,,707,41523,B,8/13/2020 11:00,2020-08-13T11:00:00Z,08/13 07:00,1890,12456,2020-08-13T11:00:00Z,798501,,,101496,1821,69,,,,,,,,,,,,,01,771,6020,802562,802562,6791,802562,8,164,e80fb99078aff75f7a6d45bb7a1e75d7b1e83fad,0,0,0,0,0,
20200812,AL,104786,690985,,1386,12292,,1282,,700,41523,B,8/12/2020 11:00,2020-08-12T11:00:00Z,08/12 07:00,1882,12292,2020-08-12T11:00:00Z,791786,,,100801,1814,68,,,,,,,,,,,,,01,935,11147,795771,795771,12082,795771,35,222,2b86a6eb5d4d62f8d2dad6d6f021f0f614fbd09a,0,0,0,0,0,
20200811,AL,103851,679838,,1504,12070,,1270,,691,37923,B,8/11/2020 11:00,2020-08-11T11:00:00Z,08/11 07:00,1847,12070,2020-08-11T11:00:00Z,779764,,,99926,1781,66,,,,,,,,,,,,,01,831,2291,783689,783689,3122,783689,50,0,8a1ab6b7e22cbdc5cd6abcd6f15cbccc74d37cb7,0,0,0,0,0,
20200810,AL,103020,677547,,1551,12070,,1249,,680,37923,B,8/10/2020 11:00,2020-08-10T11:00:00Z,08/10 07:00,1797,12070,2020-08-10T11:00:00Z,776937,,,99390,1733,64,,,,,,,,,,,,,01,1686,16430,780567,780567,18116,780567,29,533,280fabb43686e1189bfa436fb51cd6e598683864,0,0,0,0,0,
20200809,AL,101334,661117,,1449,11537,,1242,,674,37923,B,8/9/2020 11:00,2020-08-09T11:00:00Z,08/09 07:00,1768,11537,2020-08-09T11:00:00Z,758852,,,97735,1707,61,,,,,,,,,,,,,01,2947,10002,762451,762451,12949,762451,33,0,ad240a4d72609bcfa48bbe9bb473d883e8475c5b,0,0,0,0,0,
