date,state,fips,positive,positiveIncrease,negative,negativeIncrease,pending,total,totalTestResults,totalTestResultsIncrease,posNeg,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,death,deathIncrease,hospitalized,hospitalizedIncrease,dateChecked,hash
20200511,AR,05,4034,287,64996,3215,,69030,69030,3502,69030,61,480,,,11,98,3149,A,5/10/2020 19:05,94,6,480,9,2020-05-11T20:00:00Z,d8270d146729891f31c862e151caedf304848be6
20200510,AR,05,3747,,61781,,,65528,65528,,65528,64,471,,,14,96,2968,B,5/10/2020 10:15,88,,471,,2020-05-10T20:00:00Z,5e7e128e0900cab7517817eca2afeddcc185c98e
20200509,AR,05,3747,53,61781,1481,,65528,65528,1534,65528,64,471,,,14,96,2968,B,5/9/2020 10:15,88,,471,5,2020-05-09T20:00:00Z,e4a97c36b329494180bab7c995e62727360a8c5c
20200508,AR,05,3694,83,60300,3916,,63994,63994,3999,63994,70,466,,,14,93,2159,B,5/8/2020 08:15,88,1,466,4,2020-05-08T20:00:00Z,35276fb7397d88ac22a15dc36d139034a23eb8a3
20200507,AR,05,3611,43,56384,949,,59995,59995,992,59995,69,462,,,14,93,2123,B,5/7/2020 09:43,87,2,462,9,2020-05-07T20:00:00Z,de00ebb1ac99b35d58f49b5932568e41cffc9c6d
20200506,AR,05,3568,72,55435,4296,,59003,59003,4368,59003,69,453,,,14,89,2109,B,5/6/2020 14:42,85,5,453,,2020-05-06T20:00:00Z,ef23cf61ff1c9540811e8c59c8eb8ac990f6b338
20200505,AR,05,3496,38,51139,155,,54635,54635,193,54635,89,453,,,16,89,2041,B,5/5/2020 16:10,80,-1,453,15,2020-05-05T20:00:00Z,6bed0b8b507a26d4bf2d430761f77abe1545c4af
20200504,AR,05,3458,27,50984,1525,,54442,54442,1552,54442,91,438,,,16,88,2016,B,5/3/2020 15:40,81,5,438,11,2020-05-04T20:00:00Z,5266b313442dc390b3576eb2ab659da6b10100ab
20200503,AR,05,3431,59,49459,1249,,52890,52890,1308,52890,100,427,,,20,88,1999,B,5/3/2020 13:30,76,3,427,13,2020-05-03T20:00:00Z,22c58ad1f543aebc8486abcf3c6a52cb8f71c394
20200502,AR,05,3372,51,48210,1855,,51582,51582,1906,51582,95,414,,,20,85,1987,B,5/2/2020 14:47,73,9,414,,2020-05-02T20:00:00Z,fce9ec39ddfdfdfb04918146054897bb31043985
20200501,AR,05,3321,66,46355,1231,,49676,49676,1297,49676,95,414,,,23,85,1973,B,5/1/2020 14:50,64,3,414,12,2020-05-01T20:00:00Z,5c0261c57c9c60589641a0f898391a78d0dcb291
20200430,AR,05,3255,63,45124,2867,,48379,48379,2930,48379,95,402,,,23,85,1305,B,4/30/2020 14:49,61,2,402,13,2020-04-30T20:00:00Z,642dd0ef296514f3518f41fbf8a6c83ff453bd07
20200429,AR,05,3192,81,42257,4697,,45449,45449,4778,45449,93,389,,,18,82,1249,B,4/29/2020 09:00,59,7,389,389,2020-04-29T20:00:00Z,bffaa7c0f0a0c92daaeb21508558a22ddc22f884
20200428,AR,05,3111,94,37560,120,,40671,40671,214,40671,104,,,,20,,1146,B,4/28/2020 09:00,52,2,,,2020-04-28T20:00:00Z,ad9aa7ba29f08978e41ed4521df01f24b7d2817e
20200427,AR,05,3017,76,37440,912,,40457,40457,988,40457,109,,,,25,,987,B,4/27/2020 15:00,50,1,,,2020-04-27T20:00:00Z,6a977875ef89dbef0165ef281d1768455ad40e7e
20200426,AR,05,2941,112,36528,1304,,39469,39469,1416,39469,104,291,,,25,57,985,B,4/26/2020 10:00,49,2,291,,2020-04-26T20:00:00Z,c25c3a07e47af22a701c58f529ab172b7495dd93
20200425,AR,05,2829,88,35224,2387,,38053,38053,2475,38053,104,291,,,25,57,964,B,4/25/2020 10:47,47,2,291,,2020-04-25T20:00:00Z,c0cda80e76125237cba8882ea39d73567c196291
20200424,AR,05,2741,276,32837,3712,,35578,35578,3988,35578,101,291,,,24,57,929,,4/24/2020 10:47,45,,291,,2020-04-24T20:00:00Z,7db015ea820e34b71879dcad0710e49f23ddcc39
20200423,AR,05,2465,189,29125,1688,,31590,31590,1877,31590,101,291,,,24,57,902,,4/23/2020 14:48,45,3,291,,2020-04-23T20:00:00Z,cc275532ee9185fbaa4430171f81766d58fe2de8
20200422,AR,05,2276,49,27437,2223,,29713,29713,2272,29713,97,291,,,23,57,863,,4/22/2020 16:01,42,-1,291,,2020-04-22T20:00:00Z,83d5a71224a9d4a3cd3319476e83a939299cb4c0
20200421,AR,05,2227,304,25214,584,,27441,27441,888,27441,86,291,,,27,57,809,,4/21/2020 00:00,43,1,291,,2020-04-21T20:00:00Z,bbb80f922711906b21a9bce9612e583867bf4506
20200420,AR,05,1923,142,24630,2202,,26553,26553,2344,26553,93,291,,,24,57,749,,4/20/2020 14:30,42,2,291,,2020-04-20T20:00:00Z,d0214c5f44cf5785196953a45866327153888393
20200419,AR,05,1781,42,22428,26,,24209,24209,68,24209,88,291,,,25,57,721,,4/19/2020 18:47,40,2,291,,2020-04-19T20:00:00Z,765c79037b8ee3e797d522c686bfa72f95ad7a03
20200418,AR,05,1739,44,22402,603,,24141,24141,647,24141,86,291,,,22,57,703,,4/17/2020 19:00,38,1,291,291,2020-04-18T20:00:00Z,3ed20448d65e3f2edaed6871aa63770d1e43613b
20200417,AR,05,1695,75,21799,744,,23494,23494,819,23494,83,,,,21,,593,,4/17/2020 19:00,37,,,,2020-04-17T20:00:00Z,c3fbb61726ac3b78f19c5f6aade70409ae04a8bd
20200416,AR,05,1620,51,21055,790,,22675,22675,841,22675,85,,,,21,,548,,4/16/2020 14:45,37,4,,,2020-04-16T20:00:00Z,75c8b9a18ee233c17658918989ed862aabf38082
20200415,AR,05,1569,89,20265,614,,21834,21834,703,21834,83,130,,43,26,39,489,,4/15/2020 14:45,33,3,130,,2020-04-15T20:00:00Z,0ea152cdac5c6d60a86d193e05e94987ca5d6f80
20200414,AR,05,1480,70,19651,257,,21131,21131,327,21131,81,130,,43,29,39,427,,4/14/2020 14:46,30,,130,,2020-04-14T20:00:00Z,e01221723583eb550d16d1ba71af7edf0346077d
