date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201031,AS,0,,1616,,totalTestsViral,1616,,,,,,,,D,10/1/2020 00:00,2020-10-01T00:00:00Z,09/30 20:00,0,,2020-10-01T00:00:00Z,1616,,,0,,,,,,,,,,,,,,,60,0,0,1616,0,1616,0,0,7d28eb4b7d69dd5058efb55d2fca6f4dce522454,0,0,0,0,0,
20201030,AS,0,,1616,,totalTestsViral,1616,,,,,,,,D,10/1/2020 00:00,2020-10-01T00:00:00Z,09/30 20:00,0,,2020-10-01T00:00:00Z,1616,,,0,,,,,,,,,,,,,,,60,0,0,1616,0,1616,0,0,ee2aa0e50c92867926a0e25ae3bc22ee5c5ec997,0,0,0,0,0,
20201029,AS,0,,1616,,totalTestsViral,1616,,,,,,,,D,10/1/2020 00:00,2020-10-01T00:00:00Z,09/30 20:00,0,,2020-10-01T00:00:00Z,1616,,,0,,,,,,,,,,,,,,,60,0,0,1616,0,1616,0,0,bf23d2ab12c0bc46c5ee88bd4a2bd7a198672de3,0,0,0,0,0,
20201028,AS,0,,1616,,totalTestsViral,1616,,,,,,,,D,10/1/2020 00:00,2020-10-01T00:00:00Z,09/30 20:00,0,,2020-10-01T00:00:00Z,1616,,,0,,,,,,,,,,,,,,,60,0,0,1616,0,1616,0,0,6aa3cc1fa3c26f9c801684fb9fcb2b3c29a9e6ca,0,0,0,0,0,
20201027,AS,0,,1616,,totalTestsViral,1616,,,,,,,,D,10/1/2020 00:00,2020-10-01T00:00:00Z,09/30 20:00,0,,2020-10-01T00:00:00Z,1616,,,0,,,,,,,,,,,,,,,60,0,0,1616,0,1616,0,0,cebafd4ca7b9d3e3f4d2884e82943f0c6dda1e06,0,0,0,0,0,
20201026,AS,0,,1616,,totalTestsViral,1616,,,,,,,,D,10/1/2020 00:00,2020-10-01T00:00:00Z,09/30 20:00,0,,2020-10-01T00:00:00Z,1616,,,0,,,,,,,,,,,,,,,60,0,0,1616,0,1616,0,0,c18f92c7c43b23c8ff17d2f80cc04008eb0ddf79,0,0,0,0,0,
20201025,AS,0,,1616,,totalTestsViral,1616,,,,,,,,D,10/1/2020 00:00,2020-10-01T00:00:00Z,09/30 20:00,0,,2020-10-01T00:00:00Z,1616,,,0,,,,,,,,,,,,,,,60,0,0,1616,0,1616,0,0,3c89978d48f3a4f830660f7149129437b5808f1e,0,0,0,0,0,
20201024,AS,0,,1616,,totalTestsViral,1616,,,,,,,,D,10/1/2020 00:00,2020-10-01T00:00:00Z,09/30 20:00,0,,2020-10-01T00:00:00Z,1616,,,0,,,,,,,,,,,,,,,60,0,0,1616,0,1616,0,0,88ce30d6a31e3f947457a76b12db6ca71580dd01,0,0,0,0,0,
20201023,AS,0,,1616,,totalTestsViral,1616,,,,,,,,D,10/1/2020 00:00,2020-10-01T00:00:00Z,09/30 20:00,0,,2020-10-01T00:00:00Z,1616,,,0,,,,,,,,,,,,,,,60,0,0,1616,0,1616,0,0,48257900fad58cf22cdad9759edd7311027a9b3b,0,0,0,0,0,
20201022,AS,0,,1616,,totalTestsViral,1616,,,,,,,,D,10/1/2020 00:00,2020-10-01T00:00:00Z,09/30 20:00,0,,2020-10-01T00:00:00Z,1616,,,0,,,,,,,,,,,,,,,60,0,0,1616,0,1616,0,0,566afbac7334b85895209bb81c098ef67dedffcb,0,0,0,0,0,
