date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210218,AZ,802198,53871,2906702,,totalTestsViral,7306669,1823,56090,566,,330,,113271,2/18/2021 00:00,2021-02-18T00:00:00Z,02/17 19:00,15276,56090,2021-02-18T00:00:00Z,7306669,,,748327,13510,1766,,3655029,430690,,,,,,,,,,04,1143,5466,3708900,25392,3708900,,213,107,cce49fa4f878f5c05dbe73b349039b55dd9a2dc9,0,0,0,0,0,
20210217,AZ,801055,53685,2901236,,totalTestsViral,7281277,1941,55983,593,,354,,112868,2/17/2021 00:00,2021-02-17T00:00:00Z,02/16 19:00,15063,55983,2021-02-17T00:00:00Z,7281277,,,747370,13328,1735,,3648606,430371,,,,,,,,,,04,1315,4592,3702291,19717,3702291,,82,118,7f4d3ca6991968ec0fb4227de7d9ced82b0d1ccf,0,0,0,0,0,
20210216,AZ,799740,53590,2896644,,totalTestsViral,7261560,2047,55865,601,,383,,112430,2/16/2021 00:00,2021-02-16T00:00:00Z,02/15 19:00,14981,55865,2021-02-16T00:00:00Z,7261560,,,746150,13253,1728,,3642794,429909,,,,,,,,,,04,1132,5017,3696384,18492,3696384,,3,88,8d0d702ff20b521139024117d08563eaa08fc0e1,0,0,0,0,0,
20210215,AZ,798608,53559,2891627,,totalTestsViral,7243068,2119,55777,644,,397,,112062,2/15/2021 00:00,2021-02-15T00:00:00Z,02/14 19:00,14978,55777,2021-02-15T00:00:00Z,7243068,,,745049,13250,1728,,3636676,429882,,,,,,,,,,04,1338,7240,3690235,24365,3690235,,0,110,b021cfc8702f465aa55ed6ae6328e52dcd8033f0,0,0,0,0,0,
20210214,AZ,797270,53494,2884387,,totalTestsViral,7218703,2213,55667,661,,399,,111649,2/14/2021 00:00,2021-02-14T00:00:00Z,02/13 19:00,14978,55667,2021-02-14T00:00:00Z,7218703,,,743776,13250,1728,,3628163,429001,,,,,,,,,,04,1947,9627,3681657,39033,3681657,,30,108,9840dbf5f7ef4121b428ae3ac16ef8f435695648,0,0,0,0,0,
20210213,AZ,795323,53357,2874760,,totalTestsViral,7179670,2300,55559,701,,412,,111173,2/13/2021 00:00,2021-02-13T00:00:00Z,02/12 19:00,14948,55559,2021-02-13T00:00:00Z,7179670,,,741966,13229,1719,,3616726,428010,,,,,,,,,,04,1791,9905,3670083,38753,3670083,,114,146,8d853928f767861278b9431e9d6aa05d4064d4a2,0,0,0,0,0,
20210212,AZ,793532,53218,2864855,,totalTestsViral,7140917,2396,55413,705,,466,,110642,2/12/2021 00:00,2021-02-12T00:00:00Z,02/11 19:00,14834,55413,2021-02-12T00:00:00Z,7140917,,,740314,13128,1706,,3605169,427041,,,,,,,,,,04,2426,9590,3658387,35221,3658387,,172,141,9899280de22b9a1cfe8f6aa29573c25940e55883,0,0,0,0,0,
20210211,AZ,791106,52978,2855265,,totalTestsViral,7105696,2507,55272,719,,481,,110104,2/11/2021 00:00,2021-02-11T00:00:00Z,02/10 19:00,14662,55272,2021-02-11T00:00:00Z,7105696,,,738128,12983,1679,,3593393,426189,,,,,,,,,,04,1861,13770,3646371,43920,3646371,,200,184,a664c65c67f741399fbcdd3cffd928b1c84d799e,0,0,0,0,0,
20210210,AZ,789245,52525,2841495,,totalTestsViral,7061776,2589,55088,763,,508,,109543,2/10/2021 00:00,2021-02-10T00:00:00Z,02/09 19:00,14462,55088,2021-02-10T00:00:00Z,7061776,,,736720,12837,1625,,3578215,425012,,,,,,,,,,04,1977,6965,3630740,24650,3630740,,176,121,2e1fdb5ef99b15cdecbadac621bb4daf6832ed5b,0,0,0,0,0,
20210209,AZ,787268,52032,2834530,,totalTestsViral,7037126,2744,54967,797,,524,,108965,2/9/2021 00:00,2021-02-09T00:00:00Z,02/08 19:00,14286,54967,2021-02-09T00:00:00Z,7037126,,,735236,12702,1584,,3569766,424813,,,,,,,,,,04,4381,14216,3621798,43464,3621798,,231,254,3cdb92766725fedaba387ae3cb63470eba570d0a,0,0,0,0,0,
