date,state,positive,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200927,CA,802308,13531190,,14333498,3129,,892,,,,,B,9/27/2020 02:59,2020-09-27T02:59:00Z,09/26 22:59,15587,,2020-09-27T02:59:00Z,14333498,,,802308,,,,,,,,,,,,,,,06,4071,146697,14333498,posNeg,150768,14333498,55,0,e5012b55002821c66c0dc1017eb492c11e40c2e6,0,0,0,0,0,
20200926,CA,798237,13384493,,14182730,3203,,862,,,,,B,9/26/2020 02:59,2020-09-26T02:59:00Z,09/25 22:59,15532,,2020-09-26T02:59:00Z,14182730,,,798237,,,,,,,,,,,,,,,06,4197,126286,14182730,posNeg,130483,14182730,134,0,bc22d39302ce5646a61aef19adbfa503f5de5e76,0,0,0,0,0,
20200925,CA,794040,13258207,,14052247,3307,,899,,,,,B,9/24/2020 02:59,2020-09-24T02:59:00Z,09/23 22:59,15398,,2020-09-24T02:59:00Z,14052247,,,794040,,,,,,,,,,,,,,,06,3400,95990,14052247,posNeg,99390,14052247,84,0,dc1ad4cec70e3f611d3c3453330d057af15b2802,0,0,0,0,0,
20200924,CA,790640,13162217,,13952857,3484,,914,,,,,B,9/24/2020 02:59,2020-09-24T02:59:00Z,09/23 22:59,15314,,2020-09-24T02:59:00Z,13952857,,,790640,,,,,,,,,,,,,,,06,3170,70264,13952857,posNeg,73434,13952857,110,0,87788642c4d9f1deb4ce4c35adb758e1c0e423f1,0,0,0,0,0,
20200923,CA,787470,13091953,,13879423,3557,,905,,,,,B,9/23/2020 02:59,2020-09-23T02:59:00Z,09/22 22:59,15204,,2020-09-23T02:59:00Z,13879423,,,787470,,,,,,,,,,,,,,,06,3146,72222,13879423,posNeg,75368,13879423,133,0,1463ec67a916e845ebd2cb9dcf143e860239b742,0,0,0,0,0,
20200922,CA,784324,13019731,,13804055,3520,,923,,,,,B,9/22/2020 02:59,2020-09-22T02:59:00Z,09/21 22:59,15071,,2020-09-22T02:59:00Z,13804055,,,784324,,,,,,,,,,,,,,,06,2630,128643,13804055,posNeg,131273,13804055,53,0,0997db487384449fe22a0cf5bfe0fea7cfe83c58,0,0,0,0,0,
20200921,CA,781694,12891088,,13672782,3459,,960,,,,,B,9/21/2020 02:59,2020-09-21T02:59:00Z,09/20 22:59,15018,,2020-09-21T02:59:00Z,13672782,,,781694,,,,,,,,,,,,,,,06,3294,146330,13672782,posNeg,149624,13672782,31,0,b690b9d123b355bc7c82db4025a3843fa608be9a,0,0,0,0,0,
20200920,CA,778400,12744758,,13523158,3441,,925,,,,,B,9/20/2020 02:59,2020-09-20T02:59:00Z,09/19 22:59,14987,,2020-09-20T02:59:00Z,13523158,,,778400,,,,,,,,,,,,,,,06,4265,175007,13523158,posNeg,179272,13523158,75,0,fd88a82366b400053d994227a86f175bbe8112b4,0,0,0,0,0,
20200919,CA,774135,12569751,,13343886,3510,,970,,,,,B,9/19/2020 02:59,2020-09-19T02:59:00Z,09/18 22:59,14912,,2020-09-19T02:59:00Z,13343886,,,774135,,,,,,,,,,,,,,,06,4304,162396,13343886,posNeg,166700,13343886,100,0,522bb98bd268b5cf7c3ed74cc7553f1850b8a02a,0,0,0,0,0,
20200918,CA,769831,12407355,,13177186,3570,,965,,,,,B,9/18/2020 02:59,2020-09-18T02:59:00Z,09/17 22:59,14812,,2020-09-18T02:59:00Z,13177186,,,769831,,,,,,,,,,,,,,,06,3630,93519,13177186,posNeg,97149,13177186,91,0,0b265eaae7709a2b3f25d312886050c3ef489db2,0,0,0,0,0,
