date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210215,CO,414369,21778,2110671,,totalTestEncountersViral,5861313,462,22812,,,,,21970,2/15/2021 01:59,2021-02-15T01:59:00Z,02/14 20:59,5826,22812,2021-02-15T01:59:00Z,,,,392591,5106,720,5861313,2503262,378747,52077,325347,,,,,,,,08,533,2769,2525040,9356,2525040,,2,15,88008b8a9b00c591f78fb073a5c86241b6953c48,0,0,0,0,0,
20210214,CO,413836,21744,2107902,,totalTestEncountersViral,5851957,485,22797,,,,,21929,2/14/2021 01:59,2021-02-14T01:59:00Z,02/13 20:59,5824,22797,2021-02-14T01:59:00Z,,,,392092,5104,720,5851957,2499994,377424,51825,324201,,,,,,,,08,853,4289,2521738,22002,2521738,,10,19,afdd0091c800c354457b0b9b079b29f9f6538731,0,0,0,0,0,
20210213,CO,412983,21726,2103613,,totalTestEncountersViral,5829955,481,22778,,,,,21895,2/13/2021 01:59,2021-02-13T01:59:00Z,02/12 20:59,5814,22778,2021-02-13T01:59:00Z,,,,391257,5094,720,5829955,2494870,376026,51235,322549,,,,,,,,08,1209,5157,2516596,30597,2516596,,24,75,e1b44ec245b3863019fc8949e044ec36c8db4cda,0,0,0,0,0,
20210212,CO,411774,21261,2098456,,totalTestEncountersViral,5799358,470,22703,,,,,21816,2/12/2021 01:59,2021-02-12T01:59:00Z,02/11 20:59,5790,22703,2021-02-12T01:59:00Z,,,,390153,5071,719,5799358,2488609,373784,50461,320525,,,,,,,,08,2091,8431,2510230,43208,2510230,,9,48,4b31b8da3959538616710977b1a9f01870540d92,0,0,0,0,0,
20210211,CO,409683,21392,2090025,,totalTestEncountersViral,5756150,507,22655,,,,,21766,2/11/2021 01:59,2021-02-11T01:59:00Z,02/10 20:59,5781,22655,2021-02-11T01:59:00Z,,,,388291,5063,718,5756150,2478316,370986,49359,317419,,,,,,,,08,1722,13828,2499708,71519,2499708,,11,39,d55c1aaebfb1d1678c3c5eaf88aa67ef7f63c0c5,0,0,0,0,0,
20210210,CO,407961,21238,2076197,,totalTestEncountersViral,5684631,534,22616,,,,,21689,2/10/2021 01:59,2021-02-10T01:59:00Z,02/09 20:59,5770,22616,2021-02-10T01:59:00Z,,,,386723,5055,715,5684631,2462310,366778,49359,317419,,,,,,,,08,751,0,2484158,0,2484158,,24,55,d5c83d529bb54f972778450e63c3f518b5185a0c,0,0,0,0,0,
20210209,CO,407210,21097,2076197,,totalTestEncountersViral,5684631,538,22561,,,,,21611,2/9/2021 01:59,2021-02-09T01:59:00Z,02/08 20:59,5746,22561,2021-02-09T01:59:00Z,,,,386113,5031,715,5684631,2462310,366778,48994,315946,,,,,,,,08,934,3113,2483407,12417,2483407,,13,232,dd5abef251c7cb6ce6e6e14f8bb51334ef32a739,0,0,0,0,0,
20210208,CO,406276,20892,2073084,,totalTestEncountersViral,5672214,535,22329,,,,,21521,2/8/2021 01:59,2021-02-08T01:59:00Z,02/07 20:59,5733,22329,2021-02-08T01:59:00Z,,,,385384,5020,713,5672214,2458468,364940,48488,314239,,,,,,,,08,987,4993,2479360,18685,2479360,,2,23,d17a164d7268cad40459fff320afaa5a8a5b4a69,0,0,0,0,0,
20210207,CO,405289,20744,2068091,,totalTestEncountersViral,5653529,527,22306,,,,,21445,2/7/2021 01:59,2021-02-07T01:59:00Z,02/06 20:59,5731,22306,2021-02-07T01:59:00Z,,,,384545,5020,711,5653529,2452636,362727,46993,308913,,,,,,,,08,1034,5694,2473380,25243,2473380,,10,29,23b58d16d86300d07dac12593a4afe2bb656efad,0,0,0,0,0,
20210206,CO,404255,20653,2062397,,totalTestEncountersViral,5628286,538,22277,,,,,21426,2/6/2021 01:59,2021-02-06T01:59:00Z,02/05 20:59,5721,22277,2021-02-06T01:59:00Z,,,,383602,5010,711,5628286,2445999,360904,46993,308913,,,,,,,,08,1541,7057,2466652,33861,2466652,,17,19,04790b95e7f18b0b58bba4658ed77d5759c430d2,0,0,0,0,0,
