date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210304,CT,284500,19508,,,totalTestsViral,6478498,433,12257,,,,,,3/3/2021 23:59,2021-03-03T23:59:00Z,03/03 18:59,7693,12257,,2021-03-03T23:59:00Z,6478498,322440,6147613,264992,6320,1373,,,,,,,,,,,393486,22088,09,878,0,284500,42863,284500,,15,0,e8ba6dd99cb242cb8105dcfad844a05b190f359d,0,0,0,0,0,
20210303,CT,283622,19424,,,totalTestsViral,6435635,451,12257,,,,,,3/2/2021 23:59,2021-03-02T23:59:00Z,03/02 18:59,7678,12257,,2021-03-02T23:59:00Z,6435635,321537,6105720,264198,6306,1372,,,,,,,,,,,389220,21962,09,494,0,283622,17168,283622,,20,0,08fd225237719a60e8ef535f205e59c14e6a4570,0,0,0,0,0,
20210302,CT,283128,19252,,,totalTestsViral,6418467,413,12257,,,,,,3/1/2021 23:59,2021-03-01T23:59:00Z,03/01 18:59,7658,12257,,2021-03-01T23:59:00Z,6418467,321160,6089025,263876,6287,1371,,,,,,,,,,,384222,21744,09,502,0,283128,15041,283128,,7,0,62901ffec061aeb492ecd1bdac60fc07df18a653,0,0,0,0,0,
20210301,CT,282626,19178,,,totalTestsViral,6403426,417,12257,,,,,,2/28/2021 23:59,2021-02-28T23:59:00Z,02/28 18:59,7651,12257,,2021-02-28T23:59:00Z,6403426,320670,6074561,263448,6280,1371,,,,,,,,,,,381930,21643,09,2680,0,282626,104149,282626,,29,0,0d10a67ac9235488601e7f15302ea8b201617106,0,0,0,0,0,
20210228,CT,279946,18894,,,totalTestsViral,6299277,451,12257,,,,,,2/25/2021 23:59,2021-02-25T23:59:00Z,02/25 18:59,7622,12257,,2021-02-25T23:59:00Z,6299277,317614,5973606,261052,6254,1368,,,,,,,,,,,371931,21235,09,0,0,279946,0,279946,,0,0,093a5730f74c71beda350729aec96eb3c334d999,0,0,0,0,0,
20210227,CT,279946,18894,,,totalTestsViral,6299277,451,12257,,,,,,2/25/2021 23:59,2021-02-25T23:59:00Z,02/25 18:59,7622,12257,,2021-02-25T23:59:00Z,6299277,317614,5973606,261052,6254,1368,,,,,,,,,,,371931,21235,09,0,0,279946,0,279946,,0,0,ef06406c88a1cffdaba89081f323c51cf4315500,0,0,0,0,0,
20210226,CT,279946,18894,,,totalTestsViral,6299277,451,12257,,,,,,2/25/2021 23:59,2021-02-25T23:59:00Z,02/25 18:59,7622,12257,,2021-02-25T23:59:00Z,6299277,317614,5973606,261052,6254,1368,,,,,,,,,,,371931,21235,09,787,0,279946,32146,279946,,8,0,7cb71182a63cab676796e264ed7e9201b2d55e52,0,0,0,0,0,
20210225,CT,279159,18734,,,totalTestsViral,6267131,485,12257,,,,,,2/24/2021 23:59,2021-02-24T23:59:00Z,02/24 18:59,7614,12257,,2021-02-24T23:59:00Z,6267131,316978,5942165,260425,6248,1366,,,,,,,,,,,368567,21021,09,975,0,279159,39700,279159,,19,0,fda83946ed3ddb84597511665ee8dab48292e981,0,0,0,0,0,
20210224,CT,278184,18584,,,totalTestsViral,6227431,495,12257,,,,,,2/23/2021 23:59,2021-02-23T23:59:00Z,02/23 18:59,7595,12257,,2021-02-23T23:59:00Z,6227431,315971,5903519,259600,6230,1365,,,,,,,,,,,362250,20801,09,1493,0,278184,28724,278184,,23,0,4f5151c89fba8c04fff802fafb839ed51d90fde1,0,0,0,0,0,
20210223,CT,276691,17846,,,totalTestsViral,6198707,511,12257,,,,,,2/22/2021 23:59,2021-02-22T23:59:00Z,02/22 18:59,7572,12257,,2021-02-22T23:59:00Z,6198707,315104,5875715,258845,6211,1361,,,,,,,,,,,343598,19450,09,1357,0,276691,21232,276691,,10,0,06a68cffc8f4785ba6653791805e5fdb87c29f9a,0,0,0,0,0,
20210222,CT,275334,17041,,,totalTestsViral,6177475,500,12257,,,,,,2/21/2021 23:59,2021-02-21T23:59:00Z,02/21 18:59,7562,12257,,2021-02-21T23:59:00Z,6177475,314431,5855183,258293,6202,1360,,,,,,,,,,,330182,18301,09,2233,0,275334,80961,275334,,39,0,c8730fc0156c0119d7216ecd17da56d9d1603ec3,0,0,0,0,0,
20210221,CT,273101,16962,,,totalTestsViral,6096514,535,12257,,,,,,2/18/2021 23:59,2021-02-18T23:59:00Z,02/18 18:59,7523,12257,,2021-02-18T23:59:00Z,6096514,311736,5777127,256139,6166,1357,,,,,,,,,,,324744,18150,09,0,0,273101,0,273101,,0,0,66d719acc77dd8291386b60c666575713c25cb5b,0,0,0,0,0,
20210220,CT,273101,16962,,,totalTestsViral,6096514,535,12257,,,,,,2/18/2021 23:59,2021-02-18T23:59:00Z,02/18 18:59,7523,12257,,2021-02-18T23:59:00Z,6096514,311736,5777127,256139,6166,1357,,,,,,,,,,,324744,18150,09,0,0,273101,0,273101,,0,0,18acb57503965d9f75dd15601321f944ab988ddd,0,0,0,0,0,
20210219,CT,273101,16962,,,totalTestsViral,6096514,535,12257,,,,,,2/18/2021 23:59,2021-02-18T23:59:00Z,02/18 18:59,7523,12257,,2021-02-18T23:59:00Z,6096514,311736,5777127,256139,6166,1357,,,,,,,,,,,324744,18150,09,1198,0,273101,42964,273101,,27,0,d79d0b069416dbcaf6fcca84b721649c760263c1,0,0,0,0,0,
20210218,CT,271903,16923,,,totalTestsViral,6053550,568,12257,,,,,,2/17/2021 23:59,2021-02-17T23:59:00Z,02/17 18:59,7496,12257,,2021-02-17T23:59:00Z,6053550,310391,5735579,254980,6145,1351,,,,,,,,,,,321303,18068,09,547,0,271903,24953,271903,,20,0,30aea76a04d9ee1445a63fb78572edeb0c6ba844,0,0,0,0,0,
20210217,CT,271356,16836,,,totalTestsViral,6028597,584,12257,,,,,,2/16/2021 23:59,2021-02-16T23:59:00Z,02/16 18:59,7476,12257,,2021-02-16T23:59:00Z,6028597,309814,5711235,254520,6129,1347,,,,,,,,,,,319256,17961,09,534,0,271356,23666,271356,,27,0,3b3b1ba07b80acbe81bd026b6fec73f27262a202,0,0,0,0,0,
20210216,CT,270822,16628,,,totalTestsViral,6004931,606,12257,,,,,,2/15/2021 23:59,2021-02-15T23:59:00Z,02/15 18:59,7449,12257,,2021-02-15T23:59:00Z,6004931,309330,5688069,254194,6106,1343,,,,,,,,,,,309117,17701,09,580,0,270822,18312,270822,,2,0,03359a90033210b61689519e003acd08372b4186,0,0,0,0,0,
20210215,CT,270242,16586,,,totalTestsViral,5986619,618,12257,,,,,,2/14/2021 23:59,2021-02-14T23:59:00Z,02/14 18:59,7447,12257,,2021-02-14T23:59:00Z,5986619,308684,5670458,253656,6105,1342,,,,,,,,,,,306944,17641,09,2905,0,270242,88720,270242,,66,0,dd2642e3de2142035d427b2bec10d02fe21b27bd,0,0,0,0,0,
20210214,CT,267337,16422,,,totalTestsViral,5897899,674,12257,,,,,,2/11/2021 23:59,2021-02-11T23:59:00Z,02/11 18:59,7381,12257,,2021-02-11T23:59:00Z,5897899,305265,5585218,250915,6049,1332,,,,,,,,,,,299011,17354,09,0,0,267337,0,267337,,0,0,2098d8c06bcf3793b66c44a518d7cccdaa70b75a,0,0,0,0,0,
