date,state,positive,negative,pending,totalTestResultsSource,totalTestResults,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200930,AK,8780,448427,,NaN,457207,6151,53,,,,7,,4555,A,9/30/2020 03:59,2020-09-30T03:59:00Z,09/29 23:59,56,,2020-09-30T03:59:00Z,457207,7807,449109,8780,56,,,,,,,,,,,,,,02,106,6045,457207,457207,0,0,a1455520be0a265c8e62b213ab4df83f5996e26b,0,0,0,0,0,
20200930,AL,154701,994475,,NaN,1132039,12327,776,17257,,1815,,1025,67948,A,9/30/2020 11:00,2020-09-30T11:00:00Z,09/30 07:00,2540,17257,2020-09-30T11:00:00Z,1132039,,,137564,2399,141,,,,,,58393,,,,,,,01,1147,11312,1149176,1149176,23,75,c74c6d8fe2893620d86ca212fdcd27fc38543259,0,0,0,0,0,
20200930,AR,83697,949107,,NaN,1029717,21812,484,5354,218,,93,676,75312,A+,9/30/2020 00:00,2020-09-30T00:00:00Z,09/29 20:00,1369,5354,2020-09-30T00:00:00Z,1029717,,949107,80610,1223,146,,,,,,,,,11700,3383,21856,3300,05,942,21205,1032804,1032804,19,0,c3fe49470f908e82c2e8e1e54afe957e05143599,0,0,0,0,0,
20200930,AS,0,1571,,NaN,1571,0,,,,,,,,D,9/1/2020 00:00,2020-09-01T00:00:00Z,08/31 20:00,0,,2020-09-01T00:00:00Z,1571,,,0,,,,,,,,,,,,,,,60,0,0,1571,1571,0,0,e4389eb4c5dcfa9a4753c7a3c731a202b5bce3f6,0,0,0,0,0,
20200930,AZ,218507,1243641,,NaN,1457575,4047,560,22119,115,,55,,35261,A+,9/30/2020 00:00,2020-09-30T00:00:00Z,09/29 20:00,5650,22119,2020-09-30T00:00:00Z,,,,213934,5382,268,,1457575,293098,,,,,,,,,,04,323,3735,1462148,1462148,18,72,8aec727c55a328a09c08d7bd633ce01a82a37fdb,0,0,0,0,0,
20200930,CA,810625,13894577,,NaN,14705202,91657,3267,,830,,,,,B,9/30/2020 02:59,2020-09-30T02:59:00Z,09/29 22:59,15792,,2020-09-30T02:59:00Z,14705202,,,810625,,,,,,,,,,,,,,,06,3200,88457,14705202,14705202,152,0,48782278e653a1593b46f66b358c07af0ce0bc3b,0,0,0,0,0,
20200930,CO,70025,837127,,NaN,1341180,14538,268,7558,,,,,6500,A,9/29/2020 01:59,2020-09-29T01:59:00Z,09/28 21:59,1952,7558,2020-09-29T01:59:00Z,,,,65115,,,1341180,902242,167989,11733,156256,,,,,,,,08,535,6743,907152,907152,7,28,ccff8ca5ef0e171d657e0359646a952387974e30,0,0,0,0,0,
20200930,CT,57550,1536443,,NaN,1593993,12401,104,11560,,,,,9310,B,9/29/2020 20:30,2020-09-29T20:30:00Z,09/29 16:30,4508,11560,2020-09-29T20:30:00Z,1591572,,,55129,3610,898,,,,,,,,,,,,,09,221,12180,1593993,1593993,3,0,e2fa1e461b77e833a16fb9e0e266e344bf6cfc50,0,0,0,0,0,
20200930,DC,15326,372534,,NaN,387860,1464,95,,28,,9,,12155,A+,9/29/2020 00:00,2020-09-29T00:00:00Z,09/28 20:00,627,,2020-09-29T00:00:00Z,,,,,,,387860,215204,,,,,,,,,,,11,26,1438,387860,387860,1,0,733aa46bd53b5e2d9e76e95d8188f6a038c3b159,0,0,0,0,0,
20200930,DE,20613,265949,,NaN,286562,1074,72,,15,,,,10622,A+,9/29/2020 18:00,2020-09-29T18:00:00Z,09/29 14:00,636,,2020-09-29T18:00:00Z,,,,19540,559,77,,286562,,,,,,,,,,,10,82,992,286562,286562,1,0,e745c0615fbd990190cdb8aa3a8197a35610ceb2,0,0,0,0,0,
20200930,FL,706516,4594668,3980,NaN,5301184,11068,2097,44608,,,,,,A,9/29/2020 23:59,2020-09-29T23:59:00Z,09/29 19:59,14488,44608,2020-09-29T23:59:00Z,7507015,909158,6555737,689130,14488,,,5308344,505164,45080,460024,493810,44075,449702,,17386,,,12,1948,9120,5305164,5301184,175,253,e097c5eec1993f62ce7e85fe9506bd90b90ddad4,0,0,0,0,0,
20200930,GA,318026,2615653,,NaN,2933679,22846,1896,28522,,5269,,,,A,9/30/2020 14:50,2020-09-30T14:50:00Z,09/30 10:50,7021,28522,2020-09-30T14:50:00Z,2933679,298062,2635617,318026,,,,,302125,25149,,,,,,,,,13,1720,21126,2933679,2933679,27,183,f2bcde9c77370f996086f02df9931531e65f10bc,0,0,0,0,0,
