date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200813,DC,13024,216625,,83,,24,,11,,10361,A+,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,594,,2020-08-12T00:00:00Z,,,,,,,,229649,,,,,,,,,,,11,65,2843,229649,229649,2908,229649,1,0,7c8fa162a589b498b1f54dc1cb77297e72f5c774,0,0,0,0,0,
20200812,DC,12959,213782,,85,,25,,11,,10300,A+,8/11/2020 00:00,2020-08-11T00:00:00Z,08/10 20:00,593,,2020-08-11T00:00:00Z,,,,,,,,226741,,,,,,,,,,,11,63,1929,226741,226741,1992,226741,0,0,8d8874c241245a59f42e098fd7e2e49bd0c59488,0,0,0,0,0,
20200811,DC,12896,211853,,83,,21,,12,,10232,A+,8/10/2020 00:00,2020-08-10T00:00:00Z,08/09 20:00,593,,2020-08-10T00:00:00Z,,,,,,,,224749,,,,,,,,,,,11,89,4269,224749,224749,4358,224749,2,0,3a75e7b2b3a3b01fda5fe19c05ea2ae6b415c1c8,0,0,0,0,0,
20200810,DC,12807,207584,,75,,21,,8,,10188,A+,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,591,,2020-08-09T00:00:00Z,,,,,,,,220391,,,,,,,,,,,11,54,2395,220391,220391,2449,220391,0,0,128323203ce2b334d390eda70f55032c25c39b7f,0,0,0,0,0,
20200809,DC,12753,205189,,77,,17,,8,,10156,A+,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,591,,2020-08-08T00:00:00Z,,,,,,,,217942,,,,,,,,,,,11,100,4508,217942,217942,4608,217942,1,0,1c9177bb847654d56df92a119d0726bb2257bd16,0,0,0,0,0,
20200808,DC,12653,200681,,80,,17,,8,,10124,A+,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,590,,2020-08-07T00:00:00Z,,,,,,,,213334,,,,,,,,,,,11,64,4545,213334,213334,4609,213334,1,0,c903c1fb9af6d7e5ee26ceb0614f8a6b075d08ac,0,0,0,0,0,
20200807,DC,12589,196136,,90,,18,,12,,10118,A+,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,589,,2020-08-06T00:00:00Z,,,,,,,,208725,,,,,,,,,,,11,71,2671,208725,208725,2742,208725,2,0,6533191068d7d8f8033fb4d969ee76f1ffb868df,0,0,0,0,0,
20200806,DC,12518,193465,,98,,23,,12,,10094,A+,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,587,,2020-08-05T00:00:00Z,,,,,,,,205983,,,,,,,,,,,11,75,3083,205983,205983,3158,205983,0,0,1b63d731de098d1d09b2291defaa4515b2d598a8,0,0,0,0,0,
20200805,DC,12443,190382,,97,,21,,13,,10015,A+,8/4/2020 00:00,2020-08-04T00:00:00Z,08/03 20:00,587,,2020-08-04T00:00:00Z,,,,,,,,202825,,,,,,,,,,,11,45,2653,202825,202825,2698,202825,0,0,125906e905f9fa9c53d936fc821f70f58fe4988a,0,0,0,0,0,
20200804,DC,12398,187729,,100,,17,,10,,9959,A+,8/3/2020 00:00,2020-08-03T00:00:00Z,08/02 20:00,587,,2020-08-03T00:00:00Z,,,,,,,,200127,,,,,,,,,,,11,85,1227,200127,200127,1312,200127,1,0,c222af799b28793be4810130afd761dd4b7f1ce2,0,0,0,0,0,
