date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210307,DE,88354,4733,545070,,totalTestEncountersViral,1431942,104,,13,,,,,3/6/2021 18:00,2021-03-06T18:00:00Z,03/06 13:00,1473,,,2021-03-06T18:00:00Z,,91873,,83621,1337,136,1431942,633424,,,,,,,,,,,10,215,917,633424,5867,633424,,9,0,059d870e689d5cc19c35f5eb398214d7d9856373,0,0,0,0,0,
20210306,DE,88139,4715,544153,,totalTestEncountersViral,1426075,114,,12,,,,,3/5/2021 18:00,2021-03-05T18:00:00Z,03/05 13:00,1464,,,2021-03-05T18:00:00Z,,91685,,83424,1328,136,1426075,632292,,,,,,,,,,,10,265,1362,632292,8757,632292,,11,0,0c0d7ba9adc97456b67de8b807dee6a2cf3a47f0,0,0,0,0,0,
20210305,DE,87874,4687,542791,,totalTestEncountersViral,1417318,127,,15,,,,,3/4/2021 18:00,2021-03-04T18:00:00Z,03/04 13:00,1453,,,2021-03-04T18:00:00Z,,91372,,83187,1317,136,1417318,630665,,,,,,,,,,,10,231,1020,630665,3678,630665,,9,0,1595f00ddc9f1b0e38a9f4f568d850ca24c30bc7,0,0,0,0,0,
20210304,DE,87643,4672,541771,,totalTestEncountersViral,1413640,130,,18,,,,,3/3/2021 18:00,2021-03-03T18:00:00Z,03/03 13:00,1444,,,2021-03-03T18:00:00Z,,91186,,82971,1308,136,1413640,629414,,,,,,,,,,,10,218,807,629414,3724,629414,,4,0,bfd86c8bc01aad3ed98a58914737f44bc92b594f,0,0,0,0,0,
20210303,DE,87425,4648,540964,,totalTestEncountersViral,1409916,135,,17,,,,,3/2/2021 18:00,2021-03-02T18:00:00Z,03/02 13:00,1440,,,2021-03-02T18:00:00Z,,91050,,82777,1304,136,1409916,628389,,,,,,,,,,,10,232,1073,628389,4613,628389,,14,0,0bc8d5cd694c4a22e32aa076c0b52c0088300e42,0,0,0,0,0,
20210302,DE,87193,4622,539891,,totalTestEncountersViral,1405303,151,,18,,,,,3/1/2021 18:00,2021-03-01T18:00:00Z,03/01 13:00,1426,,,2021-03-01T18:00:00Z,,90814,,82571,1290,136,1405303,627084,,,,,,,,,,,10,113,340,627084,4849,627084,,4,0,63af933b9ffc531036ba2587a43058e0f35b1fd3,0,0,0,0,0,
20210301,DE,87080,4604,539551,,totalTestEncountersViral,1400454,151,,23,,,,,2/28/2021 18:00,2021-02-28T18:00:00Z,02/28 13:00,1422,,,2021-02-28T18:00:00Z,,90549,,82476,1286,136,1400454,626631,,,,,,,,,,,10,281,907,626631,4870,626631,,0,0,340afbad5ed15783b464a0a6f509f6eec1414dd8,0,0,0,0,0,
20210228,DE,86799,4581,538644,,totalTestEncountersViral,1395584,142,,22,,,,,2/27/2021 18:00,2021-02-27T18:00:00Z,02/27 13:00,1422,,,2021-02-27T18:00:00Z,,90267,,82218,1286,136,1395584,625443,,,,,,,,,,,10,282,1037,625443,8220,625443,,4,0,d658c01e49ecc814b9b263e5844f82f365a843fa,0,0,0,0,0,
20210227,DE,86517,4565,537607,,totalTestEncountersViral,1387364,159,,22,,,,,2/26/2021 18:00,2021-02-26T18:00:00Z,02/26 13:00,1418,,,2021-02-26T18:00:00Z,,89959,,81952,1283,135,1387364,624124,,,,,,,,,,,10,419,1425,624124,9562,624124,,0,0,76fc3b122563952da8b9f6dfc3d5f46e88dd2406,0,0,0,0,0,
20210226,DE,86098,4552,536182,,totalTestEncountersViral,1377802,156,,26,,,,,2/25/2021 18:00,2021-02-25T18:00:00Z,02/25 13:00,1418,,,2021-02-25T18:00:00Z,,89597,,81546,1283,135,1377802,622280,,,,,,,,,,,10,297,1217,622280,6251,622280,,12,0,4b754a12f2b1590c46d68c4f7bd5bc6d98e41498,0,0,0,0,0,
20210225,DE,85801,4544,534965,,totalTestEncountersViral,1371551,164,,26,,,,,2/24/2021 18:00,2021-02-24T18:00:00Z,02/24 13:00,1406,,,2021-02-24T18:00:00Z,,89237,,81257,1273,133,1371551,620766,,,,,,,,,,,10,295,1061,620766,2817,620766,,4,0,42eecd1f223140c3552f46ded588a4d75d4e4a87,0,0,0,0,0,
20210224,DE,85506,4515,533904,,totalTestEncountersViral,1368734,182,,27,,,,,2/23/2021 18:00,2021-02-23T18:00:00Z,02/23 13:00,1402,,,2021-02-23T18:00:00Z,,89126,,80991,1269,133,1368734,619410,,,,,,,,,,,10,278,1231,619410,5059,619410,,23,0,fc43ea23c4303a5eaaedc86de2f02d3ed7defd03,0,0,0,0,0,
20210223,DE,85228,4484,532673,,totalTestEncountersViral,1363675,181,,27,,,,,2/22/2021 18:00,2021-02-22T18:00:00Z,02/22 13:00,1379,,,2021-02-22T18:00:00Z,,88810,,80744,1248,131,1363675,617901,,,,,,,,,,,10,138,221,617901,4416,617901,,11,0,65ca65a63b9912f050c966cb0f1b47dd18e0596f,0,0,0,0,0,
20210222,DE,85090,4481,532452,,totalTestEncountersViral,1359259,182,,19,,,,,2/21/2021 18:00,2021-02-21T18:00:00Z,02/21 13:00,1368,,,2021-02-21T18:00:00Z,,88513,,80609,1237,131,1359259,617542,,,,,,,,,,,10,358,847,617542,2288,617542,,1,0,49d6e3a9493887fbf93db92617c661077e54fd2e,0,0,0,0,0,
20210221,DE,84732,4441,531605,,totalTestEncountersViral,1356971,175,,24,,,,,2/20/2021 18:00,2021-02-20T18:00:00Z,02/20 13:00,1367,,,2021-02-20T18:00:00Z,,88415,,80291,1236,131,1356971,616337,,,,,,,,,,,10,201,687,616337,8317,616337,,1,0,d999029d89d01efe38bf71298c7794df96ce02d8,0,0,0,0,0,
20210220,DE,84531,4414,530918,,totalTestEncountersViral,1348654,178,,21,,,,,2/19/2021 18:00,2021-02-19T18:00:00Z,02/19 13:00,1366,,,2021-02-19T18:00:00Z,,88110,,80117,1235,131,1348654,615449,,,,,,,,,,,10,350,1111,615449,6735,615449,,23,0,410c861c894eae32dab86aba83dfb1923713908b,0,0,0,0,0,
20210219,DE,84181,4384,529807,,totalTestEncountersViral,1341919,173,,20,,,,,2/18/2021 18:00,2021-02-18T18:00:00Z,02/18 13:00,1343,,,2021-02-18T18:00:00Z,,87719,,79797,1213,130,1341919,613988,,,,,,,,,,,10,329,1165,613988,6322,613988,,17,0,0d796e33e1887b4449fd3c1d2760c959489b7875,0,0,0,0,0,
20210218,DE,83852,4346,528642,,totalTestEncountersViral,1335597,197,,18,,,,,2/17/2021 18:00,2021-02-17T18:00:00Z,02/17 13:00,1326,,,2021-02-17T18:00:00Z,,87442,,79506,1196,130,1335597,612494,,,,,,,,,,,10,271,1020,612494,2593,612494,,10,0,ed9a5679fbddcd3e1b9ffe9784753e20d96eb238,0,0,0,0,0,
20210217,DE,83581,4324,527622,,totalTestEncountersViral,1333004,195,,15,,,,,2/16/2021 18:00,2021-02-16T18:00:00Z,02/16 13:00,1316,,,2021-02-16T18:00:00Z,,87335,,79257,1190,126,1333004,611203,,,,,,,,,,,10,212,1233,611203,5155,611203,,25,0,a078b09dec97d800a58b9c98a9cd0fee57199cde,0,0,0,0,0,
20210216,DE,83369,4298,526389,,totalTestEncountersViral,1327849,186,,17,,,,,2/15/2021 18:00,2021-02-15T18:00:00Z,02/15 13:00,1291,,,2021-02-15T18:00:00Z,,87082,,79071,1168,123,1327849,609758,,,,,,,,,,,10,130,305,609758,4758,609758,,8,0,c35375b2695dd38afb7237230afac88a8c916eec,0,0,0,0,0,
20210215,DE,83239,4285,526084,,totalTestEncountersViral,1323091,200,,19,,,,,2/14/2021 18:00,2021-02-14T18:00:00Z,02/14 13:00,1283,,,2021-02-14T18:00:00Z,,86783,,78954,1160,123,1323091,609323,,,,,,,,,,,10,236,766,609323,3871,609323,,0,0,d0664880d1b60b4759cc5fcd77cf2540ecf57d3f,0,0,0,0,0,
20210214,DE,83003,4260,525318,,totalTestEncountersViral,1319220,216,,18,,,,,2/13/2021 18:00,2021-02-13T18:00:00Z,02/13 13:00,1283,,,2021-02-13T18:00:00Z,,86579,,78743,1160,123,1319220,608321,,,,,,,,,,,10,331,1313,608321,9832,608321,,1,0,77cede57761392e4bfae4d5233868f66e8936af0,0,0,0,0,0,
20210213,DE,82672,4213,524005,,totalTestEncountersViral,1309388,282,,20,,,,,2/12/2021 18:00,2021-02-12T18:00:00Z,02/12 13:00,1282,,,2021-02-12T18:00:00Z,,86129,,78459,1159,123,1309388,606677,,,,,,,,,,,10,409,2034,606677,9113,606677,,13,0,39fd7a9331b4a8e692a379c9a6a52ca3db5bc516,0,0,0,0,0,
