date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201025,FL,778636,29721,5174087,4532,NaN,5952723,2219,48766,,,,,,A,10/24/2020 23:59,2020-10-24T23:59:00Z,10/24 19:59,16632,48766,2020-10-24T23:59:00Z,8657522,1001127,7611074,748915,16632,,,5960050,539844,51923,487730,526404,50676,475588,,,,,12,2385,12277,5957255,14662,5952723,12,82,2b50e2a494cc2430b3aa442bf96dffcbdac928e4,0,0,0,0,0,
20201024,FL,776251,29291,5161810,4522,NaN,5938061,2162,48684,,,,,,A,10/23/2020 23:59,2020-10-23T23:59:00Z,10/23 19:59,16620,48684,2020-10-23T23:59:00Z,8618680,998106,7575340,746960,16620,,,5945372,539844,51923,487730,526404,50676,475588,,,,,12,4471,67838,5942583,72309,5938061,76,174,e515fdf69ac435b05f31049d56a05c02fbd74443,0,0,0,0,0,
20201023,FL,771780,28516,5093972,4477,NaN,5865752,2114,48510,,,,,,A,10/22/2020 23:59,2020-10-22T23:59:00Z,10/22 19:59,16544,48510,2020-10-22T23:59:00Z,8522644,992669,7484952,743264,16544,,,5873041,539844,51923,487730,526404,50676,475588,,,,,12,3689,40124,5870229,43813,5865752,74,190,f7b2177c61b87d233ae54bcd1459dcdd528bd37b,0,0,0,0,0,
20201022,FL,768091,27624,5053848,4460,NaN,5821939,2074,48320,,,,,,A,10/21/2020 23:59,2020-10-21T23:59:00Z,10/21 19:59,16470,48320,2020-10-21T23:59:00Z,8453122,988033,7420252,740467,16470,,,5829220,539844,51923,487730,526404,50676,475588,,,,,12,7702,46290,5826399,53992,5821939,162,425,20fb6ea39d3ee9a82d6e755eb93696f981a4f15b,0,0,0,0,0,
20201021,FL,760389,26619,5007558,4378,NaN,5767947,2125,47895,,,,,,A,10/20/2020 23:59,2020-10-20T23:59:00Z,10/20 19:59,16308,47895,2020-10-20T23:59:00Z,8384437,980858,7358921,735915,16308,,,5775214,539844,51923,487730,526404,50676,475588,,,,,12,0,0,5772325,0,5767947,0,0,635b9cc833a820a347a44a4253b4d8fb46e528e1,0,0,0,0,0,
20201020,FL,760389,25920,5007558,4378,NaN,5767947,2094,47895,,,,,,A,10/19/2020 23:59,2020-10-19T23:59:00Z,10/19 19:59,16308,47895,2020-10-19T23:59:00Z,8357405,978150,7334681,734469,16308,,,5775214,539844,51923,487730,526404,50676,475588,,,,,12,3662,25002,5772325,28664,5767947,86,231,93613fe463a52afad529ff5493a70120af34e285,0,0,0,0,0,
20201019,FL,756727,25266,4982556,4340,NaN,5739283,2057,47664,,,,,,A,10/18/2020 23:59,2020-10-18T23:59:00Z,10/18 19:59,16222,47664,2020-10-18T23:59:00Z,8308895,973367,7291080,731461,16222,,,5746529,539844,51923,487730,526404,50676,475588,,,,,12,1707,15184,5743623,16891,5739283,54,72,f03b7bfe10b0747132420fa3c85fb31eda50d9e2,0,0,0,0,0,
20201018,FL,755020,25078,4967372,4321,NaN,5722392,2005,47592,,,,,,A,10/17/2020 23:59,2020-10-17T23:59:00Z,10/17 19:59,16168,47592,2020-10-17T23:59:00Z,8277870,971097,7262384,729942,16168,,,5729634,539844,51923,487730,526404,50676,475588,,,,,12,2539,15753,5726713,18292,5722392,50,79,611cfa2902bce1724198cd5b75fad1bee07178ef,0,0,0,0,0,
20201017,FL,752481,24792,4951619,4326,NaN,5704100,2031,47513,,,,,,A,10/16/2020 23:59,2020-10-16T23:59:00Z,10/16 19:59,16118,47513,2020-10-16T23:59:00Z,8238315,967848,7226175,727689,16118,,,5711339,539844,51923,487730,526404,50676,475588,,,,,12,4044,26371,5708426,30415,5704100,88,117,12525cfefc1e2ae4022244fdbbe43ee6d61dd304,0,0,0,0,0,
20201016,FL,748437,24229,4925248,4286,NaN,5673685,2083,47396,,,,,,A,10/15/2020 23:59,2020-10-15T23:59:00Z,10/15 19:59,16030,47396,2020-10-15T23:59:00Z,8180183,962813,7173295,724208,16030,,,5680917,539844,51923,487730,526404,50676,475588,,,,,12,3449,26715,5677971,30164,5673685,98,173,0c05d69c02b45a10f8e01726e485bff60b3c1475,0,0,0,0,0,
20201015,FL,744988,23548,4898533,4291,NaN,5643521,2119,47223,,,,,,A,10/14/2020 23:59,2020-10-14T23:59:00Z,10/14 19:59,15932,47223,2020-10-14T23:59:00Z,8129895,958498,7127425,721440,15932,,,5650724,539844,51923,487730,526404,50676,475588,,,,,12,3356,24918,5647812,28274,5643521,144,212,28c0afc24ccb75e58adede2ede9563b2d8c52140,0,0,0,0,0,
20201014,FL,741632,22867,4873615,4298,NaN,5615247,2155,47011,,,,,,A,10/13/2020 23:59,2020-10-13T23:59:00Z,10/13 19:59,15788,47011,2020-10-13T23:59:00Z,8083092,954232,7084988,718765,15788,,,5622438,539844,51923,487730,526404,50676,475588,,,,,12,2883,18940,5619545,21823,5615247,66,258,5056183e054d72a3598956ed043bb759b3e6538d,0,0,0,0,0,
20201013,FL,738749,22190,4854675,4301,NaN,5593424,2127,46753,,,,,,A,10/12/2020 23:59,2020-10-12T23:59:00Z,10/12 19:59,15722,46753,2020-10-12T23:59:00Z,8042762,950606,7048383,716559,15722,,,5600616,539844,51923,487730,526404,50676,475588,,,,,12,2725,23416,5597725,26141,5593424,123,212,b34b76762162807ec7841248421ea9dc9f334b99,0,0,0,0,0,
20201012,FL,736024,21772,4831259,4227,NaN,5567283,2206,46541,,,,,,A,10/11/2020 23:59,2020-10-11T23:59:00Z,10/11 19:59,15599,46541,2020-10-11T23:59:00Z,7999103,947094,7008414,714252,15599,,,5574469,539844,51923,487730,526404,50676,475588,,,,,12,1533,15219,5571510,16752,5567283,47,91,2707548eea93d25029d54d150865570ff8d4f0cf,0,0,0,0,0,
20201011,FL,734491,21607,4816040,4215,NaN,5550531,2123,46450,,,,,,A,10/10/2020 23:59,2020-10-10T23:59:00Z,10/10 19:59,15552,46450,2020-10-10T23:59:00Z,7967703,945112,6979043,712884,15552,,,5557698,539844,51923,487730,526404,50676,475588,,,,,12,5570,26799,5554746,32369,5550531,180,249,50e230064e48b338f1a37547958625e9a8e50ba0,0,0,0,0,0,
20201010,FL,728921,21186,4789241,4176,NaN,5518162,2077,46201,,,,,,A,10/8/2020 23:59,2020-10-08T23:59:00Z,10/08 19:59,15372,46201,2020-10-08T23:59:00Z,7876609,938197,6895066,708095,15372,,,5525411,539844,51923,487730,526404,50676,475588,,,,,12,0,0,5522338,0,5518162,0,0,6c89b273c76b3b07cbd3bbcb217c85d6f36314b2,0,0,0,0,0,
20201009,FL,728921,21186,4789241,4176,NaN,5518162,2143,46201,,,,,,A,10/8/2020 23:59,2020-10-08T23:59:00Z,10/08 19:59,15372,46201,2020-10-08T23:59:00Z,7876609,938197,6895066,708095,15372,,,5525411,539844,51923,487730,526404,50676,475588,,,,,12,2908,25496,5522338,28404,5518162,118,196,a33320aace9fe9ad34968806edfe7b1850cdb195,0,0,0,0,0,
20201008,FL,726013,20504,4763745,4134,NaN,5489758,2141,46005,,,,,,A,10/7/2020 23:59,2020-10-07T23:59:00Z,10/07 19:59,15254,46005,2020-10-07T23:59:00Z,7828266,934530,6850539,705509,15254,,,5496985,539844,51923,487730,526404,50676,475588,,,,,12,3306,26741,5493892,30047,5489758,170,228,195dadec078409157cc45881f792a56374c257cb,0,0,0,0,0,
20201007,FL,722707,20073,4737004,4092,NaN,5459711,2121,45777,,,,,,A,10/6/2020 23:59,2020-10-06T23:59:00Z,10/06 19:59,15084,45777,2020-10-06T23:59:00Z,7778257,930493,6804700,702634,15084,,,5466927,539844,51923,487730,526404,50676,475588,,,,,12,2582,23551,5463803,26133,5459711,139,258,59980da6d684f57aaac5058cccfa7e67c5a7af1b,0,0,0,0,0,
20201006,FL,720125,19541,4713453,4085,NaN,5433578,2151,45519,,,,,,A,10/5/2020 23:59,2020-10-05T23:59:00Z,10/05 19:59,14945,45519,2020-10-05T23:59:00Z,7734181,927148,6764112,700584,14945,,,5440799,528773,49819,478794,516042,48639,467286,,,,,12,2251,18644,5437663,20895,5433578,59,237,6b5f41fb3441072c8f819399f442ce209dcfbc13,0,0,0,0,0,
