date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210131,GA,749867,,,,totalTestsViral,6452746,4476,50237,,8399,,,,A+,1/31/2021 14:50,2021-01-31T14:50:00Z,01/31 09:50,14198,50237,2021-01-31T14:50:00Z,6452746,719935,,749867,12570,1628,,,445208,61213,,,,,,159578,,,13,3000,0,749867,27704,749867,2,105,f3ee7fe0d9aab4b677f625f82c40c98194b3cd07,0,0,0,0,0,
20210130,GA,746867,,,,totalTestsViral,6425042,4574,50132,,8390,,,,A+,1/30/2021 14:50,2021-01-30T14:50:00Z,01/30 09:50,14196,50132,2021-01-30T14:50:00Z,6425042,716476,,746867,12568,1628,,,443440,60474,,,,,,158991,,,13,4876,0,746867,46500,746867,210,263,bd5f4ff203fcd0ba82fe4f10acad60dcaadcba5b,0,0,0,0,0,
20210129,GA,741991,,,,totalTestsViral,6378542,4777,49869,,8360,,,,A+,1/28/2021 14:50,2021-01-28T14:50:00Z,01/28 09:50,13986,49869,2021-01-28T14:50:00Z,6378542,710996,,741991,12410,1576,,,441761,59736,,,,,,157524,,,13,4786,0,741991,40314,741991,159,261,7d3d423f8fccd9f7d74a0b39dd46e10c13bf27e7,0,0,0,0,0,
20210128,GA,737205,,,,totalTestsViral,6338228,4953,49608,,8331,,,,A+,1/28/2021 14:50,2021-01-28T14:50:00Z,01/28 09:50,13827,49608,2021-01-28T14:50:00Z,6338228,705770,,737205,12280,1547,,,439649,58885,,,,,,155752,,,13,5379,0,737205,42184,737205,184,361,e86cbe537d272f1ec7521ebfd53ec5fce711573c,0,0,0,0,0,
20210127,GA,731826,,,,totalTestsViral,6296044,5074,49247,,8290,,,,A+,1/27/2021 14:52,2021-01-27T14:52:00Z,01/27 09:52,13643,49247,2021-01-27T14:52:00Z,6296044,700011,,731826,12135,1508,,,437886,58216,,,,,,153779,,,13,4074,0,731826,24499,731826,161,332,2602ac0d3d76c0b581bacfde96b74061348ce5fa,0,0,0,0,0,
20210126,GA,727752,,,,totalTestsViral,6271545,5157,48915,,8248,,,,A+,1/26/2021 14:52,2021-01-26T14:52:00Z,01/26 09:52,13482,48915,2021-01-26T14:52:00Z,6271545,696183,,727752,11996,1486,,,437302,57994,,,,,,151469,,,13,5690,0,727752,36649,727752,179,417,605b6f1eb0a38391b789b9296d2b9c8d8b63ab8b,0,0,0,0,0,
20210125,GA,722062,,,,totalTestsViral,6234896,5231,48498,,8203,,,,A+,1/25/2021 14:50,2021-01-25T14:50:00Z,01/25 09:50,13303,48498,2021-01-25T14:50:00Z,6234896,690288,,722062,11854,1449,,,436787,57763,,,,,,148766,,,13,3530,0,722062,26036,722062,53,113,3a4292667173c2685f258f00de090d94f8e3852c,0,0,0,0,0,
20210124,GA,718532,,,,totalTestsViral,6208860,5293,48385,,8199,,,,A+,1/24/2021 14:50,2021-01-24T14:50:00Z,01/24 09:50,13250,48385,2021-01-24T14:50:00Z,6208860,686333,,718532,11801,1449,,,435326,57197,,,,,,148379,,,13,4210,0,718532,34390,718532,4,115,1648cd53167893d0643af31dd93e0642402fb237,0,0,0,0,0,
20210123,GA,714322,,,,totalTestsViral,6174470,5370,48270,,8183,,,,A+,1/23/2021 14:50,2021-01-23T14:50:00Z,01/23 09:50,13246,48270,2021-01-23T14:50:00Z,6174470,681424,,714322,11798,1448,,,433621,56552,,,,,,147836,,,13,6572,0,714322,52404,714322,186,320,cb7b657f6b813be492594133189e0c704ea90628,0,0,0,0,0,
20210122,GA,707750,,,,totalTestsViral,6122066,5559,47950,,8136,,,,A+,1/22/2021 14:50,2021-01-22T14:50:00Z,01/22 09:50,13060,47950,2021-01-22T14:50:00Z,6122066,673983,,707750,11670,1390,,,431565,55755,,,,,,145423,,,13,6442,0,707750,49452,707750,171,270,8d630b88afcef265dbdf893400dc49e043656d38,0,0,0,0,0,
20210121,GA,701308,,,,totalTestsViral,6072614,5747,47680,,8092,,,,A+,1/21/2021 14:50,2021-01-21T14:50:00Z,01/21 09:50,12889,47680,2021-01-21T14:50:00Z,6072614,667088,,701308,11511,1378,,,429419,54947,,,,,,143491,,,13,5908,0,701308,39417,701308,111,369,7ebbc8a9edccad95e1755c2fca665f23a4a60cfd,0,0,0,0,0,
20210120,GA,695400,,,,totalTestsViral,6033197,5783,47311,,8041,,,,A+,1/20/2021 14:50,2021-01-20T14:50:00Z,01/20 09:50,12778,47311,2021-01-20T14:50:00Z,6033197,661138,,695400,11411,1367,,,427488,54174,,,,,,141249,,,13,5724,0,695400,44460,695400,196,305,2e25f6d43ede93e877cb484a5b0c98c79e04dfff,0,0,0,0,0,
20210119,GA,689676,,,,totalTestsViral,5988737,5905,47006,,8004,,,,A+,1/19/2021 14:50,2021-01-19T14:50:00Z,01/19 09:50,12582,47006,2021-01-19T14:50:00Z,5988737,655190,,689676,11265,1317,,,426980,53977,,,,,,138768,,,13,4913,0,689676,31431,689676,222,265,1bdcb546de9d5673f90914207289bdc2844910e7,0,0,0,0,0,
20210118,GA,684763,,,,totalTestsViral,5957306,5902,46741,,7964,,,,A+,1/18/2021 14:50,2021-01-18T14:50:00Z,01/18 09:50,12360,46741,2021-01-18T14:50:00Z,5957306,649691,,684763,11095,1265,,,426349,53759,,,,,,136189,,,13,4385,0,684763,31865,684763,64,122,0a93bba4df7a8a1b5aca198df8a0138f43650ef7,0,0,0,0,0,
20210117,GA,680378,,,,totalTestsViral,5925441,5835,46619,,7957,,,,A+,1/17/2021 14:50,2021-01-17T14:50:00Z,01/17 09:50,12296,46619,2021-01-17T14:50:00Z,5925441,644603,,680378,11032,1264,,,425142,53314,,,,,,135617,,,13,5384,0,680378,37741,680378,5,104,6e3da4b5371b76c528d500f5925b7fed529e8d4f,0,0,0,0,0,
20210116,GA,674994,,,,totalTestsViral,5887700,5910,46515,,7954,,,,A+,1/16/2021 14:50,2021-01-16T14:50:00Z,01/16 09:50,12291,46515,2021-01-16T14:50:00Z,5887700,638495,,674994,11029,1262,,,423166,52635,,,,,,134669,,,13,6926,0,674994,43679,674994,153,307,4df5f77ce5ef28611f942c04d614cb86d654f5fe,0,0,0,0,0,
20210115,GA,668068,,,,totalTestsViral,5844021,5967,46208,,7919,,,,A+,1/15/2021 14:51,2021-01-15T14:51:00Z,01/15 09:51,12138,46208,2021-01-15T14:51:00Z,5844021,631627,,668068,10878,1260,,,421324,51947,,,,,,133062,,,13,7348,0,668068,43014,668068,163,315,3601e235e48b72b00e850e21ed50d47b66bba19b,0,0,0,0,0,
20210114,GA,660720,,,,totalTestsViral,5801007,5968,45893,,7869,,,,A+,1/14/2021 14:50,2021-01-14T14:50:00Z,01/14 09:50,11975,45893,2021-01-14T14:50:00Z,5801007,624405,,660720,10721,1254,,,419581,51320,,,,,,130604,,,13,6364,0,660720,37033,660720,172,360,2c11f5b6ff0f6d9b5c61f69192db216fc5110d2b,0,0,0,0,0,
