date,state,positive,negative,pending,totalTestResultsSource,totalTestResults,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200927,GU,2354,46365,,NaN,48719,0,30,,9,,,,1668,A,9/26/2020 09:45,2020-09-26T09:45:00Z,09/26 05:45,43,,2020-09-26T09:45:00Z,48254,,,2354,,,,48719,179,3,,,,,,,,,66,0,0,48719,48719,0,0,f91f9271713f3429306743a02d197cf9e1afd045,0,0,0,0,0,
20200926,GU,2354,46365,,NaN,48719,463,30,,9,,,,1668,A,9/26/2020 09:45,2020-09-26T09:45:00Z,09/26 05:45,43,,2020-09-26T09:45:00Z,48254,,,2354,,,,48719,179,3,,,,,,,,,66,68,395,48719,48719,2,0,f2415d8622f608bf7392cfe9d23d015290c17a02,0,0,0,0,0,
20200925,GU,2286,45970,,NaN,48256,569,31,,11,,,,1668,A,9/25/2020 08:00,2020-09-25T08:00:00Z,09/25 04:00,41,,2020-09-25T08:00:00Z,48254,,,2286,,,,48256,179,3,,,,,,,,,66,23,546,48256,48256,3,0,a43108e66d227ebd21d7636646d01dff51c4e916,0,0,0,0,0,
20200924,GU,2263,45424,,NaN,47687,436,33,,11,,,,1568,A,9/24/2020 05:55,2020-09-24T05:55:00Z,09/24 01:55,38,,2020-09-24T05:55:00Z,47685,,,2263,,,,47687,179,3,,,,,,,,,66,28,408,47687,47687,1,0,d6373f037b9b89fef6b429482c031e8da0b441f8,0,0,0,0,0,
20200923,GU,2235,45016,,NaN,47251,423,33,,13,,,,1543,A,9/23/2020 06:45,2020-09-23T06:45:00Z,09/23 02:45,37,,2020-09-23T06:45:00Z,47249,,,2235,,,,47251,175,3,,,,,,,,,66,45,378,47251,47251,0,0,039a620a0d8f03d23bad0cf464c10f9536b37884,0,0,0,0,0,
20200922,GU,2190,44638,,NaN,46828,474,39,,15,,,,1507,A,9/22/2020 05:00,2020-09-22T05:00:00Z,09/22 01:00,37,,2020-09-22T05:00:00Z,46826,,,2190,,,,46828,175,3,,,,,,,,,66,43,431,46828,46828,2,0,0908e49c23b069fed3915c6e5ca77f3515f7184f,0,0,0,0,0,
20200921,GU,2147,44207,,NaN,46354,396,38,,18,,,,1505,A,9/21/2020 09:00,2020-09-21T09:00:00Z,09/21 05:00,35,,2020-09-21T09:00:00Z,46352,,,2147,,,,46354,175,3,,,,,,,,,66,30,366,46354,46354,1,0,112b0ab1aa259ecba5518e86aef25f3403c72e88,0,0,0,0,0,
20200920,GU,2117,43841,,NaN,45958,0,36,,19,,,,1450,A,9/19/2020 04:15,2020-09-19T04:15:00Z,09/19 00:15,34,,2020-09-19T04:15:00Z,45651,,,2117,,,,45958,172,3,,,,,,,,,66,0,0,45958,45958,0,0,5e9558a1ef9a8012b713bc22c0978b3d1d51e32c,0,0,0,0,0,
20200919,GU,2117,43841,,NaN,45958,305,36,,19,,,,1450,A,9/19/2020 04:15,2020-09-19T04:15:00Z,09/19 00:15,34,,2020-09-19T04:15:00Z,45651,,,2117,,,,45958,172,3,,,,,,,,,66,43,262,45958,45958,1,0,a97baf90418787ea4defccb122fe3abee8cafa2e,0,0,0,0,0,
20200918,GU,2074,43579,,NaN,45653,400,41,,19,,,,1450,A,9/18/2020 07:45,2020-09-18T07:45:00Z,09/18 03:45,33,,2020-09-18T07:45:00Z,45651,,,2074,,,,45653,172,3,,,,,,,,,66,29,371,45653,45653,2,0,af3934f7368ee8c1cbd52b7c08fccc4c0fe85aa0,0,0,0,0,0,
