date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210216,HI,27623,717,,,totalTestEncountersViral,1039472,38,2174,14,,9,,,2/14/2021 14:30,2021-02-14T14:30:00Z,02/14 09:30,426,2174,2021-02-14T14:30:00Z,,26433,,26906,426,,1039472,,,,,,,,,,,,15,17,0,27623,459,27623,,0,25,24759ed703a2011f396d1de48ba102d44bb047c4,0,0,0,0,0,
20210215,HI,27606,717,,,totalTestEncountersViral,1039013,40,2149,13,,10,,,2/13/2021 14:30,2021-02-13T14:30:00Z,02/13 09:30,426,2149,2021-02-13T14:30:00Z,,26420,,26889,426,,1039013,,,,,,,,,,,,15,33,0,27606,4273,27606,,0,0,e8ca2bbfc5796feb54a37a6bcab165b1de37ff5c,0,0,0,0,0,
20210214,HI,27573,717,,,totalTestEncountersViral,1034740,40,2149,13,,10,,,2/12/2021 14:30,2021-02-12T14:30:00Z,02/12 09:30,426,2149,2021-02-12T14:30:00Z,,26354,,26856,426,,1034740,,,,,,,,,,,,15,46,0,27573,5584,27573,,1,0,c7f98b95b741149a9ad969bfaf447785bdd4845b,0,0,0,0,0,
20210213,HI,27527,717,,,totalTestEncountersViral,1029156,40,2149,13,,10,,,2/11/2021 14:30,2021-02-11T14:30:00Z,02/11 09:30,425,2149,2021-02-11T14:30:00Z,,26354,,26810,425,,1029156,,,,,,,,,,,,15,67,0,27527,5604,27527,,0,0,d071be5776fd38aee9da562929caf3ad8cbf2596,0,0,0,0,0,
20210212,HI,27460,717,,,totalTestEncountersViral,1023552,40,2149,13,,10,,,2/10/2021 14:30,2021-02-10T14:30:00Z,02/10 09:30,425,2149,2021-02-10T14:30:00Z,,26290,,26743,425,,1023552,,,,,,,,,,,,15,90,0,27460,5556,27460,,1,2,b3675be08b9c6f699bab4de26bd36b940afe5d29,0,0,0,0,0,
20210211,HI,27370,695,,,totalTestEncountersViral,1017996,49,2147,14,,12,,,2/9/2021 14:30,2021-02-09T14:30:00Z,02/09 09:30,424,2147,2021-02-09T14:30:00Z,,26227,,26675,424,,1017996,,,,,,,,,,,,15,91,0,27370,5184,27370,,1,8,50c56241568ca45e0fc776f3cc2ab4920f4b54de,0,0,0,0,0,
20210210,HI,27279,695,,,totalTestEncountersViral,1012812,58,2139,16,,17,,,2/8/2021 14:30,2021-02-08T14:30:00Z,02/08 09:30,423,2139,2021-02-08T14:30:00Z,,26147,,26584,423,,1012812,,,,,,,,,,,,15,53,0,27279,4322,27279,,5,-1,d994b0873efe22ddcaf77029141dc118c19305cb,0,0,0,0,0,
20210209,HI,27226,695,,,totalTestEncountersViral,1008490,63,2140,16,,12,,,2/7/2021 14:30,2021-02-07T14:30:00Z,02/07 09:30,418,2140,2021-02-07T14:30:00Z,,26098,,26531,418,,1008490,,,,,,,,,,,,15,31,0,27226,2809,27226,,0,0,e83570e85b4577fbdedf5deee55c692fdf4fd257,0,0,0,0,0,
20210208,HI,27195,695,,,totalTestEncountersViral,1005681,82,2140,22,,16,,,2/6/2021 14:30,2021-02-06T14:30:00Z,02/06 09:30,418,2140,2021-02-06T14:30:00Z,,26071,,26500,418,,1005681,,,,,,,,,,,,15,32,0,27195,3662,27195,,0,34,6d512a7f48bfa0731f2a9fc68d3ba278369c7103,0,0,0,0,0,
20210207,HI,27163,695,,,totalTestEncountersViral,1002019,64,2106,17,,13,,,2/5/2021 14:30,2021-02-05T14:30:00Z,02/05 09:30,418,2106,2021-02-05T14:30:00Z,,26043,,26468,418,,1002019,,,,,,,,,,,,15,75,0,27163,4696,27163,,2,0,5c267e65e896936ecd0b95b086a566f3d061a408,0,0,0,0,0,
