date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201106,IA,133510,,788507,,posNeg,922017,912,,188,,,,99243,A+,11/6/2020 00:00,2020-11-06T24:00:00Z,11/05 19:00,1818,,2020-11-06T24:00:00Z,,,,133510,,,,923705,,,,68582,3987,64555,90450,11106,,,19,2778,2835,922017,5613,922017,16,0,b78981200dae8503f389ba19aa93c75a5ec574c5,0,0,0,0,0,
20201105,IA,130732,,785672,,posNeg,916404,839,,188,,60,,98037,A+,11/5/2020 00:00,2020-11-05T24:00:00Z,11/04 19:00,1802,,2020-11-05T24:00:00Z,,,,130732,,,,918096,,,,68349,3970,64339,88445,10502,,,19,3992,4358,916404,8350,916404,15,0,7d3ca86e286eec2d0e0c7b57f0f3729ac384dc2c,0,0,0,0,0,
20201104,IA,126740,,781314,,posNeg,908054,777,,182,,63,,96753,A+,11/4/2020 00:00,2020-11-04T24:00:00Z,11/03 19:00,1787,,2020-11-04T24:00:00Z,,,,126740,,,,909756,,,,68036,3952,64044,86091,9782,,,19,2276,2642,908054,4918,908054,24,0,e9582a0d97da43c3e3c2c8d5bdd5f7d5872c6e76,0,0,0,0,0,
20201103,IA,124464,,778672,,posNeg,903136,730,,170,,59,,95500,A+,11/3/2020 00:00,2020-11-03T24:00:00Z,11/02 19:00,1763,,2020-11-03T24:00:00Z,,,,124464,,,,904836,,,,67791,3938,63813,84206,9145,,,19,1092,1050,903136,2142,903136,22,0,92ec04b688f55fa119fe3af55a5ff7cd427d3d5b,0,0,0,0,0,
20201102,IA,123372,,777622,,posNeg,900994,718,,156,,57,,93943,A+,11/2/2020 00:00,2020-11-02T24:00:00Z,11/01 19:00,1741,,2020-11-02T24:00:00Z,,,,123372,,,,902681,,,,67608,3921,63647,82806,8741,,,19,1405,2414,900994,3819,900994,24,0,03249df76e6083257440966a16356cae79413bff,0,0,0,0,0,
20201101,IA,121967,,775208,,posNeg,897175,718,,156,,57,,93522,A+,11/1/2020 00:00,2020-11-01T24:00:00Z,10/31 20:00,1717,,2020-11-01T24:00:00Z,,,,121967,,,,898851,,,,67569,3909,63620,81999,8393,,,19,2212,4531,897175,6743,897175,1,0,e83cab66236a197628b554ffec341e32e72f4961,0,0,0,0,0,
20201031,IA,119755,,770677,,posNeg,890432,630,,153,,55,,93200,A+,10/31/2020 00:00,2020-10-31T24:00:00Z,10/30 20:00,1716,,2020-10-31T24:00:00Z,,,,119755,,,,892097,,,,67286,3889,63357,81284,8197,,,19,2570,3610,890432,6180,890432,10,0,a903bba5787efd56b1aa38958423313b4c43f9c7,0,0,0,0,0,
20201030,IA,117185,,767067,,posNeg,884252,606,,152,,55,,92387,A+,10/30/2020 00:00,2020-10-30T24:00:00Z,10/29 20:00,1706,,2020-10-30T24:00:00Z,,,,117185,,,,885919,,,,66863,3850,62973,79221,7759,,,19,2203,3185,884252,5388,884252,13,0,133e44ba44201bec00465c675c850ed69838c87a,0,0,0,0,0,
20201029,IA,114982,,763882,,posNeg,878864,605,,135,,56,,91449,A+,10/29/2020 00:00,2020-10-29T24:00:00Z,10/28 20:00,1693,,2020-10-29T24:00:00Z,,,,114982,,,,880527,,,,66562,3831,62691,77568,7349,,,19,1940,3562,878864,5502,878864,11,0,9e431d89677a97e600b223b535dede1ad8784f2f,0,0,0,0,0,
20201028,IA,113042,,760320,,posNeg,873362,596,,136,,51,,90532,A+,10/28/2020 00:00,2020-10-28T24:00:00Z,10/27 20:00,1682,,2020-10-28T24:00:00Z,,,,113042,,,,875020,,,,66342,3807,62495,75535,6949,,,19,1781,2561,873362,4342,873362,21,0,0cf6d036b21763a345bbd46b87c22c291fb499f9,0,0,0,0,0,
