date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201102,IL,429761,6259,7452919,,posNeg,7882680,3371,,722,,298,,,A,11/2/2020 00:00,2020-11-02T00:00:00Z,11/01 19:00,10093,,2020-11-02T00:00:00Z,7876421,,,423502,9810,283,,,,,,,,,,,,,17,6222,61896,7882680,68118,7882680,18,0,121480926dab0d33b3e533059843b5619da646de,0,0,0,0,0,
20201101,IL,423539,6259,7391023,,posNeg,7814562,3294,,692,,284,,,A,11/1/2020 00:00,2020-11-01T00:00:00Z,10/31 20:00,10075,,2020-11-01T00:00:00Z,7808303,,,417280,9792,283,,,,,,,,,,,,,17,6980,71478,7814562,78458,7814562,25,0,29d5dcb26d500d666b5ee468bbc38ff7ac0d2a78,0,0,0,0,0,
20201031,IL,416559,6259,7319545,,posNeg,7736104,3228,,680,,290,,,A,10/31/2020 00:59,2020-10-31T00:59:00Z,10/30 20:59,10050,,2020-10-31T00:59:00Z,7729845,,,410300,9757,283,,,,,,,,,,,,,17,7899,84737,7736104,92636,7736104,56,0,761b674a2a1d75759d30f7d993b52de04c288197,0,0,0,0,0,
20201030,IL,408660,6259,7234808,,posNeg,7643468,3092,,673,,288,,,A,10/30/2020 00:00,2020-10-30T00:00:00Z,10/29 20:00,9994,,2020-10-30T00:00:00Z,7637209,,,402401,9711,283,,,,,,,,,,,,,17,8489,88168,7643468,96657,7643468,49,0,ed9984a0e4a817df2a09521fb8ffe6bc95498fc7,0,0,0,0,0,
20201029,IL,400171,4713,7146640,,posNeg,7546811,3030,,643,,269,,,A,10/29/2020 00:00,2020-10-29T00:00:00Z,10/28 20:00,9945,,2020-10-29T00:00:00Z,7542098,,,395458,9675,270,,,,,,,,,,,,,17,6363,76693,7546811,83056,7546811,56,0,79d8506d93970455410d9c3fd845f50545c35331,0,0,0,0,0,
20201028,IL,393808,4713,7069947,,posNeg,7463755,2861,,600,,243,,,A,10/28/2020 00:00,2020-10-28T00:00:00Z,10/27 20:00,9889,,2020-10-28T00:00:00Z,7459042,,,389095,9619,270,,,,,,,,,,,,,17,6110,64642,7463755,70752,7463755,51,0,cc73a21015bcb6be90fec74d23dc92b71a7c6e20,0,0,0,0,0,
20201027,IL,387698,4713,7005305,,posNeg,7393003,2758,,595,,241,,,A,10/27/2020 00:00,2020-10-27T00:00:00Z,10/26 20:00,9838,,2020-10-27T00:00:00Z,7388290,,,382985,9568,270,,,,,,,,,,,,,17,4000,58074,7393003,62074,7393003,46,0,6b4461151783d64ff22920e58a80be4956a7f4c6,0,0,0,0,0,
20201026,IL,383698,4713,6947231,,posNeg,7330929,2638,,589,,238,,,A,10/26/2020 00:00,2020-10-26T00:00:00Z,10/25 20:00,9792,,2020-10-26T00:00:00Z,7326216,,,378985,9522,270,,,,,,,,,,,,,17,4729,52535,7330929,57264,7330929,17,0,7aea58c01a046527a35829991ce49b976b243641,0,0,0,0,0,
20201025,IL,378969,4713,6894696,,posNeg,7273665,2605,,565,,214,,,A,10/25/2020 00:00,2020-10-25T00:00:00Z,10/24 20:00,9775,,2020-10-25T00:00:00Z,7268952,,,374256,9505,270,,,,,,,,,,,,,17,4062,68035,7273665,72097,7273665,24,0,52574c88e72347b0b1b45ab6d2ad2d2b8c344b0f,0,0,0,0,0,
20201024,IL,374907,4713,6826661,,posNeg,7201568,2616,,560,,222,,,A,10/24/2020 00:00,2020-10-24T00:00:00Z,10/23 20:00,9751,,2020-10-24T00:00:00Z,7196855,,,370194,9481,270,,,,,,,,,,,,,17,6161,77356,7201568,83517,7201568,63,0,da2379c3f4a76de03db1c8f496f14f8d788c65a2,0,0,0,0,0,
20201023,IL,368746,4713,6749305,,posNeg,7118051,2498,,511,,197,,,A,10/23/2020 00:00,2020-10-23T00:00:00Z,10/22 20:00,9688,,2020-10-23T00:00:00Z,7113338,,,364033,9418,270,,,,,,,,,,,,,17,5000,78382,7118051,83382,7118051,41,0,6d3201f8414bcaf76549416f65ee2b66c4e61add,0,0,0,0,0,
20201022,IL,363746,3587,6670923,,posNeg,7034669,2463,,525,,212,,,A,10/22/2020 00:00,2020-10-22T00:00:00Z,10/21 20:00,9647,,2020-10-22T00:00:00Z,7031082,,,360159,9387,260,,,,,,,,,,,,,17,4942,76035,7034669,80977,7034669,42,0,1cb0b064da27e9c6bdbba90d8d74f261ba612f5a,0,0,0,0,0,
20201021,IL,358804,3587,6594888,,posNeg,6953692,2338,,502,,194,,,A,10/21/2020 00:00,2020-10-21T00:00:00Z,10/20 20:00,9605,,2020-10-21T00:00:00Z,6950105,,,355217,9345,260,,,,,,,,,,,,,17,4342,62449,6953692,66791,6953692,68,0,e28df2409c2123884e46eb03d5124cefe39a3f06,0,0,0,0,0,
20201020,IL,354462,3587,6532439,,posNeg,6886901,2261,,489,,195,,,A,10/19/2020 00:00,2020-10-19T00:00:00Z,10/18 20:00,9537,,2020-10-19T00:00:00Z,6883314,,,350875,9277,260,,,,,,,,,,,,,17,3714,55363,6886901,59077,6886901,41,0,a79c962511fd744c86427331d4c0f117062c12f9,0,0,0,0,0,
20201019,IL,350748,3587,6477076,,posNeg,6827824,2096,,485,,179,,,A,10/19/2020 00:00,2020-10-19T00:00:00Z,10/18 20:00,9496,,2020-10-19T00:00:00Z,6824237,,,347161,9236,260,,,,,,,,,,,,,17,3113,45571,6827824,48684,6827824,22,0,b128ecb3b48c963538ffde86b9260f7c5306496c,0,0,0,0,0,
20201018,IL,347635,3587,6431505,,posNeg,6779140,2012,,408,,157,,,A,10/18/2020 00:00,2020-10-18T00:00:00Z,10/17 20:00,9474,,2020-10-18T00:00:00Z,6775553,,,344048,9214,260,,,,,,,,,,,,,17,4245,75051,6779140,79296,6779140,22,0,fc604055b86728e1807c2ce2578635a9cadd3190,0,0,0,0,0,
20201017,IL,343390,3587,6356454,,posNeg,6699844,2073,,422,,165,,,A,10/17/2020 00:00,2020-10-17T00:00:00Z,10/16 20:00,9452,,2020-10-17T00:00:00Z,6696257,,,339803,9192,260,,,,,,,,,,,,,17,3629,73860,6699844,77489,6699844,27,0,4ff1b1eb27c6820e21e111eb836207551a5f8852,0,0,0,0,0,
20201016,IL,339761,3587,6282594,,posNeg,6622355,2016,,410,,151,,,A,10/16/2020 00:00,2020-10-16T00:00:00Z,10/15 20:00,9425,,2020-10-16T00:00:00Z,6618768,,,336174,9165,260,,,,,,,,,,,,,17,5103,83205,6622355,88308,6622355,52,0,4ac8d1fb290513f7e6a0da2dcdf5b0ff06029671,0,0,0,0,0,
20201015,IL,334658,3038,6199389,,posNeg,6534047,1932,,388,,147,,,A,10/15/2020 00:00,2020-10-15T00:00:00Z,10/14 20:00,9373,,2020-10-15T00:00:00Z,6531009,,,331620,9127,246,,,,,,,,,,,,,17,4015,63071,6534047,67086,6534047,53,0,3b6c8bbd600eddd61c6c30897954695eb21189ad,0,0,0,0,0,
