date,state,positive,negative,pending,totalTestResultsSource,totalTestResults,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200928,IN,118322,1247972,,NaN,1366294,7434,957,12654,299,2515,93,,92847,A+,9/27/2020 23:59,2020-09-27T23:59:00Z,09/27 19:59,3591,12654,2020-09-27T23:59:00Z,2029571,,,,3365,226,,1366294,,,,,,,,,,,18,872,6562,1366294,1366294,11,58,aaf7da4420652bf0f0b55142c66b3bdd0b07527a,0,0,0,0,0,
20200927,IN,117450,1241410,,NaN,1358860,8470,910,12596,282,2511,92,,92552,A+,9/26/2020 23:59,2020-09-26T23:59:00Z,09/26 19:59,3580,12596,2020-09-26T23:59:00Z,2012675,,,,3354,226,,1358860,,,,,,,,,,,18,901,7569,1358860,1358860,3,75,f8a6d6233217efa3accd26d5151d5e09185fcad9,0,0,0,0,0,
20200926,IN,116549,1233841,,NaN,1350390,8928,910,12521,259,2497,92,,92306,A+,9/25/2020 23:59,2020-09-25T23:59:00Z,09/25 19:59,3577,12521,2020-09-25T23:59:00Z,1989928,,,,3351,226,,1350390,,,,,,,,,,,18,1142,7786,1350390,1350390,11,58,da9f3a3fcd2d45b8c534d39c22d369dd16538aed,0,0,0,0,0,
20200925,IN,115407,1226055,,NaN,1341462,9854,856,12463,258,2484,83,,91866,A+,9/24/2020 23:59,2020-09-24T23:59:00Z,09/24 19:59,3566,12463,2020-09-24T23:59:00Z,1963006,,,,3340,226,,1341462,,,,,,,,,,,18,1171,8683,1341462,1341462,18,75,d2808ddc9f148d23a8eee142fdc25d8125980af5,0,0,0,0,0,
20200924,IN,114236,1217372,,NaN,1331608,8789,840,12388,261,2462,83,,90979,A+,9/23/2020 23:59,2020-09-23T23:59:00Z,09/23 19:59,3548,12388,2020-09-23T23:59:00Z,1937499,,,,3322,226,,1331608,,,,,,,,,,,18,899,7890,1331608,1331608,18,76,ad01de8844e2d862e335f280de54a359da2acbce,0,0,0,0,0,
20200923,IN,113337,1209482,,NaN,1322819,7379,815,12312,272,2448,78,,90069,A+,9/22/2020 23:59,2020-09-22T23:59:00Z,09/22 19:59,3530,12312,2020-09-22T23:59:00Z,1916433,,,,3305,225,,1322819,,,,,,,,,,,18,711,6668,1322819,1322819,10,47,2f46295b287353399b4b49ea48e32faa61e656bd,0,0,0,0,0,
20200922,IN,112626,1202814,,NaN,1315440,6795,759,12265,254,2439,79,,89072,A+,9/21/2020 23:59,2020-09-21T23:59:00Z,09/21 19:59,3520,12265,2020-09-21T23:59:00Z,1898563,,,,3295,225,,1315440,,,,,,,,,,,18,599,6196,1315440,1315440,8,81,7177f3e1c733b9a4966e62955a5ddb68439a1854,0,0,0,0,0,
20200921,IN,112027,1196618,,NaN,1308645,6705,766,12184,228,2428,72,,88173,A+,9/20/2020 23:59,2020-09-20T23:59:00Z,09/20 19:59,3512,12184,2020-09-20T23:59:00Z,1882248,,,,3287,225,,1308645,,,,,,,,,,,18,522,6183,1308645,1308645,6,41,ae05d780942a60a10259fcf139d105d2806b0a53,0,0,0,0,0,
20200920,IN,111505,1190435,,NaN,1301940,9325,754,12143,218,2410,72,,87090,A+,9/19/2020 23:59,2020-09-19T23:59:00Z,09/19 19:59,3506,12143,2020-09-19T23:59:00Z,1867826,,,,3281,225,,1301940,,,,,,,,,,,18,746,8579,1301940,1301940,3,52,24053150b95d97b084f7499209f9a90df88ecec0,0,0,0,0,0,
20200919,IN,110759,1181856,,NaN,1292615,11177,762,12091,239,2402,74,,86260,A+,9/18/2020 23:59,2020-09-18T23:59:00Z,09/18 19:59,3503,12091,2020-09-18T23:59:00Z,1844301,,,,3278,225,,1292615,,,,,,,,,,,18,1076,10101,1292615,1292615,8,56,3ce752a5bc35fa738daf0e7b4b8a40b58e2a05a9,0,0,0,0,0,
