date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201031,KS,85181,,557601,,posNeg,642782,512,3832,145,1067,53,323,2659,A+,10/30/2020 10:00,2020-10-30T10:00:00Z,10/30 06:00,1029,3832,2020-10-30T10:00:00Z,,,,,,,,642782,,,,,,,,,,,20,0,0,642782,0,642782,0,0,00d9370ddba3787cfcbdbd4fc24eccb5d6d06cf2,0,0,0,0,0,
20201030,KS,85181,,557601,,posNeg,642782,512,3832,145,1067,53,323,2659,A+,10/30/2020 10:00,2020-10-30T10:00:00Z,10/30 06:00,1029,3832,2020-10-30T10:00:00Z,,,,,,,,642782,,,,,,,,,,,20,3136,6613,642782,9749,642782,22,80,1e4780e5226f0940a36cfe6f226ba413e65c2b7e,0,0,0,0,0,
20201029,KS,82045,,550988,,posNeg,633033,432,3752,120,1043,40,318,2604,A+,10/28/2020 10:00,2020-10-28T10:00:00Z,10/28 06:00,1007,3752,2020-10-28T10:00:00Z,,,,,,,,633033,,,,,,,,,,,20,0,0,633033,0,633033,0,0,49a73d4f4090dcc6bab2e55a4073c6c0f0bd5691,0,0,0,0,0,
20201028,KS,82045,,550988,,posNeg,633033,432,3752,120,1043,40,318,2604,A+,10/28/2020 10:00,2020-10-28T10:00:00Z,10/28 06:00,1007,3752,2020-10-28T10:00:00Z,,,,,,,,633033,,,,,,,,,,,20,3369,3733,633033,7102,633033,31,106,7e4410fcf8e185ad7c8384a37fd82a87f5251262,0,0,0,0,0,
20201027,KS,78676,,547255,,posNeg,625931,362,3646,103,1009,39,313,2549,A+,10/26/2020 10:00,2020-10-26T10:00:00Z,10/26 06:00,976,3646,2020-10-26T10:00:00Z,,,,,,,,625931,,,,,,,,,,,20,0,0,625931,0,625931,0,0,a201ff42cfbf564c3d7f35e2e60531ff62077714,0,0,0,0,0,
20201026,KS,78676,,547255,,posNeg,625931,362,3646,103,1009,39,313,2549,A+,10/26/2020 10:00,2020-10-26T10:00:00Z,10/26 06:00,976,3646,2020-10-26T10:00:00Z,,,,,,,,625931,,,,,,,,,,,20,2446,7223,625931,9669,625931,1,62,e7baa2e2e3456bcbc8324ecddf3bfdeb062c5ddf,0,0,0,0,0,
20201025,KS,76230,,540032,,posNeg,616262,403,3584,2,1001,41,309,2518,A+,10/23/2020 10:00,2020-10-23T10:00:00Z,10/23 06:00,975,3584,2020-10-23T10:00:00Z,,,,,,,,616262,,,,,,,,,,,20,0,0,616262,0,616262,0,0,7e37095c35469d1d3d54fc2b443955ac97433a11,0,0,0,0,0,
20201024,KS,76230,,540032,,posNeg,616262,403,3584,2,1001,41,309,2518,A+,10/23/2020 10:00,2020-10-23T10:00:00Z,10/23 06:00,975,3584,2020-10-23T10:00:00Z,,,,,,,,616262,,,,,,,,,,,20,0,0,616262,0,616262,0,0,802894227c31cea16f53daf44abdd30e31f14a7b,0,0,0,0,0,
20201023,KS,76230,,540032,,posNeg,616262,403,3584,2,1001,41,309,2518,A+,10/23/2020 10:00,2020-10-23T10:00:00Z,10/23 06:00,975,3584,2020-10-23T10:00:00Z,,,,,,,,616262,,,,,,,,,,,20,1774,8979,616262,10753,616262,23,78,85b33815a3b66e0dc6485cc09edd2af419522876,0,0,0,0,0,
20201022,KS,74456,,531053,,posNeg,605509,329,3506,1,975,45,299,2485,A+,10/21/2020 10:00,2020-10-21T10:00:00Z,10/21 06:00,952,3506,2020-10-21T10:00:00Z,,,,,,,,605509,,,,,,,,,,,20,0,0,605509,0,605509,0,0,f0ef06a29c9b675ea7d161a46c5e9645398e24e1,0,0,0,0,0,
20201021,KS,74456,,531053,,posNeg,605509,329,3506,1,975,45,299,2485,A+,10/21/2020 10:00,2020-10-21T10:00:00Z,10/21 06:00,952,3506,2020-10-21T10:00:00Z,,,,,,,,605509,,,,,,,,,,,20,1488,5627,605509,7115,605509,80,85,2d940d2274c73697a70866cf1dc6fd28daa43a9c,0,0,0,0,0,
20201020,KS,72968,,525426,,posNeg,598394,285,3421,81,952,39,294,2415,A+,10/19/2020 10:00,2020-10-19T10:00:00Z,10/19 06:00,872,3421,2020-10-19T10:00:00Z,,,,,,,,598394,,,,,,,,,,,20,0,0,598394,0,598394,0,0,04838187a2dac1d38a44b98980f1d2e3c4416f98,0,0,0,0,0,
20201019,KS,72968,,525426,,posNeg,598394,285,3421,81,952,39,294,2415,A+,10/19/2020 10:00,2020-10-19T10:00:00Z,10/19 06:00,872,3421,2020-10-19T10:00:00Z,,,,,,,,598394,,,,,,,,,,,20,2113,7092,598394,9205,598394,13,51,549fdfd57af35605f49e4cb74c954b6699cda2e0,0,0,0,0,0,
20201018,KS,70855,,518334,,posNeg,589189,456,3370,123,933,47,284,2379,A+,10/16/2020 10:00,2020-10-16T10:00:00Z,10/16 06:00,859,3370,2020-10-16T10:00:00Z,,,,,,,,589189,,,,,,,,,,,20,0,0,589189,0,589189,0,0,11f8d52da4028ab45291e4130821fa2770e9eb29,0,0,0,0,0,
20201017,KS,70855,,518334,,posNeg,589189,456,3370,123,933,47,284,2379,A+,10/16/2020 10:00,2020-10-16T10:00:00Z,10/16 06:00,859,3370,2020-10-16T10:00:00Z,,,,,,,,589189,,,,,,,,,,,20,0,0,589189,0,589189,0,0,c7f77479d1408bba7bab8e61a27109b03130c2b5,0,0,0,0,0,
20201016,KS,70855,,518334,,posNeg,589189,456,3370,123,933,47,284,2379,A+,10/16/2020 10:00,2020-10-16T10:00:00Z,10/16 06:00,859,3370,2020-10-16T10:00:00Z,,,,,,,,589189,,,,,,,,,,,20,1700,7662,589189,9362,589189,21,61,2cc7bc5aabf05f5c558bcd63f42f99b2d1908b8c,0,0,0,0,0,
20201015,KS,69155,,510672,,posNeg,579827,488,3309,128,913,42,280,2340,A+,10/14/2020 10:00,2020-10-14T10:00:00Z,10/14 06:00,838,3309,2020-10-14T10:00:00Z,,,,,,,,579827,,,,,,,,,,,20,0,0,579827,0,579827,0,0,92d12b1ba573c88e9e09d8d84e2888f40ac2e48d,0,0,0,0,0,
20201014,KS,69155,,510672,,posNeg,579827,488,3309,128,913,42,280,2340,A+,10/14/2020 10:00,2020-10-14T10:00:00Z,10/14 06:00,838,3309,2020-10-14T10:00:00Z,,,,,,,,579827,,,,,,,,,,,20,1293,6453,579827,7746,579827,67,70,b75f102a334aa2ed3ac17bda07e36a330574f183,0,0,0,0,0,
20201013,KS,67862,,504219,,posNeg,572081,355,3239,111,890,42,274,2301,A+,10/12/2020 10:00,2020-10-12T10:00:00Z,10/12 06:00,771,3239,2020-10-12T10:00:00Z,,,,,,,,572081,,,,,,,,,,,20,0,0,572081,0,572081,0,0,9c5e46a8522440201d8a4f5d1b7a295a30bcee22,0,0,0,0,0,
20201012,KS,67862,,504219,,posNeg,572081,355,3239,111,890,42,274,2301,A+,10/12/2020 10:00,2020-10-12T10:00:00Z,10/12 06:00,771,3239,2020-10-12T10:00:00Z,,,,,,,,572081,,,,,,,,,,,20,2055,9837,572081,11892,572081,8,54,3d8debfcf7bca07f4f698f1045d341283a33357a,0,0,0,0,0,
20201011,KS,65807,,494382,,posNeg,560189,469,3185,119,877,34,271,2275,A+,10/9/2020 10:00,2020-10-09T10:00:00Z,10/09 06:00,763,3185,2020-10-09T10:00:00Z,,,,,,,,560189,,,,,,,,,,,20,0,0,560189,0,560189,0,0,8fed0dcff6c1931e34b86716ea9283c14c8848e9,0,0,0,0,0,
20201010,KS,65807,,494382,,posNeg,560189,469,3185,119,877,34,271,2275,A+,10/9/2020 10:00,2020-10-09T10:00:00Z,10/09 06:00,763,3185,2020-10-09T10:00:00Z,,,,,,,,560189,,,,,,,,,,,20,0,0,560189,0,560189,0,0,d84334901b1b4f01c2a32d7615cb92ada787d95d,0,0,0,0,0,
