date,state,fips,positive,positiveIncrease,negative,negativeIncrease,pending,total,totalTestResults,totalTestResultsIncrease,posNeg,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,death,deathIncrease,hospitalized,hospitalizedIncrease,dateChecked,hash
20200520,KY,21,8069,0,145917,0,,153986,153986,0,153986,443,2010,269,875,,,2826,A,5/19/2020 17:00,366,0,2010,30,2020-05-20T20:00:00Z,01ff0a7e3ac862702897f00454cd2111b3437cfc
20200519,KY,21,8069,381,145917,23920,,153986,153986,24301,153986,447,1980,277,866,,,2826,A+,5/19/2020 17:00,366,32,1980,84,2020-05-19T20:00:00Z,14f3b4cdbf5f41a47e2db61438f9330945620d8e
20200518,KY,21,7688,0,121997,0,,129685,129685,0,129685,381,1896,218,797,,,2768,A+,5/16/2020 17:19,334,0,1896,0,2020-05-18T20:00:00Z,57e1c7f8a67385506f2e618b709e295071649e55
20200517,KY,21,7688,244,121997,1707,,129685,129685,1951,129685,381,1896,218,797,,,2768,A+,5/16/2020 17:19,334,2,1896,0,2020-05-17T20:00:00Z,5757b9463d712bd78ebcd7b98b09053e51d09b04
20200516,KY,21,7444,219,120290,6237,,127734,127734,6456,127734,381,1896,218,797,,,2739,A+,5/15/2020 17:00,332,4,1896,9,2020-05-16T20:00:00Z,8234fbef8b53466ce0852b9730cbb5bafa04b5cf
20200515,KY,21,7225,145,114053,3738,,121278,121278,3883,121278,385,1887,220,794,,,2712,A+,5/14/2020 17:00,328,2,1887,52,2020-05-15T20:00:00Z,4e14469f699bae2edc188245507bfff1f5a4f038
20200514,KY,21,7080,227,110315,6534,,117395,117395,6761,117395,377,1835,215,784,,,2649,A+,5/13/2020 17:00,326,5,1835,10,2020-05-14T20:00:00Z,4a944b4c6e40b586bcb297bbf763f12e02c55e13
20200513,KY,21,6853,176,103781,6434,,110634,110634,6610,110634,379,1825,215,783,,,2546,A+,5/12/2020 17:00,321,10,1825,58,2020-05-13T20:00:00Z,1809e387b18a992aa62fb7f0a5ae94365aa604f5
20200512,KY,21,6677,237,97347,16864,,104024,104024,17101,104024,383,1767,220,768,,,2335,A+,5/11/2020 17:00,311,7,1767,10,2020-05-12T20:00:00Z,dcfb480e1dae0a42b84b5856202efeb065eaa731
20200511,KY,21,6440,0,80483,0,,86923,86923,0,86923,394,1757,226,758,,,2308,A,5/9/2020 17:00,304,0,1757,0,2020-05-11T20:00:00Z,492fb72af7933d667723503a506fabe369268f8a
20200510,KY,21,6440,152,80483,324,,86923,86923,476,86923,394,1757,226,758,,,2308,A,5/9/2020 17:00,304,6,1757,61,2020-05-10T20:00:00Z,3f5afe280fdfd4fac5060c2198edd269234d4224
20200509,KY,21,6288,159,80159,4887,,86447,86447,5046,86447,369,1696,210,723,,,2266,A,5/8/2020 17:00,298,4,1696,12,2020-05-09T20:00:00Z,943acfc4d1183f210294eb7ff695c14988f66751
20200508,KY,21,6129,195,75272,2600,,81401,81401,2795,81401,356,1684,199,714,,,2177,A,5/7/2020 17:00,294,11,1684,68,2020-05-08T20:00:00Z,b109acb5bf3bbf96d8865f082039a3e2c05730c3
20200507,KY,21,5934,112,72672,17480,,78606,78606,17592,78606,351,1616,190,693,,,2125,A,5/6/2020 17:00,283,8,1616,13,2020-05-07T20:00:00Z,9a2f9f36b46f0c31ac48134180dbdde7cc519311
20200506,KY,21,5822,577,55192,390,,61014,61014,967,61014,347,1603,189,685,,,2058,A,5/5/2020 17:00,275,14,1603,74,2020-05-06T20:00:00Z,bea416b379a38e6c91b723ddad0ef00ea7baab90
20200505,KY,21,5245,115,54802,1523,,60047,60047,1638,60047,333,1529,174,659,,,1892,A,5/4/2020 17:00,261,8,1529,10,2020-05-05T20:00:00Z,4cf443d80ff8ae592f42f3058c29ffff8763f209
20200504,KY,21,5130,251,53279,509,,58409,58409,760,58409,329,1519,170,654,,,1892,A,5/3/2020 17:00,253,5,1519,108,2020-05-04T20:00:00Z,d8f4ad76781bd2e6066b51fb932f31586e487772
20200503,KY,21,4879,0,52770,0,,57649,57649,0,57649,334,1411,178,652,,,1752,A,5/1/2020 17:00,248,0,1411,0,2020-05-03T20:00:00Z,5aea2aca250d171c2e8f2fad30715c353d1519fb
20200502,KY,21,4879,171,52770,866,,57649,57649,1037,57649,334,1411,178,652,,,1752,A,5/1/2020 17:00,248,8,1411,36,2020-05-02T20:00:00Z,7d88f9b415223a21b55bde7828a854ec3a7c25ff
20200501,KY,21,4708,169,51904,2342,,56612,56612,2511,56612,330,1375,178,642,,,1675,A,4/30/2020 17:00,240,5,1375,16,2020-05-01T20:00:00Z,9de0fa39081f02b7df1998da76eb06c88b336989
20200430,KY,21,4539,164,49562,1526,,54101,54101,1690,54101,325,1359,176,636,,,1668,A,4/29/2020 17:00,235,10,1359,28,2020-04-30T20:00:00Z,0e27bd9afa63ed6b910b6e7b03890237b6d6d2ee
20200429,KY,21,4375,229,48036,3383,,52411,52411,3612,52411,320,1331,170,625,,,1617,A,4/28/2020 17:00,225,12,1331,50,2020-04-29T20:00:00Z,df6edc9d0a7030a370a6d7f29f2b01bb81c459f4
20200428,KY,21,4146,72,44653,253,,48799,48799,325,48799,313,1281,165,612,,,1521,A,4/27/2020 17:00,213,5,1281,7,2020-04-28T20:00:00Z,6abb020b966e46f9df4241343f398d4118a1eaf4
20200427,KY,21,4074,169,44400,1747,,48474,48474,1916,48474,308,1274,166,608,,,1511,A,4/26/2020 17:00,208,3,1274,8,2020-04-27T20:00:00Z,4bfc873e1ee5259562323ee2f1f35f38f4a1d18a
