date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200910,LA,156354,1854165,,762,,,,125,,140440,A,9/10/2020 13:00,2020-09-10T13:00:00Z,09/10 09:00,5161,,2020-09-10T13:00:00Z,,,,155419,4991,170,,2009584,,,,,,,,,,,22,464,10093,2010519,posNeg,2010519,10557,2010519,21,0,7c5b16b46220a97ba0a6c80af33b69295a352955,0,0,0,0,0,
20200909,LA,155890,1844072,,782,,,,123,,140440,A,9/9/2020 13:00,2020-09-09T13:00:00Z,09/09 09:00,5140,,2020-09-09T13:00:00Z,,,,154955,4970,170,,1999027,,,,,,,,,,,22,1561,30047,1999962,posNeg,1999962,31608,1999962,22,0,16b3dcdf14493f1c6161b3069d3675739f8092e2,0,0,0,0,0,
20200908,LA,154329,1814025,,799,,,,131,,134432,A,9/8/2020 13:00,2020-09-08T13:00:00Z,09/08 09:00,5118,,2020-09-08T13:00:00Z,,,,153433,4955,163,,1967458,,,,,,,,,,,22,256,3869,1968354,posNeg,1968354,4125,1968354,13,0,1129ad57cbc5db8cab5bf4126013fccbf932a77a,0,0,0,0,0,
20200907,LA,154073,1810156,,787,,,,124,,134432,A,9/7/2020 13:00,2020-09-07T13:00:00Z,09/07 09:00,5105,,2020-09-07T13:00:00Z,,,,153177,4942,163,,1963333,,,,,,,,,,,22,309,4676,1964229,posNeg,1964229,4985,1964229,12,0,6d4b61cae72fbe225a3dac01eacf26182a9ab296,0,0,0,0,0,
20200906,LA,153764,1805480,,790,,,,119,,134432,A,9/6/2020 13:00,2020-09-06T13:00:00Z,09/06 09:00,5093,,2020-09-06T13:00:00Z,,,,152868,4930,163,,1958348,,,,,,,,,,,22,1395,25205,1959244,posNeg,1959244,26600,1959244,58,0,5d5b95f9ce15c312334daa431ed673c9d76a0eb8,0,0,0,0,0,
20200905,LA,152369,1780275,,808,,,,96,,134432,A,9/4/2020 13:00,2020-09-04T13:00:00Z,09/04 09:00,5035,,2020-09-04T13:00:00Z,,,,151473,4872,163,,1931748,,,,,,,,,,,22,0,0,1932644,posNeg,1932644,0,1932644,0,0,86e15cf7139495893aae50ed3c2eab9fc8587bad,0,0,0,0,0,
20200904,LA,152369,1780275,,808,,,,96,,134432,A,9/4/2020 13:00,2020-09-04T13:00:00Z,09/04 09:00,5035,,2020-09-04T13:00:00Z,,,,151473,4872,163,,1931748,,,,,,,,,,,22,822,14723,1932644,posNeg,1932644,15545,1932644,14,0,0d8c68146c7186f73e41e75b6525360be72ecc91,0,0,0,0,0,
20200903,LA,151547,1765552,,851,,,,128,,134432,A,9/3/2020 13:00,2020-09-03T13:00:00Z,09/03 09:00,5021,,2020-09-03T13:00:00Z,,,,150651,4858,163,,1916203,,,,,,,,,,,22,813,11507,1917099,posNeg,1917099,12320,1917099,17,0,6f6eba7d1606740d9ab23046ae7de6ca7b390434,0,0,0,0,0,
20200902,LA,150734,1754045,,873,,,,132,,134432,A,9/2/2020 13:00,2020-09-02T13:00:00Z,09/02 09:00,5004,,2020-09-02T13:00:00Z,,,,149838,4841,163,,1903883,,,,,,,,,,,22,1151,13102,1904779,posNeg,1904779,14253,1904779,20,0,58a32060e44e5f901f31b67a3781bc37801f8157,0,0,0,0,0,
20200901,LA,149583,1740943,,910,,,,128,,127918,A,9/1/2020 13:00,2020-09-01T13:00:00Z,09/01 09:00,4984,,2020-09-01T13:00:00Z,,,,148882,4821,163,,1889825,,,,,,,,,,,22,689,16347,1890526,posNeg,1890526,17036,1890526,34,0,26bc2f76c96509b5349f49498891ac763478e0f8,0,0,0,0,0,
