date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201004,MA,134947,2507,2174166,,NaN,4334501,68715,438,12749,83,,27,,113768,A+,10/4/2020 08:00,2020-10-04T08:00:00Z,10/04 04:00,9510,12749,2020-10-04T08:00:00Z,4334501,173288,,132440,9295,215,,2306606,,,,121397,,,138291,,,,25,644,18355,2309113,2309113,3,4,b38b5fccf9e5649bd28320c3a77ca0a6bc179822,0,0,0,0,0,
20201003,MA,134303,2489,2155811,,NaN,4265786,65768,416,12745,75,,27,,113768,A+,10/3/2020 08:00,2020-10-03T08:00:00Z,10/03 04:00,9507,12745,2020-10-03T08:00:00Z,4265786,172557,,131814,9292,215,,2287625,,,,121078,,,136823,,,,25,672,13213,2290114,2290114,17,12,0f784e2438c1208790255e0189e8823f044f19f8,0,0,0,0,0,
20201002,MA,133631,2417,2142598,,NaN,4200018,74914,421,12733,79,,34,,113768,A+,10/2/2020 08:00,2020-10-02T08:00:00Z,10/02 04:00,9490,12733,2020-10-02T08:00:00Z,4200018,171892,,131214,9275,215,,2273812,,,,120977,,,134197,,,,25,761,20698,2276229,2276229,10,18,e376d4e5bc8bf289f8bd135d649c75a5cba6951f,0,0,0,0,0,
20201001,MA,132870,2409,2121900,,NaN,4125104,74487,436,12715,84,,32,,113768,A+,10/1/2020 08:00,2020-10-01T08:00:00Z,10/01 04:00,9480,12715,2020-10-01T08:00:00Z,4125104,170958,,130461,9265,215,,2252361,,,,120585,,,133689,,,,25,754,17451,2254770,2254770,24,29,21e52955a36e000b8f3210900526e9a7f0384277,0,0,0,0,0,
20200930,MA,132116,2363,2104449,,NaN,4050617,62393,438,12686,89,,29,,113768,A+,9/30/2020 08:00,2020-09-30T08:00:00Z,09/30 04:00,9456,12686,2020-09-30T08:00:00Z,4050617,170156,,129753,9242,214,,2234202,,,,120418,,,131852,,,,25,532,13894,2236565,2236565,33,19,3921d9305a6747de10b1887f8fc998a9a4ce2804,0,0,0,0,0,
20200929,MA,131584,2341,2090555,,NaN,3988224,57005,444,12667,107,,27,,111479,A+,9/29/2020 08:00,2020-09-29T08:00:00Z,09/29 04:00,9423,12667,2020-09-29T08:00:00Z,3988224,169522,,129243,9210,213,,2219798,,,,120133,,,130459,,,,25,512,13674,2222139,2222139,8,19,7ecd33b6089f08e82d82a0ab0d7164e046031578,0,0,0,0,0,
20200928,MA,131072,2279,2076881,,NaN,3931219,49373,418,12648,85,,31,,111479,A+,9/28/2020 08:00,2020-09-28T08:00:00Z,09/28 04:00,9415,12648,2020-09-28T08:00:00Z,3931219,168973,,128793,9202,213,,2205674,,,,119987,,,129009,,,,25,430,12682,2207953,2207953,11,3,0a5d5f69121b960965b8fc163792a4ab618e0145,0,0,0,0,0,
20200927,MA,130642,2216,2064199,,NaN,3881846,101826,408,12645,79,,27,,111479,A+,9/27/2020 08:00,2020-09-27T08:00:00Z,09/27 04:00,9404,12645,2020-09-27T08:00:00Z,3881846,168544,,128426,9191,213,,2192625,,,,119935,,,126585,,,,25,592,17471,2194841,2194841,13,8,b162ea6b4378993e5625db6f1d3e41cd4f93e104,0,0,0,0,0,
20200926,MA,130050,2218,2046728,,NaN,3780020,73292,354,12637,77,,28,,111479,A+,9/26/2020 08:00,2020-09-26T08:00:00Z,09/26 04:00,9391,12637,2020-09-26T08:00:00Z,3780020,167823,,127832,9178,213,,2174560,,,,119693,,,126039,,,,25,569,13795,2176778,2176778,18,18,993e66b90961d1214c89c8076d7371083bff04e0,0,0,0,0,0,
20200925,MA,129481,2164,2032933,,NaN,3706728,64012,389,12619,78,,31,,111479,A+,9/25/2020 08:00,2020-09-25T08:00:00Z,09/25 04:00,9373,12619,2020-09-25T08:00:00Z,3706728,167221,,127317,9160,213,,2160250,,,,119449,,,124547,,,,25,488,15400,2162414,2162414,11,13,076c23e55972a2f62919f26a9a5f24713eb668fd,0,0,0,0,0,
