date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210217,MD,372980,,2938416,,totalTestsViral,7519063,1096,34078,272,,,,9571,2/17/2021 10:00,2021-02-17T10:00:00Z,02/17 05:00,7630,34078,2021-02-17T10:00:00Z,7519063,454985,,372980,7449,181,,3311396,,,,193813,26456,167357,,,,,24,759,4835,3311396,23155,3311396,,18,98,668d40fd8071cddac68185373e4d7c899be0cfc1,0,0,0,0,0,
20210216,MD,372221,,2933581,,totalTestsViral,7495908,1110,33980,293,,,,9571,2/16/2021 10:00,2021-02-16T10:00:00Z,02/16 05:00,7612,33980,2021-02-16T10:00:00Z,7495908,453991,,372221,7430,182,,3305802,,,,191877,25610,166267,,,,,24,516,2843,3305802,9967,3305802,,32,77,5c8e68eb80af1d9adc3ba5d3b0ecfbb3ed724f1f,0,0,0,0,0,
20210215,MD,371705,,2930738,,totalTestsViral,7485941,1113,33903,285,,,,9569,2/15/2021 10:00,2021-02-15T10:00:00Z,02/15 05:00,7580,33903,2021-02-15T10:00:00Z,7485941,453329,,371705,7400,180,,3302443,,,,191877,25610,166267,,,,,24,722,4336,3302443,19761,3302443,,26,95,49fbfaa011fe90216ef13080f9518c36b04213fc,0,0,0,0,0,
20210214,MD,370983,,2926402,,totalTestsViral,7466180,1166,33808,293,,,,9569,2/14/2021 10:00,2021-02-14T10:00:00Z,02/14 05:00,7554,33808,2021-02-14T10:00:00Z,7466180,452414,,370983,7374,180,,3297385,,,,191877,25610,166267,,,,,24,847,5051,3297385,36438,3297385,,18,80,99080b70a325b4e7560b30c9b74a9585413f0d3f,0,0,0,0,0,
20210213,MD,370136,,2921351,,totalTestsViral,7429742,1192,33728,316,,,,9565,2/13/2021 10:00,2021-02-13T10:00:00Z,02/13 05:00,7536,33728,2021-02-13T10:00:00Z,7429742,451276,,370136,7356,180,,3291487,,,,191877,25610,166267,,,,,24,1159,7608,3291487,41128,3291487,,33,99,bcdaeba09846d191d9ebc37d4739a18a1920b559,0,0,0,0,0,
20210212,MD,368977,,2913743,,totalTestsViral,7388614,1225,33629,326,,,,9559,2/12/2021 10:00,2021-02-12T10:00:00Z,02/12 05:00,7503,33629,2021-02-12T10:00:00Z,7388614,449777,,368977,7324,179,,3282720,,,,191877,25610,166267,,,,,24,1112,7812,3282720,44606,3282720,,36,121,0aa91faea54e3c46db0218368cde4c6510d9b1a6,0,0,0,0,0,
20210211,MD,367865,,2905931,,totalTestsViral,7344008,1272,33508,324,,,,9554,2/11/2021 10:00,2021-02-11T10:00:00Z,02/11 05:00,7467,33508,2021-02-11T10:00:00Z,7344008,448364,,367865,7288,179,,3273796,,,,191877,25610,166267,,,,,24,1199,7395,3273796,39191,3273796,,21,110,ec85346ca9b6ee21e2742023ee72a63b705ed4b1,0,0,0,0,0,
20210210,MD,366666,,2898536,,totalTestsViral,7304817,1282,33398,324,,,,9526,2/10/2021 10:00,2021-02-10T10:00:00Z,02/10 05:00,7446,33398,2021-02-10T10:00:00Z,7304817,446903,,366666,7267,179,,3265202,,,,191877,25610,166267,,,,,24,1137,4880,3265202,30366,3265202,,33,110,a0efc383bba51c2a2a9abba9dfa5a4c7d9165275,0,0,0,0,0,
20210209,MD,365529,,2893656,,totalTestsViral,7274451,1377,33288,326,,,,9526,2/9/2021 10:00,2021-02-09T10:00:00Z,02/09 05:00,7413,33288,2021-02-09T10:00:00Z,7274451,445481,,365529,7234,179,,3259185,,,,189428,24579,164849,,,,,24,976,3417,3259185,14360,3259185,,41,101,48ecdd7eebe698cf8b77fba6fcbb083616c06167,0,0,0,0,0,
20210208,MD,364553,,2890239,,totalTestsViral,7260091,1413,33187,318,,,,9526,2/8/2021 10:00,2021-02-08T10:00:00Z,02/08 05:00,7372,33187,2021-02-08T10:00:00Z,7260091,444221,,364553,7193,179,,3254792,,,,189428,24579,164849,,,,,24,903,5187,3254792,22844,3254792,,23,122,ec79efb382d25cb3bec0eda9ce43c4a487064ef5,0,0,0,0,0,
20210207,MD,363650,,2885052,,totalTestsViral,7237247,1402,33065,326,,,,9525,2/7/2021 10:00,2021-02-07T10:00:00Z,02/07 05:00,7349,33065,2021-02-07T10:00:00Z,7237247,443007,,363650,7170,179,,3248702,,,,189428,24579,164849,,,,,24,1566,8174,3248702,48609,3248702,,20,202,1a692eb18fd3189f793fe2fe000badd5dd1c791a,0,0,0,0,0,
20210206,MD,362084,,2876878,,totalTestsViral,7188638,1419,32863,337,,,,9514,2/6/2021 10:00,2021-02-06T10:00:00Z,02/06 05:00,7329,32863,2021-02-06T10:00:00Z,7188638,439220,,362084,7150,179,,3238962,,,,189428,24579,164849,,,,,24,1500,6751,3238962,44020,3238962,,42,176,87671f30ee9795d5b2260882ebc37dfdecc88690,0,0,0,0,0,
20210205,MD,360584,,2870127,,totalTestsViral,7144618,1444,32687,341,,,,9514,2/5/2021 10:00,2021-02-05T10:00:00Z,02/05 05:00,7287,32687,2021-02-05T10:00:00Z,7144618,439220,,360584,7109,178,,3230711,,,,189428,24579,164849,,,,,24,1547,7637,3230711,42260,3230711,,36,156,6fc1c8d602f82cc5617a468962bd588517d2c9e0,0,0,0,0,0,
20210204,MD,359037,,2862490,,totalTestsViral,7102358,1426,32531,340,,,,9511,2/4/2021 10:00,2021-02-04T10:00:00Z,02/04 05:00,7251,32531,2021-02-04T10:00:00Z,7102358,437155,,359037,7074,177,,3221527,,,,189428,24579,164849,,,,,24,1554,8652,3221527,35487,3221527,,31,125,f202e74dd36f0b8884d87cacb1c10751f3caad3e,0,0,0,0,0,
20210203,MD,357483,,2853838,,totalTestsViral,7066871,1485,32406,361,,,,9511,2/3/2021 10:00,2021-02-03T10:00:00Z,02/03 05:00,7220,32406,2021-02-03T10:00:00Z,7066871,435241,,357483,7043,177,,3211321,,,,189428,24579,164849,,,,,24,942,2148,3211321,14607,3211321,,32,115,758b43aedf52a1c583f4166eeaa00d4b09ebd838,0,0,0,0,0,
20210202,MD,356541,,2851690,,totalTestsViral,7052264,1467,32291,366,,,,9502,2/2/2021 10:00,2021-02-02T10:00:00Z,02/02 05:00,7188,32291,2021-02-02T10:00:00Z,7052264,434121,,356541,7012,176,,3208231,,,,186392,23333,163059,,,,,24,905,3127,3208231,13702,3208231,,34,110,cb3c124bf3098c344710d50bbecce8f432fcb02f,0,0,0,0,0,
20210201,MD,355636,,2848563,,totalTestsViral,7038562,1437,32181,371,,,,9501,2/1/2021 10:00,2021-02-01T10:00:00Z,02/01 05:00,7154,32181,2021-02-01T10:00:00Z,7038562,433006,,355636,6978,176,,3204199,,,,186392,23333,163059,,,,,24,1163,7449,3204199,25408,3204199,,27,126,607f691f430c58071a0e0dfbfe0a0c99cf6d0757,0,0,0,0,0,
20210131,MD,354473,,2841114,,totalTestsViral,7013154,1471,32055,364,,,,9499,1/31/2021 10:00,2021-01-31T10:00:00Z,01/31 05:00,7127,32055,2021-01-31T10:00:00Z,7013154,429336,,354473,6951,176,,3195587,,,,186392,23333,163059,,,,,24,1747,9301,3195587,46230,3195587,,20,167,59b784dd67b63a28cd5cd9f6a013455246fb582a,0,0,0,0,0,
20210130,MD,352726,,2831813,,totalTestsViral,6966924,1560,31888,380,,,,9491,1/30/2021 10:00,2021-01-30T10:00:00Z,01/30 05:00,7107,31888,2021-01-30T10:00:00Z,6966924,429336,,352726,6931,176,,3184539,,,,186392,23333,163059,,,,,24,2097,10634,3184539,48616,3184539,,31,129,9b7bb342b980694a124f6198baa6bfc869d10978,0,0,0,0,0,
20210129,MD,350629,,2821179,,totalTestsViral,6918308,1616,31759,367,,,,9482,1/29/2021 10:00,2021-01-29T10:00:00Z,01/29 05:00,7076,31759,2021-01-29T10:00:00Z,6918308,426842,,350629,6900,176,,3171808,,,,186392,23333,163059,,,,,24,1880,10653,3171808,52783,3171808,,39,145,010f842adf27eea98aa7bcb79c7c740f655886d9,0,0,0,0,0,
20210128,MD,348749,,2810526,,totalTestsViral,6865525,1636,31614,376,,,,9482,1/28/2021 10:00,2021-01-28T10:00:00Z,01/28 05:00,7037,31614,2021-01-28T10:00:00Z,6865525,424593,,348749,6861,176,,3159275,,,,186392,23333,163059,,,,,24,2190,8555,3159275,46476,3159275,,41,146,c1863b544f5a2db39b2b86325a1b03fbccc93ae4,0,0,0,0,0,
20210127,MD,346559,,2801971,,totalTestsViral,6819049,1647,31468,374,,,,9479,1/27/2021 10:00,2021-01-27T10:00:00Z,01/27 05:00,6996,31468,2021-01-27T10:00:00Z,6819049,421831,,346559,6821,175,,3148530,,,,186392,23333,163059,,,,,24,1939,8555,3148530,34887,3148530,,33,138,bac988cb3fa68fff416034ecfe1015a3aa10d37a,0,0,0,0,0,
20210126,MD,344620,,2793416,,totalTestsViral,6784162,1642,31330,367,,,,9477,1/26/2021 10:00,2021-01-26T10:00:00Z,01/26 05:00,6963,31330,2021-01-26T10:00:00Z,6784162,419497,,344620,6788,175,,3138036,,,,183103,22101,161002,,,,,24,1482,6332,3138036,25926,3138036,,63,142,32dee5b2e42c6106d48a05ad4c8339674f7083c4,0,0,0,0,0,
20210125,MD,343138,,2787084,,totalTestsViral,6758236,1669,31188,395,,,,9476,1/25/2021 10:00,2021-01-25T10:00:00Z,01/25 05:00,6900,31188,2021-01-25T10:00:00Z,6758236,417738,,343138,6726,174,,3130222,,,,183103,22101,161002,,,,,24,1686,7679,3130222,34734,3130222,,35,154,15cf7686dea5d5dbeff2cdb2a4d94ad8a3c8b216,0,0,0,0,0,
20210124,MD,341452,,2779405,,totalTestsViral,6723502,1668,31034,392,,,,9474,1/24/2021 10:00,2021-01-24T10:00:00Z,01/24 05:00,6865,31034,2021-01-24T10:00:00Z,6723502,415608,,341452,6690,175,,3120857,,,,183103,22101,161002,,,,,24,2145,7679,3120857,45247,3120857,,28,168,9b530de0a134b4f1f1601b4000a8aa6827c9e978,0,0,0,0,0,
20210123,MD,339307,,2771726,,totalTestsViral,6678255,1717,30866,405,,,,9471,1/23/2021 10:00,2021-01-23T10:00:00Z,01/23 05:00,6837,30866,2021-01-23T10:00:00Z,6678255,413118,,339307,6662,175,,3111033,,,,183103,22101,161002,,,,,24,2392,11008,3111033,47691,3111033,,45,169,62be897549039705b744c1451e79927bc2afdd64,0,0,0,0,0,
20210122,MD,336915,,2760718,,totalTestsViral,6630564,1768,30697,424,,,,9469,1/22/2021 10:00,2021-01-22T10:00:00Z,01/22 05:00,6792,30697,2021-01-22T10:00:00Z,6630564,410142,,336915,6617,175,,3097633,,,,183103,22101,161002,,,,,24,2396,11091,3097633,51989,3097633,,57,199,167bef66549a010037bc1ad3de7a037b5653340d,0,0,0,0,0,
20210121,MD,334519,,2749627,,totalTestsViral,6578575,1812,30498,424,,,,9459,1/21/2021 10:00,2021-01-21T10:00:00Z,01/21 05:00,6735,30498,2021-01-21T10:00:00Z,6578575,407168,,334519,6560,175,,3084146,,,,183103,22101,161002,,,,,24,2166,9466,3084146,37523,3084146,,46,171,0741a6dd4c61a12b01a17cb87cda4eb83f7c64a7,0,0,0,0,0,
20210120,MD,332353,,2740161,,totalTestsViral,6541052,1858,30327,420,,,,9457,1/20/2021 10:00,2021-01-20T10:00:00Z,01/20 05:00,6689,30327,2021-01-20T10:00:00Z,6541052,404342,,332353,6514,175,,3072514,,,,183103,22101,161002,,,,,24,2167,8240,3072514,30896,3072514,,39,170,4a90e6c1ba08f5c3aa1c1ec228fe86ac60ef44b1,0,0,0,0,0,
20210119,MD,330186,,2731921,,totalTestsViral,6510156,1875,30157,411,,,,9456,1/19/2021 10:00,2021-01-19T10:00:00Z,01/19 05:00,6650,30157,2021-01-19T10:00:00Z,6510156,401702,,330186,6476,174,,3062107,,,,179774,20915,158859,,,,,24,1972,7430,3062107,29370,3062107,,54,315,f8b65badc9bd3f65d5a6272f95551e162b8c8c18,0,0,0,0,0,
20210118,MD,328214,,2724491,,totalTestsViral,6480786,1850,29842,421,,,,9455,1/18/2021 10:00,2021-01-18T10:00:00Z,01/18 05:00,6596,29842,2021-01-18T10:00:00Z,6480786,399284,,328214,6423,173,,3052705,,,,179774,20915,158859,,,,,24,1769,8027,3052705,25738,3052705,,29,211,deb3ed01da5f10a6f57f59479ebed926adc008a0,0,0,0,0,0,
20210117,MD,326445,,2716464,,totalTestsViral,6455048,1823,29631,408,,,,9454,1/17/2021 10:00,2021-01-17T10:00:00Z,01/17 05:00,6567,29631,2021-01-17T10:00:00Z,6455048,393883,,326445,6394,173,,3042909,,,,179774,20915,158859,,,,,24,2414,11257,3042909,46725,3042909,,26,219,962047e4f6ea5662b193fcbc7f7c1160d92884ee,0,0,0,0,0,
20210116,MD,324031,,2705207,,totalTestsViral,6408323,1821,29412,412,,,,9451,1/16/2021 10:00,2021-01-16T10:00:00Z,01/16 05:00,6541,29412,2021-01-16T10:00:00Z,6408323,393883,,324031,6369,172,,3029238,,,,179774,20915,158859,,,,,24,3292,13534,3029238,55848,3029238,,47,127,e0b97d7c3ccd291de5ffc7eca45582b1fe81e635,0,0,0,0,0,
20210115,MD,320739,,2691673,,totalTestsViral,6352475,1848,29285,421,,,,9444,1/15/2021 10:00,2021-01-15T10:00:00Z,01/15 05:00,6494,29285,2021-01-15T10:00:00Z,6352475,389956,,320739,6322,172,,3012412,,,,179774,20915,158859,,,,,24,2924,12328,3012412,54297,3012412,,45,162,547d386a401e61b64048b926bef45930997db413,0,0,0,0,0,
20210114,MD,317815,,2679345,,totalTestsViral,6298178,1843,29123,425,,,,9443,1/14/2021 10:00,2021-01-14T10:00:00Z,01/14 05:00,6449,29123,2021-01-14T10:00:00Z,6298178,386395,,317815,6277,172,,2997160,,,,179774,20915,158859,,,,,24,2948,11783,2997160,43825,2997160,,45,137,9eeba76b3779f52c6c6bf77d85d1e865c90929a2,0,0,0,0,0,
20210113,MD,314867,,2667562,,totalTestsViral,6254353,1929,28986,454,,,,9439,1/13/2021 10:00,2021-01-13T10:00:00Z,01/13 05:00,6404,28986,2021-01-13T10:00:00Z,6254353,382784,,314867,6233,171,,2982429,,,,179774,20915,158859,,,,,24,2516,8820,2982429,34334,2982429,,37,126,11412d2dfbefe86038bcb412052e525d8c86e753,0,0,0,0,0,
20210112,MD,312351,,2658742,,totalTestsViral,6220019,1952,28860,456,,,,9434,1/12/2021 10:00,2021-01-12T10:00:00Z,01/12 05:00,6367,28860,2021-01-12T10:00:00Z,6220019,379748,,312351,6196,171,,2971093,,,,173751,19059,154692,,,,,24,2665,9164,2971093,31254,2971093,,66,129,2ee8e405e10bb72549ea82201c17c6af6e0b4c98,0,0,0,0,0,
20210111,MD,309686,,2649578,,totalTestsViral,6188765,1957,28731,447,,,,9431,1/11/2021 10:00,2021-01-11T10:00:00Z,01/11 05:00,6301,28731,2021-01-11T10:00:00Z,6188765,376250,,309686,6129,172,,2959264,,,,173751,19059,154692,,,,,24,3012,13513,2959264,43520,2959264,,29,208,b74e726b12b12626376a91ed30a7c0a4d1d5f32e,0,0,0,0,0,
20210110,MD,306674,,2636065,,totalTestsViral,6145245,1950,28523,485,,,,9427,1/10/2021 10:00,2021-01-10T10:00:00Z,01/10 05:00,6272,28523,2021-01-10T10:00:00Z,6145245,372717,,306674,6100,172,,2942739,,,,173751,19059,154692,,,,,24,3310,14820,2942739,60177,2942739,,26,227,62719a3da061a3c9418b73f47b3b1fb15bffd9c1,0,0,0,0,0,
20210109,MD,303364,,2621245,,totalTestsViral,6085068,1877,28296,449,,,,9427,1/9/2021 10:00,2021-01-09T10:00:00Z,01/09 05:00,6246,28296,2021-01-09T10:00:00Z,6085068,368626,,303364,6075,171,,2924609,,,,173751,19059,154692,,,,,24,3758,12654,2924609,55586,2924609,,30,228,033d01b9ebf53dcb71830a6600183ee93eec71a4,0,0,0,0,0,
20210108,MD,299606,,2608591,,totalTestsViral,6029482,1885,28068,447,,,,9419,1/8/2021 10:00,2021-01-08T10:00:00Z,01/08 05:00,6216,28068,2021-01-08T10:00:00Z,6029482,359707,,299606,6047,169,,2908197,,,,173751,19059,154692,,,,,24,3732,12977,2908197,57050,2908197,,43,168,1b914c1c5b526f00d7c31979adba06b99d017435,0,0,0,0,0,
20210107,MD,295874,,2595614,,totalTestsViral,5972432,1834,27900,427,,,,9404,1/7/2021 10:00,2021-01-07T10:00:00Z,01/07 05:00,6173,27900,2021-01-07T10:00:00Z,5972432,359707,,295874,6004,169,,2891488,,,,173751,19059,154692,,,,,24,2970,9368,2891488,39652,2891488,,41,189,c19532ea0164cec7c340ccb12dabddabb54d6d13,0,0,0,0,0,
20210106,MD,292904,,2586246,,totalTestsViral,5932780,1862,27711,444,,,,9391,1/6/2021 10:00,2021-01-06T10:00:00Z,01/06 05:00,6132,27711,2021-01-06T10:00:00Z,5932780,356165,,292904,5960,172,,2879150,,,,173751,19059,154692,,,,,24,3146,10904,2879150,38281,2879150,,50,169,39f5074c3a879a0fff7227b1f42596c76d4e8de8,0,0,0,0,0,
20210105,MD,289758,,2575342,,totalTestsViral,5894499,1771,27542,410,,,,9388,1/5/2021 10:00,2021-01-05T10:00:00Z,01/05 05:00,6082,27542,2021-01-05T10:00:00Z,5894499,352155,,289758,5913,169,,2865100,,,,173751,19059,154692,,,,,24,1956,5670,2865100,24882,2865100,,55,175,b6973e0ac01cfe7223aff9a7d4c81c8dd140bdc2,0,0,0,0,0,
20210104,MD,287802,,2569672,,totalTestsViral,5869617,1751,27367,418,,,,9383,1/4/2021 10:00,2021-01-04T10:00:00Z,01/04 05:00,6027,27367,2021-01-04T10:00:00Z,5869617,349733,,287802,5859,168,,2857474,,,,173751,19059,154692,,,,,24,2483,11291,2857474,35491,2857474,,33,171,395e95dd360ea6b24add734159b3fd2d87afb274,0,0,0,0,0,
20210103,MD,285319,,2558381,,totalTestsViral,5834126,1709,27196,412,,,,9378,1/3/2021 10:00,2021-01-03T10:00:00Z,01/03 05:00,5994,27196,2021-01-03T10:00:00Z,5834126,346444,,285319,5826,168,,2843700,,,,173751,19059,154692,,,,,24,2148,7841,2843700,26460,2843700,,27,145,322e22c02fb248786cb4f3ff09f07e29c6986af6,0,0,0,0,0,
20210102,MD,283171,,2550540,,totalTestsViral,5807666,1692,27051,415,,,,9374,1/2/2021 10:00,2021-01-02T10:00:00Z,01/02 05:00,5967,27051,2021-01-02T10:00:00Z,5807666,343848,,283171,5799,168,,2833711,,,,173751,19059,154692,,,,,24,2952,12398,2833711,46132,2833711,,25,232,1496328db6849ba200fb8ff85f90aa6239201450,0,0,0,0,0,
20210101,MD,280219,,2538142,,totalTestsViral,5761534,1734,26819,388,,,,9358,1/1/2021 10:00,2021-01-01T10:00:00Z,01/01 05:00,5942,26819,2021-01-01T10:00:00Z,5761534,340048,,280219,5774,168,,2818361,,,,173751,19059,154692,,,,,24,3557,12336,2818361,53504,2818361,,47,183,284b39fc5500f000daa038ac74629d460efd53af,0,0,0,0,0,
20201231,MD,276662,,2525806,,totalTestsViral,5708030,1773,26636,399,,,,9355,12/31/2020 10:00,2020-12-31T10:00:00Z,12/31 05:00,5895,26636,2020-12-31T10:00:00Z,5708030,335400,,276662,5727,168,,2802468,,,,173751,19059,154692,,,,,24,2973,8950,2802468,35350,2802468,,47,189,aa784da0a6e15e229d006f331c3d842855d36e35,0,0,0,0,0,
20201230,MD,273689,,2516856,,totalTestsViral,5672680,1756,26447,410,,,,9302,12/30/2020 10:00,2020-12-30T10:00:00Z,12/30 05:00,5848,26447,2020-12-30T10:00:00Z,5672680,331887,,273689,5681,167,,2790545,,,,173751,19059,154692,,,,,24,2628,8777,2790545,40279,2790545,,45,200,991e3d325e484c67120cfed15cc2ced22b13384b,0,0,0,0,0,
