date,state,positive,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200923,ME,5171,380864,,,14,441,2,,0,,4445,A+,9/22/2020 23:59,2020-09-22T23:59:00Z,09/22 19:59,140,441,2020-09-22T23:59:00Z,385507,6396,378826,4643,139,1,,,10205,515,9676,,,,,,,,23,25,10578,386035,posNeg,0,386035,0,-1,a56b807f8f4003ddd521d9a006193a548e6beae3,0,0,0,0,0,
20200922,ME,5146,370286,,,17,442,4,,0,,4407,A+,9/21/2020 23:59,2020-09-21T23:59:00Z,09/21 19:59,140,442,2020-09-21T23:59:00Z,374872,6327,368266,4617,139,1,,,10192,513,9665,,,,,,,,23,40,0,375432,posNeg,0,375432,0,2,1fa92a0fd540ccdecb190757e6203afbb9161eaf,0,0,0,0,0,
20200921,ME,5106,370286,,,17,440,6,,1,,4384,A+,9/20/2020 23:59,2020-09-20T23:59:00Z,09/20 19:59,140,440,2020-09-20T23:59:00Z,374872,6327,368266,4586,139,1,,,10192,513,9665,,,,,,,,23,27,1227,375392,posNeg,0,375392,1,1,9290ca1477b7801e635089ee86e13ca72fd1ad83,0,0,0,0,0,
20200920,ME,5079,369059,,,16,439,4,,1,,4364,A+,9/19/2020 23:59,2020-09-19T23:59:00Z,09/19 19:59,139,439,2020-09-19T23:59:00Z,373621,6301,367041,4562,138,1,,,10190,512,9664,,,,,,,,23,44,2907,374138,posNeg,0,374138,0,0,742b639b50a048e5acb8062072a6e26fac51f8e4,0,0,0,0,0,
20200919,ME,5035,366152,,,14,439,5,,1,,4346,A+,9/18/2020 23:59,2020-09-18T23:59:00Z,09/18 19:59,139,439,2020-09-18T23:59:00Z,370674,6280,364115,4522,138,1,,,10164,509,9641,,,,,,,,23,30,6733,371187,posNeg,0,371187,1,2,1f7ae979366d744cdc918d3a9061eca225335d77,0,0,0,0,0,
20200918,ME,5005,359419,,,11,437,5,,1,,4335,A+,9/17/2020 23:59,2020-09-17T23:59:00Z,09/17 19:59,138,437,2020-09-17T23:59:00Z,363911,6240,357397,4492,137,1,,,10147,509,9624,,,,,,,,23,43,13003,364424,posNeg,0,364424,0,1,c42bb395ab8c554a27db94d77eeaf861cdf073db,0,0,0,0,0,
20200917,ME,4962,346416,,,12,436,5,,0,,4317,A+,9/16/2020 23:59,2020-09-16T23:59:00Z,09/16 19:59,138,436,2020-09-16T23:59:00Z,350874,6190,344419,4458,137,1,,,10133,509,9610,,,,,,,,23,21,9170,351378,posNeg,0,351378,0,3,e10c5c8a682e56b07c03e8785231464d03ee6eaf,0,0,0,0,0,
20200916,ME,4941,337246,,,10,433,5,,0,,4307,A+,9/15/2020 23:59,2020-09-15T23:59:00Z,09/15 19:59,138,433,2020-09-15T23:59:00Z,341680,6161,335257,4434,137,1,,,10060,504,9542,,,,,,,,23,23,5675,342187,posNeg,0,342187,1,1,4b4dcb25b6d0b434a8c6f197f619b233574d026a,0,0,0,0,0,
20200915,ME,4918,331571,,,10,432,5,,0,,4280,A+,9/14/2020 23:59,2020-09-14T23:59:00Z,09/14 19:59,137,432,2020-09-14T23:59:00Z,335986,6130,329596,4415,136,1,,,10020,503,9503,,,,,,,,23,15,2697,336489,posNeg,0,336489,1,1,13b5d02abeceab39c94e2b88e16eedd0f49c4e3b,0,0,0,0,0,
20200914,ME,4903,328874,,,9,431,5,,3,,4237,A+,9/13/2020 23:59,2020-09-13T23:59:00Z,09/13 19:59,136,431,2020-09-13T23:59:00Z,333275,6110,326907,4401,135,1,,,9995,503,9478,,,,,,,,23,40,3569,333777,posNeg,0,333777,0,0,4701aba4223d0ab8d8232e46d88040bd7f420a59,0,0,0,0,0,
20200913,ME,4863,325305,,,11,431,6,,3,,4226,A+,9/12/2020 23:59,2020-09-12T23:59:00Z,09/12 19:59,136,431,2020-09-12T23:59:00Z,329681,6081,323343,4376,135,1,,,9990,503,9473,,,,,,,,23,29,5136,330168,posNeg,0,330168,1,0,ccbdec9185980e5a09a62336711d679699b546ef,0,0,0,0,0,
20200912,ME,4834,320169,,,10,431,6,,4,,4211,A+,9/11/2020 23:59,2020-09-11T23:59:00Z,09/11 19:59,135,431,2020-09-11T23:59:00Z,324518,6048,318215,4349,134,1,,,9957,503,9440,,,,,,,,23,42,4953,325003,posNeg,0,325003,1,-1,630d66f1d6509ebe637543eeccff90fe1c4d5156,0,0,0,0,0,
20200911,ME,4792,315216,,,10,432,6,,5,,4191,A+,9/10/2020 23:59,2020-09-10T23:59:00Z,09/10 19:59,134,432,2020-09-10T23:59:00Z,319533,6013,313267,4317,133,1,,,9943,503,9426,,,,,,,,23,32,6067,320008,posNeg,0,320008,0,1,330bae57e2e12a9c6e29804621d62fa6257b6ec2,0,0,0,0,0,
20200910,ME,4760,309149,,,11,431,7,,3,,4153,A+,9/9/2020 23:59,2020-09-09T23:59:00Z,09/09 19:59,134,431,2020-09-09T23:59:00Z,313436,5965,307221,4287,133,1,,,9931,500,9417,,,,,,,,23,26,4158,313909,posNeg,0,313909,0,2,cc7c164e6746b2087d42a51d505ce209cbe3c16b,0,0,0,0,0,
