date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201106,MI,222509,20940,4984958,,posNeg,5207467,2425,,484,,,,121093,A+,11/6/2020 00:00,2020-11-06T24:00:00Z,11/05 19:00,7880,,2020-11-06T24:00:00Z,5251313,266355,4984958,201569,7513,367,,,336396,,,,,,,,,,26,4246,48339,5207467,52585,5207467,47,0,2357e4bf46614a48b0cda066c2125759973ac242,0,0,0,0,0,
20201105,MI,218263,20457,4936619,,posNeg,5154882,2280,,475,,194,,121093,A+,11/5/2020 00:00,2020-11-05T24:00:00Z,11/04 19:00,7833,,2020-11-05T24:00:00Z,5135947,260736,4936619,197806,7470,363,,,333334,,,,,,,,,,26,6103,55103,5154882,61206,5154882,51,0,e0e9a98f2fd3027be7f7c7bc858f45a282d95c56,0,0,0,0,0,
20201104,MI,212160,20064,4881516,,posNeg,5093676,2215,,470,,199,,121093,A+,11/4/2020 00:00,2020-11-04T24:00:00Z,11/03 19:00,7782,,2020-11-04T24:00:00Z,5135947,254431,4881516,192096,7419,363,,,333334,,,,,,,,,,26,4397,38789,5093676,43186,5093676,21,0,7960009a93bc6c92842a95601e7733455ec7d036,0,0,0,0,0,
20201103,MI,207763,19768,4842727,,posNeg,5050490,2059,,444,,183,,121093,A+,11/3/2020 00:00,2020-11-03T24:00:00Z,11/02 19:00,7761,,2020-11-03T24:00:00Z,5092680,249953,4842727,187995,7400,361,,,332703,,,,,,,,,,26,3437,38754,5050490,42191,5050490,45,0,3be65d02a1cd45d49f164c7be7921e22ecc7ab86,0,0,0,0,0,
20201102,MI,204326,19437,4803973,,posNeg,5008299,1966,,428,,180,,121093,A+,11/2/2020 00:00,2020-11-02T24:00:00Z,11/01 19:00,7716,,2020-11-02T24:00:00Z,5049428,245455,4803973,184889,7357,359,,,331012,,,,,,,,,,26,6920,89787,5008299,96707,5008299,17,0,558f5d930186434cbe3032318de8b3bd05aa1199,0,0,0,0,0,
20201101,MI,197406,19226,4714186,,posNeg,4911592,1728,,398,,167,,121093,A+,10/31/2020 00:00,2020-10-31T24:00:00Z,10/30 20:00,7699,,2020-10-31T24:00:00Z,4952466,238280,4714186,178180,7340,359,,,329831,,,,,,,,,,26,0,0,4911592,0,4911592,0,0,a62e0f9b573785c108eb639005cfab44a26eb0b5,0,0,0,0,0,
20201031,MI,197406,19226,4714186,,posNeg,4911592,1728,,398,,167,,121093,A+,10/31/2020 00:00,2020-10-31T24:00:00Z,10/30 20:00,7699,,2020-10-31T24:00:00Z,4952466,238280,4714186,178180,7340,359,,,329831,,,,,,,,,,26,4018,45491,4911592,49509,4911592,34,0,dc68d550160ad452b227fb2776e92a9054b4a5a8,0,0,0,0,0,
20201030,MI,193388,19000,4668695,,posNeg,4862083,1728,,398,,167,,114939,A+,10/30/2020 00:00,2020-10-30T24:00:00Z,10/29 20:00,7665,,2020-10-30T24:00:00Z,4902392,233697,4668695,174388,7309,356,,,328693,,,,,,,,,,26,3345,58021,4862083,61366,4862083,12,0,3136008295712212387ce3a49dc040efa934dd48,0,0,0,0,0,
20201029,MI,190043,18823,4610674,,posNeg,4800717,1332,,320,,153,,114939,A+,10/29/2020 00:00,2020-10-29T24:00:00Z,10/28 20:00,7653,,2020-10-29T24:00:00Z,4840289,229615,4610674,171220,7298,355,,,327051,,,,,,,,,,26,4109,48606,4800717,52715,4800717,47,0,12bdec5f9e0fc0bc432d2f370a24aa21dafd3d9c,0,0,0,0,0,
20201028,MI,185934,18389,4562068,,posNeg,4748002,1332,,320,,153,,114939,A+,10/28/2020 00:00,2020-10-28T24:00:00Z,10/27 20:00,7606,,2020-10-28T24:00:00Z,4732725,225150,4562068,167545,7257,349,,,323494,,,,,,,,,,26,3590,50942,4748002,54532,4748002,21,0,decdc3f3bc18e8c090494b75b3818b937d192054,0,0,0,0,0,
