date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201022,MN,128152,324,1594745,,NaN,2564491,584,9226,154,2485,,,113976,A,10/21/2020 17:00,2020-10-21T17:00:00Z,10/21 13:00,2301,9226,2020-10-21T17:00:00Z,,,,127828,2289,12,2564491,1722573,,,,,,,,,22777,,27,1561,12822,1722897,25115,1722897,20,79,d573cf7a7380cf0d3e6a31b9393266575a427770,0,0,0,0,0,
20201021,MN,126591,329,1581923,,NaN,2539376,588,9147,160,2473,,,113158,A,10/20/2020 17:00,2020-10-20T17:00:00Z,10/20 13:00,2281,9147,2020-10-20T17:00:00Z,,,,126262,2269,12,2539376,1708185,,,,,,,,,21144,,27,1060,7189,1708514,16377,1708514,35,105,9f7cb72cb25a29caf1530aac0525c4a2eeba9773,0,0,0,0,0,
20201020,MN,125531,316,1574734,,NaN,2522999,567,9042,155,2451,,,111634,A,10/19/2020 17:00,2020-10-19T17:00:00Z,10/19 13:00,2246,9042,2020-10-19T17:00:00Z,,,,125215,2235,11,2522999,1699949,,,,,,,,,20649,,27,1092,4604,1700265,11604,1700265,7,126,cb3dfc7a6ad6fa8d764f07504430ed65f6316a07,0,0,0,0,0,
20201019,MN,124439,304,1570130,,NaN,2511395,532,8916,138,2414,,,109963,A,10/18/2020 17:00,2020-10-18T17:00:00Z,10/18 13:00,2239,8916,2020-10-18T17:00:00Z,,,,124135,2229,10,2511395,1694265,,,,,,,,,20603,,27,1627,11624,1694569,22177,1694569,5,50,3b25ff6c27c519901fa43a922c776b228417d643,0,0,0,0,0,
20201018,MN,122812,288,1558506,,NaN,2489218,484,8866,126,2405,,,108316,A,10/17/2020 17:00,2020-10-17T17:00:00Z,10/17 13:00,2234,8866,2020-10-17T17:00:00Z,,,,122524,2224,10,2489218,1681318,,,,,,,,,20516,,27,1722,17973,1681318,30947,1681318,17,65,c78a920fc98314c87a55a71586ed1162f8c0204d,0,0,0,0,0,
20201017,MN,121090,272,1540533,,NaN,2458271,484,8801,126,2393,,,106774,A,10/16/2020 17:00,2020-10-16T17:00:00Z,10/16 13:00,2217,8801,2020-10-16T17:00:00Z,,,,120818,2208,9,2458271,1661351,,,,,,,,,18861,,27,1694,12974,1661623,27720,1661623,5,83,5dd040d9ee6661f1383909395df4f335e40ef80d,0,0,0,0,0,
20201016,MN,119396,251,1527559,,NaN,2430551,484,8718,126,2375,,,105120,A,10/15/2020 17:00,2020-10-15T17:00:00Z,10/15 13:00,2212,8718,2020-10-15T17:00:00Z,,,,119145,2203,9,2430551,1646704,,,,,,,,,17764,,27,2290,21148,1646955,43703,1646955,13,66,2d926758c8f8c3eafba1cce162ad7bcbbe8c4e4c,0,0,0,0,0,
20201015,MN,117106,241,1506411,,NaN,2386848,445,8652,115,2362,,,104547,A,10/14/2020 17:00,2020-10-14T17:00:00Z,10/14 13:00,2199,8652,2020-10-14T17:00:00Z,,,,116865,2192,7,2386848,1623276,,,,,,,,,16963,,27,1163,8943,1623517,19504,1623517,19,67,48a0a1948ab971ab6be005e9fdb7d67e2f712aa2,0,0,0,0,0,
20201014,MN,115943,180,1497468,,NaN,2367344,487,8585,134,2346,,,103830,A,10/13/2020 17:00,2020-10-13T17:00:00Z,10/13 13:00,2180,8585,2020-10-13T17:00:00Z,,,,115763,2174,6,2367344,1613231,,,,,,,,,16183,,27,1369,11181,1613411,12220,1613411,-24,85,bb078e040f19b20f95792976c5b755655ef4c830,0,0,0,0,0,
20201013,MN,114574,,1486287,,NaN,2355124,481,8500,134,2328,,,102624,A,10/12/2020 17:00,2020-10-12T17:00:00Z,10/12 13:00,2204,8500,2020-10-12T17:00:00Z,,,,114574,2151,53,2355124,1600861,,,,,,,,,,,27,1135,9974,1600861,18002,1600861,7,79,070f08ad622aaf83c11aa67f523c4e8e695d1de7,0,0,0,0,0,
20201012,MN,113439,,1476313,,NaN,2337122,446,8421,140,2311,,,101376,A,10/11/2020 17:00,2020-10-11T17:00:00Z,10/11 13:00,2197,8421,2020-10-11T17:00:00Z,,,,113439,2144,53,2337122,1589752,,,,,,,,,,,27,1171,9857,1589752,18312,1589752,3,67,620ffa296a344937fd432e890d05a0eafbdeddb7,0,0,0,0,0,
