date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201025,MO,169495,,1289345,,NaN,2406847,1404,,484,,167,,,A+,10/25/2020 00:59,2020-10-25T00:59:00Z,10/24 20:59,2805,,2020-10-25T00:59:00Z,2406847,193832,2208498,169495,,,,1458840,86301,5289,80812,82459,3618,71709,23325,,30609,5928,29,2043,6782,1458840,18566,1458840,4,0,0316f44e9ba205d75d60026edac13391f204a604,0,0,0,0,0,
20201024,MO,167452,,1282563,,NaN,2388281,1443,,522,,175,,,A+,10/24/2020 00:59,2020-10-24T00:59:00Z,10/23 20:59,2801,,2020-10-24T00:59:00Z,2388281,191640,2192171,167452,,,,1450015,85977,5231,80547,82171,3618,71709,22821,,29938,5820,29,2918,7781,1450015,24470,1450015,113,0,5bf5873a9ae73cac08350433f18fc76f7fa75b8d,0,0,0,0,0,
20201023,MO,164534,,1274782,,NaN,2363811,1349,,215,,172,,,A+,10/23/2020 00:59,2020-10-23T00:59:00Z,10/22 20:59,2688,,2020-10-23T00:59:00Z,2363811,188511,2170868,164534,,,,1439316,85454,5130,80126,81713,3618,71709,21837,,28459,5614,29,1811,5033,1439316,17321,1439316,31,0,ca265c7d27516364ac44f9240aea1ac82cc02c08,0,0,0,0,0,
20201022,MO,162723,,1269749,,NaN,2346490,1352,,240,,163,,,A+,10/22/2020 00:59,2020-10-22T00:59:00Z,10/21 20:59,2657,,2020-10-22T00:59:00Z,2346490,186526,2155560,162723,,,,1432472,85243,5082,79963,81519,3618,71709,21494,,27656,5432,29,1854,22744,1432472,19622,1432472,16,0,a5d6359769a7da8434bda7407b33e223c309cdc2,0,0,0,0,0,
20201021,MO,160869,,1247005,,NaN,2326868,1415,,450,,170,,,A,10/21/2020 00:59,2020-10-21T00:59:00Z,10/20 20:59,2641,,2020-10-21T00:59:00Z,2326868,184494,2137998,160869,,,,1407874,84961,5027,79737,69077,3618,71709,14660,,26609,5307,29,1244,12006,1407874,30194,1407874,26,0,ab1ceccd7225af3d00678c126a60a5beedf54236,0,0,0,0,0,
20201020,MO,159625,,1234999,,NaN,2296674,1439,,429,,156,,,A,10/20/2020 00:59,2020-10-20T00:59:00Z,10/19 20:59,2615,,2020-10-20T00:59:00Z,2296674,181463,2110912,159625,,,,1393100,84652,4953,79502,68919,3618,71709,14224,,25263,5104,29,1524,0,1394624,0,1394624,25,0,c9a5bbd1eef9c8459cde5ce28f37cd458286e9d1,0,0,0,0,0,
20201019,MO,158101,,1234999,,NaN,2296674,1439,,476,,,,,B,10/19/2020 00:59,2020-10-19T00:59:00Z,10/18 20:59,2590,,2020-10-19T00:59:00Z,2296674,181463,2110912,158101,,,,1393100,84652,4953,79502,68919,3618,71709,14224,,25263,5104,29,1405,5159,1393100,11607,1393100,8,0,ea3afb257516e396154cc22c745797e60a48df41,0,0,0,0,0,
20201018,MO,156696,,1229840,,NaN,2285067,918,,,,,,,B,10/18/2020 00:59,2020-10-18T00:59:00Z,10/17 20:59,2582,,2020-10-18T00:59:00Z,2285067,179986,2100802,156696,,,,1386536,84527,4983,79346,68797,3618,71709,14120,,25059,5042,29,1768,6105,1386536,18079,1386536,2,0,097bfcd8184e2408846126c9a2d9541c67dcae69,0,0,0,0,0,
20201017,MO,154928,,1223735,,NaN,2266988,1431,,,,,,,B,10/17/2020 00:59,2020-10-17T00:59:00Z,10/16 20:59,2580,,2020-10-17T00:59:00Z,2266988,178082,2084659,154928,,,,1378663,84189,4929,79062,68599,3618,71709,13907,,24668,4963,29,2357,15043,1378663,44134,1378663,121,0,e86cab077acba78ea25b882066226192a7b826de,0,0,0,0,0,
20201016,MO,152571,,1208692,,NaN,2222854,1443,,,,,,,B,10/16/2020 00:59,2020-10-16T00:59:00Z,10/15 20:59,2459,,2020-10-16T00:59:00Z,2222854,173299,2045374,152571,,,,1359246,83529,4830,78502,68258,3618,71709,13340,,23021,4696,29,2017,0,1361263,0,1361263,17,0,738aca39308da5be23d11c8734b58286b34a2948,0,0,0,0,0,
20201015,MO,150554,,1208692,,NaN,2222854,1443,,,,,,,B,10/15/2020 00:59,2020-10-15T00:59:00Z,10/14 20:59,2442,,2020-10-15T00:59:00Z,2222854,173299,2045374,150554,,,,1359246,83529,4830,78502,68258,3618,71709,13340,,23021,4696,29,1875,5210,1359246,16480,1359246,22,0,6565ebb42221dbd6ade1a35aa4ab7bb3a57a9f92,0,0,0,0,0,
20201014,MO,148679,,1203482,,NaN,2206374,1413,,,,,,,B,10/14/2020 00:59,2020-10-14T00:59:00Z,10/13 20:59,2420,,2020-10-14T00:59:00Z,2206374,171289,2030924,148679,,,,1352161,83174,4773,78204,68054,3618,71709,13050,,22504,4545,29,4449,-99955,1352161,130675,1352161,-2,0,5b1689ff43bbc57cdac386a4648f349a133c301d,0,0,0,0,0,
20201013,MO,144230,,1303437,,NaN,2075699,1313,,,,,,,B,10/10/2020 00:59,2020-10-10T00:59:00Z,10/09 20:59,2422,,2020-10-10T00:59:00Z,2075699,163531,1908333,144230,,,,1447667,80831,4188,76509,69462,3618,71709,14213,,20834,3979,29,0,0,1447667,0,1447667,0,0,1565f4859619e30a654bc2ca72c486bb36a93c8c,0,0,0,0,0,
20201012,MO,144230,,1303437,,NaN,2075699,1313,,,,,,,B,10/10/2020 00:59,2020-10-10T00:59:00Z,10/09 20:59,2422,,2020-10-10T00:59:00Z,2075699,163531,1908333,144230,,,,1447667,80831,4188,76509,69462,3618,71709,14213,,20834,3979,29,0,0,1447667,0,1447667,0,0,8596a35522165ec031ca1b778730151587d1930e,0,0,0,0,0,
20201011,MO,144230,,1303437,,NaN,2075699,1313,,,,,,,B,10/10/2020 00:59,2020-10-10T00:59:00Z,10/09 20:59,2422,,2020-10-10T00:59:00Z,2075699,163531,1908333,144230,,,,1447667,80831,4188,76509,69462,3618,71709,14213,,20834,3979,29,0,0,1447667,0,1447667,0,0,929f813bcabf5fe9e605cd79344004c4a3a308f7,0,0,0,0,0,
20201010,MO,144230,,1303437,,NaN,2075699,1313,,,,,,,B,10/10/2020 00:59,2020-10-10T00:59:00Z,10/09 20:59,2422,,2020-10-10T00:59:00Z,2075699,163531,1908333,144230,,,,1447667,80831,4188,76509,69462,3618,71709,14213,,20834,3979,29,5066,42982,1447667,74720,1447667,27,0,9936fedc234692686db5f7517c6c345f05d1acbf,0,0,0,0,0,
20201009,MO,139164,,1260455,,NaN,2000979,1303,,,,,,,B,10/9/2020 00:59,2020-10-09T00:59:00Z,10/08 20:59,2395,,2020-10-09T00:59:00Z,2000979,158050,1839237,139164,,,,1399619,79581,4042,75405,68411,3618,71709,12459,,18390,3722,29,2008,10472,1399619,21589,1399619,136,0,d0e084f8dfaeb033dfdade4f08e5dffdb6e77493,0,0,0,0,0,
20201008,MO,137156,,1249983,,NaN,1979390,1344,,,,,,,B,10/8/2020 00:59,2020-10-08T00:59:00Z,10/07 20:59,2259,,2020-10-08T00:59:00Z,1979390,155881,1819846,137156,,,,1387139,79251,3984,75135,68157,3618,71709,12276,,18042,3642,29,1505,10619,1387139,20929,1387139,23,0,ce5a1d71830223db66ebbb386df5adf6d2f83b3e,0,0,0,0,0,
20201007,MO,135651,,1239364,,NaN,1958461,1352,,,,,,,B,10/7/2020 00:59,2020-10-07T00:59:00Z,10/06 20:59,2236,,2020-10-07T00:59:00Z,1958461,154257,1800597,135651,,,,1375015,79027,3953,74942,67984,3618,71709,11596,,16095,3503,29,1068,6808,1375015,11857,1375015,36,0,e4c66646f1ddb1b6a34847f8499c34ce8ad6ee4f,0,0,0,0,0,
20201006,MO,134583,,1232556,,NaN,1946604,1249,,,,,,,B,10/6/2020 00:59,2020-10-06T00:59:00Z,10/05 20:59,2200,,2020-10-06T00:59:00Z,1946604,153132,1789896,134583,,,,1367139,78709,3912,74665,67764,3618,71709,11216,,15458,3369,29,1165,7306,1367139,16518,1367139,26,0,2c60b4b426baa51ba41b627472833b4307b70558,0,0,0,0,0,
20201005,MO,133418,,1225250,,NaN,1930086,1201,,,,,,,B,10/5/2020 00:59,2020-10-05T00:59:00Z,10/04 20:59,2174,,2020-10-05T00:59:00Z,1930086,151860,1774689,133418,,,,1358668,78620,3893,74599,67695,3618,71709,10968,,15027,3311,29,987,6936,1358668,13339,1358668,1,0,5e008fb4d262ed93b7ddb2d6a5fb05bb037eff39,0,0,0,0,0,
20201004,MO,132431,,1218314,,NaN,1916747,1135,,,,,,,B,10/4/2020 00:59,2020-10-04T00:59:00Z,10/03 20:59,2173,,2020-10-04T00:59:00Z,1916747,150807,1762433,132431,,,,1350745,78506,3879,74499,67615,3618,71709,10942,,14987,3311,29,1326,9863,1350745,18569,1350745,4,0,ea03cc141562bfc07f281446e62bff5f88822d2a,0,0,0,0,0,
20201003,MO,131105,,1208451,,NaN,1898178,1144,,,,,,,B,10/3/2020 00:59,2020-10-03T00:59:00Z,10/02 20:59,2169,,2020-10-03T00:59:00Z,1898178,149342,1745338,131105,,,,1339556,78281,3843,74311,67449,3618,71709,10864,,14859,3268,29,1708,11659,1339556,22500,1339556,25,0,23ca425781b10ea644094e7368c091b2cd7b2de0,0,0,0,0,0,
20201002,MO,129397,,1196792,,NaN,1875678,1184,,,,,,,B,10/2/2020 00:59,2020-10-02T00:59:00Z,10/01 20:59,2144,,2020-10-02T00:59:00Z,1875678,147490,1724744,129397,,,,1326189,78026,3809,74087,67252,3618,71709,10595,,14434,3225,29,1485,9286,1326189,19692,1326189,16,0,7be58876ec67169b4f960344ae1519d99657ffcd,0,0,0,0,0,
20201001,MO,127912,,1187506,,NaN,1855986,1185,,,,,,,B,9/30/2020 00:00,2020-09-30T00:00:00Z,09/29 20:00,2128,,2020-09-30T00:00:00Z,1855986,145846,1706722,127912,,,,1315418,77845,3773,73944,67113,3618,71709,10054,,13721,3136,29,1799,9234,1315418,8617,1315418,10,0,c9b995aae6535f5661a216dcd322245744ee6cec,0,0,0,0,0,
20200930,MO,126113,,1178272,,NaN,1847369,1171,,,,,,,B,9/30/2020 00:00,2020-09-30T00:00:00Z,09/29 20:00,2118,,2020-09-30T00:00:00Z,1847369,143886,1700102,126113,,,,1302958,77904,3747,74027,75327,3618,71709,,,11328,3057,29,1351,0,1304385,21170,1304385,32,0,7b446743d11232bd65578b2d8e6a420d911aa5b9,0,0,0,0,0,
20200929,MO,124762,,1178272,,NaN,1826199,1219,,,,,,,B,9/29/2020 00:00,2020-09-29T00:00:00Z,09/28 20:00,2086,,2020-09-29T00:00:00Z,1826199,142431,1680422,124762,,,,1302958,77747,3728,73889,75327,3618,71709,,,10572,2863,29,76,0,1303034,13062,1303034,22,0,bfff189dfc88c5307e7bf8b90095408dd689a54a,0,0,0,0,0,
20200928,MO,124686,,1178272,,NaN,1813137,1137,,,,,,,B,9/28/2020 00:00,2020-09-28T00:00:00Z,09/27 20:00,2064,,2020-09-28T00:00:00Z,1813137,140554,1669272,124686,,,,1302958,,,,75327,3618,71709,,,,,29,1280,3572,1302958,113818,1302958,1,0,fc8707cd1cd6c47083169a2024d23dc758d93bc3,0,0,0,0,0,
20200927,MO,123406,,1174700,,NaN,1699319,1125,,,,,,,B,9/27/2020 00:00,2020-09-27T00:00:00Z,09/26 20:00,2063,,2020-09-27T00:00:00Z,1699319,129549,1566917,123406,,,,1298106,,,,74259,3518,70741,,,,,29,1392,7545,1298106,11810,1298106,0,0,dedcc51707beecef81971f47d7874b6e094982d8,0,0,0,0,0,
20200926,MO,122014,,1167155,,NaN,1687509,1101,,,,,,,B,9/26/2020 00:00,2020-09-26T00:00:00Z,09/25 20:00,2063,,2020-09-26T00:00:00Z,1687509,128009,1556710,122014,,,,1289169,,,,74093,3508,70585,,,,,29,1716,14288,1289169,20077,1289169,69,0,0745c2ce4193bd3d73eb3e40e32780c834be167c,0,0,0,0,0,
20200925,MO,120298,,1152867,,NaN,1667432,1068,,,,,,,B,9/25/2020 00:00,2020-09-25T00:00:00Z,09/24 20:00,1994,,2020-09-25T00:00:00Z,1667432,126185,1538424,120298,,,,1273165,,,,73815,3475,70340,,,,,29,1987,11647,1273165,18080,1273165,42,0,cb761e4f6a28fde7a6f715cf7652f6dbdb08bb70,0,0,0,0,0,
20200924,MO,118311,,1141220,,NaN,1649352,1056,,,,,,,B,9/24/2020 00:00,2020-09-24T00:00:00Z,09/23 20:00,1952,,2020-09-24T00:00:00Z,1649352,124668,1521891,118311,,,,1259531,,,,73592,3462,70130,,,,,29,1365,13603,1259531,15489,1259531,5,0,6a07aa24eace00680f0a0fc0eeeb1f488ff810d5,0,0,0,0,0,
20200923,MO,116946,,1127617,,NaN,1633863,989,,,,,,,B,9/23/2020 00:00,2020-09-23T00:00:00Z,09/22 20:00,1947,,2020-09-23T00:00:00Z,1633863,122803,1508256,116946,,,,1244563,,,,73234,3388,69846,,,,,29,1580,1234,1244563,5540,1244563,83,0,40399e22915ef2a088f083d3c9eaf186c097b5e7,0,0,0,0,0,
20200922,MO,115366,,1126383,,NaN,1628323,981,,,,,,,B,9/22/2020 00:00,2020-09-22T00:00:00Z,09/21 20:00,1864,,2020-09-22T00:00:00Z,1628323,122668,1502893,115366,,,,1241749,,,,73015,3368,69647,,,,,29,1059,21131,1241749,35348,1241749,57,0,359c0ed683fc57e8bc46f3ee12908c15f2443f65,0,0,0,0,0,
20200921,MO,114307,,1105252,,NaN,1592975,1022,,,,,,,B,9/21/2020 00:00,2020-09-21T00:00:00Z,09/20 20:00,1807,,2020-09-21T00:00:00Z,1592975,121430,1468805,114307,,,,1219559,,,,72529,3346,69183,,,,,29,1463,5588,1219559,8991,1219559,12,0,3b69298087a935423332c5f168e66a8aa8c0ca1f,0,0,0,0,0,
20200920,MO,112844,,1099664,,NaN,1583984,1064,,,,,,,B,9/20/2020 00:00,2020-09-20T00:00:00Z,09/19 20:00,1795,,2020-09-20T00:00:00Z,1583984,120142,1461128,112844,,,,1212508,,,,72455,3316,69139,,,,,29,1328,8556,1212508,12982,1212508,2,0,6dd588d050f596cd357e50d699ee2bfecdcdaea0,0,0,0,0,0,
20200919,MO,111516,,1091108,,NaN,1571002,1004,,,,,,,B,9/19/2020 00:00,2020-09-19T00:00:00Z,09/18 20:00,1793,,2020-09-19T00:00:00Z,1571002,118677,1449613,111516,,,,1202624,,,,72342,3287,69055,,,,,29,1387,10857,1202624,16377,1202624,13,0,2b187407537ba20e5628228801002eef1cd60ab3,0,0,0,0,0,
