date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201103,MP,96,,15993,,posNeg,16089,,4,,,,,29,D,11/2/2020 00:00,2020-11-02T24:00:00Z,11/01 19:00,2,4,2020-11-02T24:00:00Z,22633,,,96,2,,,16085,,,,,,,,,,,69,0,0,16089,0,16089,0,0,f58437df13c3f0f990f130402302b2e8a132c82b,0,0,0,0,0,
20201102,MP,96,,15993,,posNeg,16089,,4,,,,,29,D,11/2/2020 00:00,2020-11-02T24:00:00Z,11/01 19:00,2,4,2020-11-02T24:00:00Z,22633,,,96,2,,,16085,,,,,,,,,,,69,0,0,16089,0,16089,0,0,b42abb54836ff46687a7d8334d463212ab1678b2,0,0,0,0,0,
20201101,MP,96,,15993,,posNeg,16089,,4,,,,,29,D,10/31/2020 00:00,2020-10-31T24:00:00Z,10/30 20:00,2,4,2020-10-31T24:00:00Z,22633,,,96,2,,,16085,,,,,,,,,,,69,4,0,16089,4,16089,0,0,106fb45013746b41698dcf4fbeaafb6b50ac27cb,0,0,0,0,0,
20201031,MP,92,,15993,,posNeg,16085,,4,,,,,29,D,10/30/2020 00:00,2020-10-30T24:00:00Z,10/29 20:00,2,4,2020-10-30T24:00:00Z,22633,,,92,2,,,16085,,,,,,,,,,,69,0,0,16085,0,16085,0,0,e4f62d0b9a953611df58dfa0b9e17f3b97f1cc48,0,0,0,0,0,
20201030,MP,92,,15993,,posNeg,16085,,4,,,,,29,D,10/30/2020 00:00,2020-10-30T24:00:00Z,10/29 20:00,2,4,2020-10-30T24:00:00Z,22633,,,92,2,,,16085,,,,,,,,,,,69,0,0,16085,0,16085,0,0,098f4942bfd1a14ac11c9e2d60339462877235d1,0,0,0,0,0,
20201029,MP,92,,15993,,posNeg,16085,,4,,,,,29,D,10/27/2020 00:00,2020-10-27T24:00:00Z,10/26 20:00,2,4,2020-10-27T24:00:00Z,22633,,,92,2,,,16085,,,,,,,,,,,69,0,0,16085,0,16085,0,0,c9c6e80a582f63b4384295861db71bca8ba43aa3,0,0,0,0,0,
20201028,MP,92,,15993,,posNeg,16085,,4,,,,,29,D,10/27/2020 00:00,2020-10-27T24:00:00Z,10/26 20:00,2,4,2020-10-27T24:00:00Z,22633,,,92,2,,,16085,,,,,,,,,,,69,0,0,16085,0,16085,0,0,f2b1c617eea499740caa0d41acdf5ef5c39ec869,0,0,0,0,0,
20201027,MP,92,,15993,,posNeg,16085,,4,,,,,29,D,10/27/2020 00:00,2020-10-27T24:00:00Z,10/26 20:00,2,4,2020-10-27T24:00:00Z,22633,,,92,2,,,16085,,,,,,,,,,,69,0,270,16085,270,16085,0,0,fd490672a3c92e2b7de3db5ca99367f9d10aeb08,0,0,0,0,0,
20201026,MP,92,,15723,,posNeg,15815,,4,,,,,29,D,10/26/2020 00:00,2020-10-26T24:00:00Z,10/25 20:00,2,4,2020-10-26T24:00:00Z,22212,,,92,2,,,15811,,,,,,,,,,,69,4,0,15815,4,15815,0,0,aff7c403775532065ef698f4f06c0cf8933b2e77,0,0,0,0,0,
20201025,MP,88,,15723,,posNeg,15811,,4,,,,,29,D,10/23/2020 00:00,2020-10-23T24:00:00Z,10/22 20:00,2,4,2020-10-23T24:00:00Z,22212,,,88,2,,,15811,,,,,,,,,,,69,0,0,15811,0,15811,0,0,bf24327a0b852b2014092d87c1feb68b6c8306fd,0,0,0,0,0,
