date,state,positive,negative,pending,totalTestResultsSource,totalTestResults,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200923,MS,94573,622138,,,716711,4210,620,5607,148,,74,,85327,A+,9/22/2020 00:00,2020-09-22T00:00:00Z,09/21 20:00,2870,5607,2020-09-22T00:00:00Z,710040,,,87902,2647,223,,,37700,95,,,,,,,51862,,28,552,3658,716711,716711,24,0,71310cafb105ac07d5a2f61381a9364f5aa2abcf,0,0,0,0,0,
20200922,MS,94021,618480,,,712501,5595,642,5607,147,,74,,85327,A+,9/21/2020 00:00,2020-09-21T00:00:00Z,09/20 20:00,2846,5607,2020-09-21T00:00:00Z,706009,,,87529,2625,221,,,37439,95,,,,,,,50385,,28,465,5130,712501,712501,36,0,eda2962970cd0096f6968016d547903b78583c78,0,0,0,0,0,
20200921,MS,93556,613350,,,706906,3743,621,5607,162,,77,,85327,A+,9/20/2020 00:00,2020-09-20T00:00:00Z,09/19 20:00,2810,5607,2020-09-20T00:00:00Z,700510,,,87160,2591,219,,,37165,95,,,,,,,49300,,28,192,3551,706906,706906,0,108,b6b32a3a6660bc5447bbf53310cc3139f16d26a0,0,0,0,0,0,
20200920,MS,93364,609799,,,703163,277,630,5499,171,,87,,78971,A+,9/19/2020 00:00,2020-09-19T00:00:00Z,09/18 20:00,2810,5499,2020-09-19T00:00:00Z,696618,,,87045,2591,219,,,36912,95,,,,,,,48844,,28,277,0,703163,703163,1,0,b7793e6a712388910caf2cff73cbf6bf1b86e8e6,0,0,0,0,0,
20200919,MS,93087,609799,,,702886,69454,630,5499,171,,87,,78971,A+,9/18/2020 00:00,2020-09-18T00:00:00Z,09/17 20:00,2809,5499,2020-09-18T00:00:00Z,696618,,,86819,2593,216,,,36912,95,,,,,,,48844,,28,1152,68302,702886,702886,29,0,15fe1d8d6cdc3480bb594bbc2b568020ff00d87b,0,0,0,0,0,
20200918,MS,91935,541497,,,633432,0,630,5499,171,,87,,78971,A+,9/17/2020 00:00,2020-09-17T00:00:00Z,09/16 20:00,2780,5499,2020-09-17T00:00:00Z,626881,,,85944,2572,208,,,29016,95,,,,,,,40904,,28,0,0,633432,633432,0,0,5b1622ec80b532c756c09c06bccc357a2c08a21c,0,0,0,0,0,
20200917,MS,91935,541497,,,633432,701,622,5499,169,,95,,78971,A+,9/17/2020 00:00,2020-09-17T00:00:00Z,09/16 20:00,2780,5499,2020-09-17T00:00:00Z,626881,,,85944,2572,208,,,29016,95,,,,,,,40904,,28,701,0,633432,633432,24,0,1a3eea795b83e1226c4879baafd1361bd0b4ff60,0,0,0,0,0,
20200916,MS,91234,541497,,,632731,6420,632,5499,168,,98,,78971,A+,9/15/2020 00:00,2020-09-15T00:00:00Z,09/14 20:00,2756,5499,2020-09-15T00:00:00Z,626881,,,85384,2562,194,,,29016,95,,,,,,,40904,,28,711,5709,632731,632731,22,0,c3837d4d27b304d2c360d5e7727963ca5bc87367,0,0,0,0,0,
20200915,MS,90523,535788,,,626311,505,667,5499,177,,88,,78971,A+,9/14/2020 00:00,2020-09-14T00:00:00Z,09/13 20:00,2734,5499,2020-09-14T00:00:00Z,620345,,,84912,2543,191,,,28852,95,,,,,,,38649,,28,505,0,626311,626311,28,0,dbbd2923d54d5a846431d30a74269b92ec16e6be,0,0,0,0,0,
20200914,MS,90018,535788,,,625806,3013,513,5499,171,,,,78971,A+,9/13/2020 00:00,2020-09-13T00:00:00Z,09/12 20:00,2706,5499,2020-09-13T00:00:00Z,620345,,,84557,2523,183,,,28852,95,,,,,,,38649,,28,144,2869,625806,625806,9,89,752fcefd0020d26d6031709c8a6d9187ecb83737,0,0,0,0,0,
20200913,MS,89874,532919,,,622793,254,542,5410,179,,,,74098,A+,9/12/2020 00:00,2020-09-12T00:00:00Z,09/11 20:00,2697,5410,2020-09-12T00:00:00Z,617161,,,84451,2514,183,,,28693,95,,,,,,,38257,,28,254,0,622793,622793,12,0,5c568992ddfb15f6f47074233f6991619043219d,0,0,0,0,0,
20200912,MS,89620,532919,,,622539,4160,542,5410,179,,,,74098,A+,9/11/2020 00:00,2020-09-11T00:00:00Z,09/10 20:00,2685,5410,2020-09-11T00:00:00Z,617161,,,84242,2502,183,,,28693,95,,,,,,,38257,,28,445,3715,622539,622539,15,0,861ff5025206b9519f1b103d6e9b152bcb7e3c6b,0,0,0,0,0,
20200911,MS,89175,529204,,,618379,5141,545,5410,182,,,,74098,A+,9/10/2020 00:00,2020-09-10T00:00:00Z,09/09 20:00,2670,5410,2020-09-10T00:00:00Z,613122,,,83918,2489,181,,,28579,95,,,,,,,37009,,28,853,4288,618379,618379,14,0,9432f83bde7a8b4faea28a526b0cc5551d93a8dd,0,0,0,0,0,
20200910,MS,88322,524916,,,613238,3600,668,5410,177,,101,,74098,A+,9/9/2020 00:00,2020-09-09T00:00:00Z,09/08 20:00,2656,5410,2020-09-09T00:00:00Z,608244,,,83328,2477,179,,,28319,95,,,,,,,36315,,28,517,3083,613238,613238,33,0,0215710f8b3b9c280f4717d00365d56d33394ca6,0,0,0,0,0,
