date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210305,MT,100656,5147,,,posNeg,100656,67,4610,12,,7,,97541,3/5/2021 01:59,2021-03-05T01:59:00Z,03/04 20:59,1379,4610,,2021-03-05T01:59:00Z,1096913,,,95509,,,,,,,,,,,,,,,30,125,0,100656,125,100656,,4,2,286fc28bb56638d3a3254993f639ddcc72b93605,0,0,0,0,0,
20210304,MT,100531,5118,,,posNeg,100531,73,4608,14,,7,,97499,3/4/2021 01:59,2021-03-04T01:59:00Z,03/03 20:59,1375,4608,,2021-03-04T01:59:00Z,1091522,,,95413,,,,,,,,,,,,,,,30,180,0,100531,180,100531,,2,8,7dfc9ee91d3b916048731a995541a52db7a84136,0,0,0,0,0,
20210303,MT,100351,5095,,,posNeg,100351,67,4600,13,,7,,97327,3/3/2021 01:59,2021-03-03T01:59:00Z,03/02 20:59,1373,4600,,2021-03-03T01:59:00Z,1086548,,,95256,,,,,,,,,,,,,,,30,193,0,100351,193,100351,,1,9,8d52e20bf2de269789d6f459d02b18e07cd8aeec,0,0,0,0,0,
20210302,MT,100158,4777,,,posNeg,100158,83,4591,20,,7,,97199,3/2/2021 01:59,2021-03-02T01:59:00Z,03/01 20:59,1372,4591,,2021-03-02T01:59:00Z,1081562,,,95381,,,,,,,,,,,,,,,30,155,0,100158,155,100158,,15,7,36f7a62e1be95521c6f09ac543b071a3a1ba7104,0,0,0,0,0,
20210301,MT,100003,4531,,,posNeg,100003,68,4584,13,,6,,97037,3/1/2021 01:59,2021-03-01T01:59:00Z,02/28 20:59,1357,4584,,2021-03-01T01:59:00Z,1079671,,,95472,,,,,,,,,,,,,,,30,49,0,100003,49,100003,,0,3,cb9faeda196f39a86ed6ff233885617e33f778d1,0,0,0,0,0,
20210228,MT,99954,4524,,,posNeg,99954,68,4581,13,,6,,96982,2/28/2021 01:59,2021-02-28T01:59:00Z,02/27 20:59,1357,4581,,2021-02-28T01:59:00Z,1077988,,,95430,,,,,,,,,,,,,,,30,117,0,99954,117,99954,,1,2,31349df2015445715bc92f9edc920eebfb1a735b,0,0,0,0,0,
20210227,MT,99837,4477,,,posNeg,99837,68,4579,13,,6,,96724,2/27/2021 01:59,2021-02-27T01:59:00Z,02/26 20:59,1356,4579,,2021-02-27T01:59:00Z,1074437,,,95360,,,,,,,,,,,,,,,30,224,0,99837,224,99837,,2,8,6c5b6fe5aba55cd944034140baf2880527fe24bd,0,0,0,0,0,
20210226,MT,99613,4089,,,posNeg,99613,76,4571,14,,7,,96362,2/26/2021 01:59,2021-02-26T01:59:00Z,02/25 20:59,1354,4571,,2021-02-26T01:59:00Z,1069964,,,95356,,,,,,,,,,,,,,,30,168,0,99613,168,99613,,4,4,6f42108a3ce7e521807f070322bd6873eb192d90,0,0,0,0,0,
20210225,MT,99445,4089,,,posNeg,99445,75,4567,15,,6,,96178,2/25/2021 01:59,2021-02-25T01:59:00Z,02/24 20:59,1350,4567,,2021-02-25T01:59:00Z,1063419,,,95356,,,,,,,,,,,,,,,30,203,0,99445,203,99445,,2,8,f65683357814c1c2c01b9132adc3fc743f2a061b,0,0,0,0,0,
20210224,MT,99242,3803,,,posNeg,99242,97,4559,18,,12,,96040,2/24/2021 01:59,2021-02-24T01:59:00Z,02/23 20:59,1348,4559,,2021-02-24T01:59:00Z,1056170,,,95439,,,,,,,,,,,,,,,30,202,0,99242,202,99242,,2,5,5ce110bfe925cb4b64933784392671fa3ca48e56,0,0,0,0,0,
