date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201005,NC,219754,5545,2974162,,NaN,3193916,32948,971,,274,,,,192644,A+,10/5/2020 12:20,2020-10-05T12:20:00Z,10/05 08:20,3637,,2020-10-05T12:20:00Z,3188371,,,214209,3606,31,,,,,,,,,,,4175,,37,2258,30690,3193916,3193916,3,0,427f833d419c985a5afdd18cedf6138e86265d9d,0,0,0,0,0,
20201004,NC,217496,5535,2943472,,NaN,3160968,24702,907,,266,,,,184422,A+,10/4/2020 12:00,2020-10-04T12:00:00Z,10/04 08:00,3634,,2020-10-04T12:00:00Z,3155433,,,211961,3603,31,,,,,,,,,,,3996,,37,610,24092,3160968,3160968,5,0,1f79d91cb14203aeaa823d4849f2419d0206db62,0,0,0,0,0,
20201003,NC,216886,5483,2919380,,NaN,3136266,36562,921,,273,,,,184422,A+,10/3/2020 11:45,2020-10-03T11:45:00Z,10/03 07:45,3629,,2020-10-03T11:45:00Z,3130783,,,211403,3600,29,,,,,,,,,,,3527,,37,2202,34360,3136266,3136266,21,0,71b5ee5cb02eee43699498be7ffb1bffe7e029d1,0,0,0,0,0,
20201002,NC,214684,5287,2885020,,NaN,3099704,36043,921,,278,,,,184422,A+,10/2/2020 11:20,2020-10-02T11:20:00Z,10/02 07:20,3608,,2020-10-02T11:20:00Z,3094417,,,209397,3579,29,,,,,,,,,,,3063,,37,1775,34268,3099704,3099704,29,0,14ba65ef2e39891464ad3f01408e4e6e93022e7a,0,0,0,0,0,
20201001,NC,212909,5120,2850752,,NaN,3063661,28790,939,,297,,,,184422,A+,10/1/2020 12:00,2020-10-01T12:00:00Z,10/01 08:00,3579,,2020-10-01T12:00:00Z,3058541,,,207789,3551,28,,,,,,,,,,,2721,,37,2277,26513,3063661,3063661,47,0,46ad97d136d0e6f61fb72103b1720cc3b0e4c499,0,0,0,0,0,
20200930,NC,210632,4929,2824239,,NaN,3034871,15285,956,,297,,,,184422,A+,9/30/2020 12:00,2020-09-30T12:00:00Z,09/30 08:00,3532,,2020-09-30T12:00:00Z,3029942,,,205703,3505,27,,,,,,,,,,,2337,,37,1495,13790,3034871,3034871,38,0,f5deafcf3e24c826518b02263dc307e2a0c8bab2,0,0,0,0,0,
20200929,NC,209137,4806,2810449,,NaN,3019586,15053,950,,287,,,,184422,A+,9/29/2020 12:45,2020-09-29T12:45:00Z,09/29 08:45,3494,,2020-09-29T12:45:00Z,3014780,,,204331,3467,27,,,,,,,,,,,,,37,889,14164,3019586,3019586,49,0,d42d5de451e2cf67926fd5473b86b8f03777186c,0,0,0,0,0,
20200928,NC,208248,4680,2796285,,NaN,3004533,25805,897,,271,,,,184422,A+,9/28/2020 12:00,2020-09-28T12:00:00Z,09/28 08:00,3445,,2020-09-28T12:00:00Z,2999853,,,203568,3418,27,,,,,,,,,,,,,37,868,24937,3004533,3004533,4,0,f9085d495453d35d14aa83d1314e5d3276e02e5b,0,0,0,0,0,
20200927,NC,207380,4676,2771348,,NaN,2978728,30925,917,,269,,,,176422,A+,9/27/2020 12:05,2020-09-27T12:05:00Z,09/27 08:05,3441,,2020-09-27T12:05:00Z,2974052,,,202704,3414,27,,,,,,,,,,,,,37,1290,29635,2978728,2978728,1,0,eb5c51470f177fa072b03d98424ea61d82903acc,0,0,0,0,0,
20200926,NC,206090,4659,2741713,,NaN,2947803,40186,914,,272,,,,176422,A+,9/26/2020 12:00,2020-09-26T12:00:00Z,09/26 08:00,3440,,2020-09-26T12:00:00Z,2943144,,,201431,3413,27,,,,,,,,,,,,,37,1759,38427,2947803,2947803,31,0,09ac24caa22723eddbbb7d24c4c958e4d80730c3,0,0,0,0,0,
