date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201230,ND,92202,2903,286044,,totalTestEncountersViral,1270216,96,3542,15,521,,,89099,B,12/30/2020 01:59,2020-12-30T01:59:00Z,12/29 20:59,1289,3542,2020-12-30T01:59:00Z,1343600,,,89299,,,1270216,376035,13395,1442,11953,,,,,,,,38,371,0,378246,37012,378246,6,9,b9be0bd9501320e4004400c82af047c237b4ebb9,0,0,0,0,0,
20201229,ND,91831,2788,286044,,totalTestEncountersViral,1233204,115,3533,18,522,,,88854,B,12/29/2020 01:59,2020-12-29T01:59:00Z,12/28 20:59,1283,3533,2020-12-29T01:59:00Z,1301140,,,89043,,,1233204,375085,13395,1442,11953,,,,,,,,38,272,605,377875,1480,377875,12,33,09ef7226b3d3014d02284575d829b6c233c794fa,0,0,0,0,0,
20201228,ND,91559,2676,285439,,totalTestEncountersViral,1231724,108,3500,18,518,,,88411,B,12/28/2020 01:59,2020-12-28T01:59:00Z,12/27 20:59,1271,3500,2020-12-28T01:59:00Z,1299585,,,88883,,,1231724,374321,13395,1442,11953,,,,,,,,38,93,194,376998,1954,376998,0,5,8f0813e7f0455eb4f830b6c906e3413ed16f2821,0,0,0,0,0,
20201227,ND,91466,2662,285245,,totalTestEncountersViral,1229770,106,3495,17,516,,,88177,B,12/27/2020 01:59,2020-12-27T01:59:00Z,12/26 20:59,1271,3495,2020-12-27T01:59:00Z,1297390,,,88804,,,1229770,374048,13395,1442,11953,,,,,,,,38,111,110,376711,1573,376711,0,10,ad01d57f51ccfe940dfd4d7a4e812442887e8466,0,0,0,0,0,
20201226,ND,91355,2636,285135,,totalTestEncountersViral,1228197,111,3485,21,516,,,87762,B,12/26/2020 01:59,2020-12-26T01:59:00Z,12/25 20:59,1271,3485,2020-12-26T01:59:00Z,1295611,,,88719,,,1228197,373854,13395,1442,11953,,,,,,,,38,407,788,376490,9496,376490,4,13,610ac86a52ee32492882a9b4fef146d995b17a04,0,0,0,0,0,
20201225,ND,90948,2631,284347,,totalTestEncountersViral,1218701,122,3472,21,512,,,87367,B,12/24/2020 01:59,2020-12-24T01:59:00Z,12/23 20:59,1267,3472,2020-12-24T01:59:00Z,1285111,,,88317,,,1218701,372664,13395,1442,11953,,,,,,,,38,0,0,375295,0,375295,0,0,6e34134e9b0f1c24292ab68a0271678ab3b5cea4,0,0,0,0,0,
20201224,ND,90948,2631,284347,,totalTestEncountersViral,1218701,122,3472,21,512,,,87367,B,12/24/2020 01:59,2020-12-24T01:59:00Z,12/23 20:59,1267,3472,2020-12-24T01:59:00Z,1285111,,,88317,,,1218701,372664,13395,1442,11953,,,,,,,,38,225,806,375295,6981,375295,18,36,5861cbb6056a05b50d4593fdaeaa4345a5ea3045,0,0,0,0,0,
20201223,ND,90723,2595,283541,,totalTestEncountersViral,1211720,118,3436,20,509,,,87091,B,12/23/2020 01:59,2020-12-23T01:59:00Z,12/22 20:59,1249,3436,2020-12-23T01:59:00Z,1277443,,,88128,,,1211720,371669,13395,1442,11953,,,,,,,,38,270,566,374264,3249,374264,5,15,52f6a72e236c712623ea08da0f0ab665959dd643,0,0,0,0,0,
20201222,ND,90453,2506,282975,,totalTestEncountersViral,1208471,135,3421,19,505,,,86776,B,12/22/2020 01:59,2020-12-22T01:59:00Z,12/21 20:59,1244,3421,2020-12-22T01:59:00Z,1273761,,,87947,,,1208471,370922,13395,1442,11953,,,,,,,,38,332,989,373428,4179,373428,5,21,c38329d6f7f82dafb34c7c1acc4d9e824cbbd4a5,0,0,0,0,0,
20201221,ND,90121,2419,281986,,totalTestEncountersViral,1204292,158,3400,18,501,,,86233,B,12/21/2020 01:59,2020-12-21T01:59:00Z,12/20 20:59,1239,3400,2020-12-21T01:59:00Z,1269206,,,87702,,,1204292,369688,13395,1442,11953,,,,,,,,38,82,-31,372107,1428,372107,2,6,2cf31857ad41d708d207985139b940a4865d9999,0,0,0,0,0,
