date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201103,NE,72620,,527444,,totalTestsViral,960464,642,3076,,,,,45108,A,11/2/2020 22:45,2020-11-02T22:45:00Z,11/02 17:45,656,3076,2020-11-02T22:45:00Z,960464,85332,873886,72620,,,,600380,,,,,,,,,,,31,954,1906,600064,9967,600064,2,26,a60b6e2bfffb6203e397be5c2258bcc78edc705c,0,0,0,0,0,
20201102,NE,71666,,525538,,totalTestsViral,950497,613,3050,,,,,44773,A,11/2/2020 00:00,2020-11-02T24:00:00Z,11/01 19:00,654,3050,2020-11-02T24:00:00Z,950497,84310,864956,71666,,,,597520,,,,,,,,,,,31,934,1838,597204,5319,597204,2,8,02240dc54aa047a002e067b947d4a527bf836825,0,0,0,0,0,
20201101,NE,70732,,523700,,totalTestsViral,945178,612,3042,,,,,44247,A,10/31/2020 23:15,2020-10-31T23:15:00Z,10/31 19:15,652,3042,2020-10-31T23:15:00Z,945178,83285,860660,70732,,,,594749,,,,,,,,,,,31,1087,2327,594432,7055,594432,6,9,ca8c733f137106142acd314cd8dc2d66121fb3f4,0,0,0,0,0,
20201031,NE,69645,,521373,,totalTestsViral,938123,584,3033,,,,,43952,A,10/30/2020 21:30,2020-10-30T21:30:00Z,10/30 17:30,646,3033,2020-10-30T21:30:00Z,938123,82081,854811,69645,,,,591333,,,,,,,,,,,31,1495,3425,591018,17459,591018,9,56,88de43cef787447a2abfa2ec02770af23a739f8e,0,0,0,0,0,
20201030,NE,68150,,517948,,totalTestsViral,920664,528,2977,,,,,43516,A,10/29/2020 21:30,2020-10-29T21:30:00Z,10/29 17:30,637,2977,2020-10-29T21:30:00Z,920664,80454,838992,68150,,,,586410,,,,,,,,,,,31,1605,3764,586098,15374,586098,9,27,342459086ea472698c0e44fe5e332db4fc5677b6,0,0,0,0,0,
20201029,NE,66545,,514184,,totalTestsViral,905290,483,2950,,,,,42850,A,10/28/2020 22:00,2020-10-28T22:00:00Z,10/28 18:00,628,2950,2020-10-28T22:00:00Z,905290,78673,825406,66545,,,,581042,,,,,,,,,,,31,1169,2537,580729,10905,580729,8,45,c6905f2bf5b4a0efc57c3ee45a2189125aa865e2,0,0,0,0,0,
20201028,NE,65376,,511647,,totalTestsViral,894385,436,2905,,,,,42633,A,10/28/2020 00:30,2020-10-28T24:30:00Z,10/27 20:30,620,2905,2020-10-28T24:30:00Z,894385,77406,815775,65376,,,,577338,,,,,,,,,,,31,877,3386,577023,11765,577023,17,30,10f16fedfba73463019c355a0df5eafbb85fee6c,0,0,0,0,0,
20201027,NE,64499,,508261,,totalTestsViral,882620,427,2875,,,,,42245,A,10/26/2020 22:00,2020-10-26T22:00:00Z,10/26 18:00,603,2875,2020-10-26T22:00:00Z,882620,76425,804996,64499,,,,573076,,,,,,,,,,,31,702,2224,572760,9055,572760,7,29,7e368b7b1cf08a893ebea6184a670351fa906d65,0,0,0,0,0,
20201026,NE,63797,,506037,,totalTestsViral,873565,435,2846,,,,,41930,A,10/25/2020 21:15,2020-10-25T21:15:00Z,10/25 17:15,596,2846,2020-10-25T21:15:00Z,873565,75643,796729,63797,,,,570152,,,,,,,,,,,31,582,1826,569834,4402,569834,1,13,24ed96db89e64104cebfacc8f30ebf966a7a17ac,0,0,0,0,0,
20201025,NE,63215,,504211,,totalTestsViral,869163,436,2833,,,,,41364,A,10/24/2020 21:15,2020-10-24T21:15:00Z,10/24 17:15,595,2833,2020-10-24T21:15:00Z,869163,75000,792969,63215,,,,567744,,,,,,,,,,,31,705,2446,567426,6283,567426,4,16,6be5efce19c36b40a6d1b5c70c48ea0968ffc147,0,0,0,0,0,
20201024,NE,62510,,501765,,totalTestsViral,862880,426,2817,,,,,41008,A,10/23/2020 21:30,2020-10-23T21:30:00Z,10/23 17:30,591,2817,2020-10-23T21:30:00Z,862880,74213,787484,62510,,,,564589,,,,,,,,,,,31,1225,3742,564275,15611,564275,4,34,fda452fb720d343b46ffc5450ceffaa649f1d96d,0,0,0,0,0,
20201023,NE,61285,,498023,,totalTestsViral,847269,389,2783,,,,,40494,A,10/22/2020 21:15,2020-10-22T21:15:00Z,10/22 17:15,587,2783,2020-10-22T21:15:00Z,847269,72815,773277,61285,,,,559625,,,,,,,,,,,31,977,3792,559308,10467,559308,11,42,3559bdc0d8cd0e362e1b0dae32d8f1d3b697777a,0,0,0,0,0,
20201022,NE,60308,,494231,,totalTestsViral,836802,400,2741,,,,,39905,A,10/21/2020 22:00,2020-10-21T22:00:00Z,10/21 18:00,576,2741,2020-10-21T22:00:00Z,836802,71719,763923,60308,,,,554857,,,,,,,,,,,31,899,3718,554539,13898,554539,11,35,07c87e9af9fc07aff4e51bcbad03135226aec3d4,0,0,0,0,0,
20201021,NE,59409,,490513,,totalTestsViral,822904,380,2706,,,,,39687,A,10/20/2020 22:30,2020-10-20T22:30:00Z,10/20 18:30,565,2706,2020-10-20T22:30:00Z,822904,70666,751071,59409,,,,550239,,,,,,,,,,,31,592,2661,549922,12406,549922,11,26,ed7c3b74252164179c4bcdc7b29095cc1d88f3ba,0,0,0,0,0,
