date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200816,NH,6988,177941,,13,708,,218,,,6287,B,8/16/2020 09:00,2020-08-16T09:00:00Z,08/16 05:00,423,708,2020-08-16T09:00:00Z,,,,6988,,,,184929,,,,28671,,,,,,,33,8,1544,184929,184929,1552,184929,0,2,dfc556c910e063825d5faead50b4b22b2d75918c,0,0,0,0,0,
20200815,NH,6980,176397,,15,706,,218,,,6264,B,8/15/2020 09:00,2020-08-15T09:00:00Z,08/15 05:00,423,706,2020-08-15T09:00:00Z,,,,6980,,,,183377,,,,28528,,,,,,,33,59,1702,183377,183377,1761,183377,1,1,c4061e0ac57595e6a43e6f58b2c5c29adf426f1a,0,0,0,0,0,
20200814,NH,6921,174695,,15,705,,214,,,6190,B,8/13/2020 09:00,2020-08-13T09:00:00Z,08/13 05:00,422,705,2020-08-13T09:00:00Z,,,,6921,,,,181616,,,,28351,,,,,,,33,0,0,181616,181616,0,181616,0,0,00ef772d47d64466ec5fd5143d0afcf06ce857b0,0,0,0,0,0,
20200813,NH,6921,174695,,15,705,,214,,,6190,B,8/13/2020 09:00,2020-08-13T09:00:00Z,08/13 05:00,422,705,2020-08-13T09:00:00Z,,,,6921,,,,181616,,,,28351,,,,,,,33,34,1131,181616,181616,1165,181616,2,0,1ef61eead9b88406e9e388ae3b118c1d48d45214,0,0,0,0,0,
20200812,NH,6887,173564,,18,705,,213,,,6162,B,8/12/2020 09:00,2020-08-12T09:00:00Z,08/12 05:00,420,705,2020-08-12T09:00:00Z,,,,6887,,,,180451,,,,28195,,,,,,,33,26,5026,180451,180451,5052,180451,1,0,73e3043f942507d864d99dfda0a80b095f867d41,0,0,0,0,0,
20200811,NH,6861,168538,,21,705,,211,,,6126,B,8/11/2020 09:00,2020-08-11T09:00:00Z,08/11 05:00,419,705,2020-08-11T09:00:00Z,,,,6861,,,,175399,,,,28105,,,,,,,33,21,1100,175399,175399,1121,175399,0,1,2f586d0e9c3dc4805b4ff62dc85a62c7efe0c76f,0,0,0,0,0,
20200810,NH,6840,167438,,20,704,,210,,,6095,B,8/10/2020 09:00,2020-08-10T09:00:00Z,08/10 05:00,419,704,2020-08-10T09:00:00Z,,,,6840,,,,174278,,,,28046,,,,,,,33,9,1684,174278,174278,1693,174278,0,3,847e9b30a009ece9ceb12bef45a3527f749defa1,0,0,0,0,0,
20200809,NH,6831,165754,,23,701,,210,,,6063,B,8/9/2020 09:00,2020-08-09T09:00:00Z,08/09 05:00,419,701,2020-08-09T09:00:00Z,,,,6831,,,,172585,,,,27975,,,,,,,33,13,1321,172585,172585,1334,172585,0,1,e75eeb16b8454b67be85da4d8b3a7ac16ae5f169,0,0,0,0,0,
20200808,NH,6818,164433,,24,700,,209,,,6049,B,8/8/2020 09:00,2020-08-08T09:00:00Z,08/08 05:00,419,700,2020-08-08T09:00:00Z,,,,6818,,,,171251,,,,27857,,,,,,,33,76,2710,171251,171251,2786,171251,0,1,d7a716a5e6aaa19e2fb84333e9111f4bf66a5237,0,0,0,0,0,
20200807,NH,6742,161723,,21,699,,209,,,5941,B,8/6/2020 09:00,2020-08-06T09:00:00Z,08/06 05:00,419,699,2020-08-06T09:00:00Z,,,,6742,,,,168465,,,,27611,,,,,,,33,23,1035,168465,168465,1058,168465,1,1,e6ddd790292ad977e0a2bb2bcb66d68cc61111eb,0,0,0,0,0,
20200806,NH,6719,160688,,20,698,,209,,,5923,B,8/5/2020 09:00,2020-08-05T09:00:00Z,08/05 05:00,418,698,2020-08-05T09:00:00Z,,,,6719,,,,167407,,,,27506,,,,,,,33,26,1405,167407,167407,1431,167407,0,0,c4f2fb6a4ca6fca7ff1a8949357f09f3547fb811,0,0,0,0,0,
20200805,NH,6693,159283,,23,698,,209,,,5915,B,8/4/2020 09:00,2020-08-04T09:00:00Z,08/04 05:00,418,698,2020-08-04T09:00:00Z,,,,6693,,,,165976,,,,27364,,,,,,,33,33,1107,165976,165976,1140,165976,1,1,1c2bd60a54664d8ab5802415d549fb8fabd1ec0b,0,0,0,0,0,
20200804,NH,6660,158176,,23,697,,209,,,5848,B,8/3/2020 09:00,2020-08-03T09:00:00Z,08/03 05:00,417,697,2020-08-03T09:00:00Z,,,,6660,,,,164836,,,,27314,,,,,,,33,26,2188,164836,164836,2214,164836,0,1,eda32b4dfbbfd40c145db39a38aec82c7c253c83,0,0,0,0,0,
20200803,NH,6634,155988,,24,696,,209,,,5820,B,8/2/2020 09:00,2020-08-02T09:00:00Z,08/02 05:00,417,696,2020-08-02T09:00:00Z,,,,6634,,,,162622,,,,27251,,,,,,,33,21,1639,162622,162622,1660,162622,1,1,2df54533f9cd8da3eb30b852d0d6f481ddd6e741,0,0,0,0,0,
20200802,NH,6613,154349,,22,695,,208,,,5794,B,8/1/2020 09:00,2020-08-01T09:00:00Z,08/01 05:00,416,695,2020-08-01T09:00:00Z,,,,6613,,,,160962,,,,27088,,,,,,,33,0,0,160962,160962,0,160962,0,0,74708306414c1a0b63646f4a53c8e7d6e78f0265,0,0,0,0,0,
