date,state,positive,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200927,NJ,203548,3309718,,3513266,416,23327,88,,47,,34650,A+,9/27/2020 00:00,2020-09-27T00:00:00Z,09/26 20:00,16109,23327,2020-09-27T00:00:00Z,3512568,,,203548,14318,1791,,,,,,,,,,,,,34,698,0,3513266,posNeg,698,3513266,6,3,39a28243e3bff5f4cad29d8b6ebf1b33db8ead47,0,0,0,0,0,
20200926,NJ,202850,3309718,,3512568,426,23324,88,,38,,34650,A+,9/26/2020 00:00,2020-09-26T00:00:00Z,09/25 20:00,16103,23324,2020-09-26T00:00:00Z,3512568,,,202850,14312,1791,,,,,,,,,,,,,34,750,33107,3512568,posNeg,33857,3512568,6,39,cd73d3de8c388876eca2bfe00d66d734af82857f,0,0,0,0,0,
20200925,NJ,202100,3276611,,3478711,405,23285,75,,32,,34650,A+,9/25/2020 00:00,2020-09-25T00:00:00Z,09/24 20:00,16097,23285,2020-09-25T00:00:00Z,3478711,,,202100,14306,1791,,,,,,,,,,,,,34,548,26359,3478711,posNeg,26907,3478711,6,33,4637fb73c31e7264c355883b441eae77ca71d808,0,0,0,0,0,
20200924,NJ,201552,3250252,,3451804,433,23252,88,,34,,34650,A+,9/24/2020 00:00,2020-09-24T00:00:00Z,09/23 20:00,16091,23252,2020-09-24T00:00:00Z,3451804,,,201552,14300,1791,,,,,,,,,,,,,34,564,28493,3451804,posNeg,29057,3451804,9,37,35ee2617aec17b486b9705e1ad0a8b07995e09ec,0,0,0,0,0,
20200923,NJ,200988,3221759,,3422747,459,23215,90,,31,,34729,A+,9/23/2020 00:00,2020-09-23T00:00:00Z,09/22 20:00,16082,23215,2020-09-23T00:00:00Z,3422747,,,200988,14291,1791,,,,,,,,,,,,,34,408,24690,3422747,posNeg,25098,3422747,6,45,92c8ee2bfc81236413a9d6a9bdd8bf803bd15e3e,0,0,0,0,0,
20200922,NJ,200580,3197069,,3397649,417,23170,80,,34,,34697,A+,9/22/2020 00:00,2020-09-22T00:00:00Z,09/21 20:00,16076,23170,2020-09-22T00:00:00Z,3397649,,,200580,14285,1791,,,,,,,,,,,,,34,426,44040,3397649,posNeg,44466,3397649,7,35,bcc1a2c6975fbd7ce5c822ebbfb99bcff138e2e7,0,0,0,0,0,
20200921,NJ,200154,3153029,,3353183,349,23135,87,,32,,34672,A+,9/21/2020 00:00,2020-09-21T00:00:00Z,09/20 20:00,16069,23135,2020-09-21T00:00:00Z,3352791,,,200154,14278,1791,,,,,,,,,,,,,34,392,0,3353183,posNeg,392,3353183,2,5,74f7601918ce989485c3fe8aa2b8123230a71383,0,0,0,0,0,
20200920,NJ,199762,3153029,,3352791,380,23130,91,,39,,34637,A+,9/20/2020 00:00,2020-09-20T00:00:00Z,09/19 20:00,16067,23130,2020-09-20T00:00:00Z,3352791,,,199762,14276,1791,,,,,,,,,,,,,34,453,59961,3352791,posNeg,60414,3352791,3,10,d7490d520c6b485d461c992d17bbfae5085fc96c,0,0,0,0,0,
20200919,NJ,199309,3093068,,3292377,412,23120,89,,27,,34601,A+,9/19/2020 00:00,2020-09-19T00:00:00Z,09/18 20:00,16064,23120,2020-09-19T00:00:00Z,3291916,,,199309,14273,1791,,,,,,,,,,,,,34,461,0,3292377,posNeg,461,3292377,3,24,0183b3e185422ff4f1275cee19945352d05c217f,0,0,0,0,0,
20200918,NJ,198848,3093068,,3291916,413,23096,73,,36,,34572,A+,9/18/2020 00:00,2020-09-18T00:00:00Z,09/17 20:00,16061,23096,2020-09-18T00:00:00Z,3291916,,,198848,14270,1791,,,,,,,,,,,,,34,487,25611,3291916,posNeg,26098,3291916,4,25,691f7443eb5c45ad48a7a0aa14fdf1d25778344a,0,0,0,0,0,
20200917,NJ,198361,3067457,,3265818,431,23071,85,,40,,34546,A+,9/17/2020 00:00,2020-09-17T00:00:00Z,09/16 20:00,16057,23071,2020-09-17T00:00:00Z,3265818,,,198361,14266,1791,,,,,,,,,,,,,34,569,30277,3265818,posNeg,30846,3265818,3,39,01f236b39a0a95f41fa63a1a29b559c393ee292b,0,0,0,0,0,
20200916,NJ,197792,3037180,,3234972,462,23032,100,,38,,34503,A+,9/16/2020 00:00,2020-09-16T00:00:00Z,09/15 20:00,16054,23032,2020-09-16T00:00:00Z,3234972,,,197792,14263,1791,,,,,,,,,,,,,34,388,22273,3234972,posNeg,22661,3234972,9,29,de129e85e1f5facc959c38c71fc3f9dde9cfc3a7,0,0,0,0,0,
20200915,NJ,197404,3014907,,3212311,406,23003,90,,35,,34472,A+,9/15/2020 00:00,2020-09-15T00:00:00Z,09/14 20:00,16045,23003,2020-09-15T00:00:00Z,3212311,,,197404,14254,1791,,,,,,,,,,,,,34,436,21905,3212311,posNeg,22341,3212311,9,38,f638b9eaf85c1a90ef701de306088c6eb8b1b639,0,0,0,0,0,
20200914,NJ,196968,2993002,,3189970,420,22965,91,,41,,34458,A+,9/14/2020 00:00,2020-09-14T00:00:00Z,09/13 20:00,16036,22965,2020-09-14T00:00:00Z,3189970,,,196968,14245,1791,,,,,,,,,,,,,34,334,21106,3189970,posNeg,21440,3189970,4,2,f86bfe54353b0e99d7899ac737967b406098ffd9,0,0,0,0,0,
20200913,NJ,196634,2971896,,3168530,444,22963,98,,37,,34430,A+,9/13/2020 00:00,2020-09-13T00:00:00Z,09/12 20:00,16032,22963,2020-09-13T00:00:00Z,3168530,,,196634,14242,1790,,,,,,,,,,,,,34,297,26998,3168530,posNeg,27295,3168530,4,13,dd79f29a66858c95358a1461458a92718567bf5f,0,0,0,0,0,
20200912,NJ,196337,2944898,,3141235,462,22950,84,,35,,34397,A+,9/12/2020 00:00,2020-09-12T00:00:00Z,09/11 20:00,16028,22950,2020-09-12T00:00:00Z,3140786,,,196337,14238,1790,,,,,,,,,,,,,34,449,0,3141235,posNeg,449,3141235,4,32,800e1a024c5f258b6cb0f2567628c8809c402867,0,0,0,0,0,
20200911,NJ,195888,2944898,,3140786,483,22918,81,,36,,34345,A+,9/11/2020 00:00,2020-09-11T00:00:00Z,09/10 20:00,16024,22918,2020-09-11T00:00:00Z,3140786,,,195888,14234,1790,,,,,,,,,,,,,34,474,26658,3140786,posNeg,27132,3140786,9,30,a51e330aaf245911d7e147654e07aefc2734c8e4,0,0,0,0,0,
20200910,NJ,195414,2918240,,3113654,435,22888,62,,36,,34290,A+,9/10/2020 00:00,2020-09-10T00:00:00Z,09/09 20:00,16015,22888,2020-09-10T00:00:00Z,3113654,,,195414,14225,1790,,,,,,,,,,,,,34,424,22081,3113654,posNeg,22505,3113654,5,34,15e62d73cc03a32a0b961b041d2d50cb4d4e4e06,0,0,0,0,0,
20200909,NJ,194990,2896159,,3091149,423,22854,63,,31,,34255,A+,9/9/2020 00:00,2020-09-09T00:00:00Z,09/08 20:00,16010,22854,2020-09-09T00:00:00Z,3091149,,,194990,14220,1790,,,,,,,,,,,,,34,323,20080,3091149,posNeg,20403,3091149,7,42,b281879b821ffd95f2a6994db71f96ef825f4144,0,0,0,0,0,
20200908,NJ,194667,2876079,,3070746,419,22812,82,,33,,34226,A+,9/8/2020 00:00,2020-09-08T00:00:00Z,09/07 20:00,16003,22812,2020-09-08T00:00:00Z,3070746,,,194667,14213,1790,,,,,,,,,,,,,34,277,15941,3070746,posNeg,16218,3070746,5,10,446b93b9dd1bb264230baa32aafc9863bc321d05,0,0,0,0,0,
20200907,NJ,194390,2860138,,3054528,389,22802,79,,29,,34202,A+,9/7/2020 00:00,2020-09-07T00:00:00Z,09/06 20:00,15998,22802,2020-09-07T00:00:00Z,3054528,,,194390,14208,1790,,,,,,,,,,,,,34,332,51889,3054528,posNeg,52221,3054528,2,6,be8cd39a54023bb06784d4c8eceaf02231449e83,0,0,0,0,0,
