date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201103,NM,48104,,1143223,,posNeg,1191327,382,4737,,,,,21758,B,11/2/2020 17:51,2020-11-02T17:51:00Z,11/02 12:51,1036,4737,2020-11-02T17:51:00Z,1191327,,,48104,,,,,,,,,,,,,,,35,872,7941,1191327,8813,1191327,10,64,3962c35da056ad2b4c60f219f4d0cf4c5454505a,0,0,0,0,0,
20201102,NM,47232,,1135282,,posNeg,1182514,365,4673,,,,,21623,B,11/1/2020 19:30,2020-11-01T19:30:00Z,11/01 14:30,1026,4673,2020-11-01T19:30:00Z,1182514,,,47232,,,,,,,,,,,,,,,35,742,9052,1182514,9794,1182514,8,56,a65c1a560fe9f5dc9c47d0fa27de85743bccab35,0,0,0,0,0,
20201101,NM,46490,,1126230,,posNeg,1172720,354,4617,,,,,21570,B,10/31/2020 17:30,2020-10-31T17:30:00Z,10/31 13:30,1018,4617,2020-10-31T17:30:00Z,1172720,,,46490,,,,,,,,,,,,,,,35,581,10252,1172720,10833,1172720,11,64,582a2c7f350f96476fa7bf7daf28a2f4269dc3ae,0,0,0,0,0,
20201031,NM,45909,,1115978,,posNeg,1161887,334,4553,,,,,21491,B,10/30/2020 17:30,2020-10-30T17:30:00Z,10/30 13:30,1007,4553,2020-10-30T17:30:00Z,1161887,,,45909,,,,,,,,,,,,,,,35,1005,7697,1161887,8702,1161887,13,61,fbe1da0b63ee991d6777d856b9466067692621d2,0,0,0,0,0,
20201030,NM,44904,,1108281,,posNeg,1153185,323,4492,,,,,21389,B,10/29/2020 18:01,2020-10-29T18:01:00Z,10/29 14:01,994,4492,2020-10-29T18:01:00Z,1153185,,,44904,,,,,,,,,,,,,,,35,1078,10921,1153185,11999,1153185,3,63,a317b22eae9fdce8dc2bb35c9f5c58f86edcfdad,0,0,0,0,0,
20201029,NM,43826,,1097360,,posNeg,1141186,313,4429,,,,,21224,B,10/28/2020 18:11,2020-10-28T18:11:00Z,10/28 14:11,991,4429,2020-10-28T18:11:00Z,1141186,,,43826,,,,,,,,,,,,,,,35,657,11110,1141186,11767,1141186,11,52,d281246e88ef1e1b55a12046725425b3fc2281e1,0,0,0,0,0,
20201028,NM,43169,,1086250,,posNeg,1129419,307,4377,,,,,21063,B,10/27/2020 17:50,2020-10-27T17:50:00Z,10/27 13:50,980,4377,2020-10-27T17:50:00Z,1129419,,,43169,,,,,,,,,,,,,,,35,583,3914,1129419,4497,1129419,4,56,94660650c98e746bc8b5b6faed2bd00fbef9c65c,0,0,0,0,0,
20201027,NM,42586,,1082336,,posNeg,1124922,289,4321,,,,,20910,B,10/26/2020 17:50,2020-10-26T17:50:00Z,10/26 13:50,976,4321,2020-10-26T17:50:00Z,1124922,,,42586,,,,,,,,,,,,,,,35,723,5355,1124922,6078,1124922,9,44,630f13d86dffb6b8befcd3b2418b56e0db1fbe0e,0,0,0,0,0,
20201026,NM,41863,,1076981,,posNeg,1118844,287,4277,,,,,20837,B,10/25/2020 16:30,2020-10-25T16:30:00Z,10/25 12:30,967,4277,2020-10-25T16:30:00Z,1118844,,,41863,,,,,,,,,,,,,,,35,823,8926,1118844,9749,1118844,2,38,6156736f4ba445db1a5ed2ccb99034037758c778,0,0,0,0,0,
20201025,NM,41040,,1068055,,posNeg,1109095,264,4239,,,,,20765,B,10/24/2020 17:30,2020-10-24T17:30:00Z,10/24 13:30,965,4239,2020-10-24T17:30:00Z,1109095,,,41040,,,,,,,,,,,,,,,35,872,8739,1109095,9611,1109095,5,70,927d48332f172b0b95b30604b2490305f8743846,0,0,0,0,0,
20201024,NM,40168,,1059316,,posNeg,1099484,229,4169,,,,,20655,B,10/23/2020 17:50,2020-10-23T17:50:00Z,10/23 13:50,960,4169,2020-10-23T17:50:00Z,1099484,,,40168,,,,,,,,,,,,,,,35,791,9543,1099484,10334,1099484,7,41,5f9dd65b5ba16ac8ee9f9530c5b153b4d0d18370,0,0,0,0,0,
20201023,NM,39377,,1049773,,posNeg,1089150,213,4128,,,,,20562,B,10/22/2020 17:50,2020-10-22T17:50:00Z,10/22 13:50,953,4128,2020-10-22T17:50:00Z,1089150,,,39377,,,,,,,,,,,,,,,35,662,10401,1089150,11063,1089150,3,49,1cab6bd464227344936466f109b286bd8c58a8bf,0,0,0,0,0,
20201022,NM,38715,,1039372,,posNeg,1078087,202,4079,,,,,20332,B,10/21/2020 17:50,2020-10-21T17:50:00Z,10/21 13:50,950,4079,2020-10-21T17:50:00Z,1078087,,,38715,,,,,,,,,,,,,,,35,819,6787,1078087,7606,1078087,8,49,d98a34a089009ec95997e22430a7fad6a5d85102,0,0,0,0,0,
20201021,NM,37896,,1032585,,posNeg,1070481,205,4030,,,,,20165,B,10/20/2020 16:50,2020-10-20T16:50:00Z,10/20 12:50,942,4030,2020-10-20T16:50:00Z,1070481,,,37896,,,,,,,,,,,,,,,35,594,8619,1070481,9213,1070481,7,53,c4548bb1529ea6c51d0be57a71f441e344ea2306,0,0,0,0,0,
20201020,NM,37302,,1023966,,posNeg,1061268,183,3977,,,,,20001,B,10/19/2020 17:51,2020-10-19T17:51:00Z,10/19 13:51,935,3977,2020-10-19T17:51:00Z,1061268,,,37302,,,,,,,,,,,,,,,35,514,5863,1061268,6377,1061268,1,37,c3f17ef687d7bd74bdb59228850f6fabedbc8ad3,0,0,0,0,0,
20201019,NM,36788,,1018103,,posNeg,1054891,171,3940,,,,,19894,B,10/18/2020 17:30,2020-10-18T17:30:00Z,10/18 13:30,934,3940,2020-10-18T17:30:00Z,1054891,,,36788,,,,,,,,,,,,,,,35,445,7719,1054891,8164,1054891,5,29,ee60425e2162f87be2973d45f369b59e16a09b4e,0,0,0,0,0,
20201018,NM,36343,,1010384,,posNeg,1046727,173,3911,,,,,19853,B,10/17/2020 17:20,2020-10-17T17:20:00Z,10/17 13:20,929,3911,2020-10-17T17:20:00Z,1046727,,,36343,,,,,,,,,,,,,,,35,573,10303,1046727,10876,1046727,1,50,da767714bd0c405270fbd57ffc44fe5fd5aff2f9,0,0,0,0,0,
20201017,NM,35770,,1000081,,posNeg,1035851,168,3861,,,,,19613,B,10/16/2020 17:50,2020-10-16T17:50:00Z,10/16 13:50,928,3861,2020-10-16T17:50:00Z,1035851,,,35770,,,,,,,,,,,,,,,35,812,7647,1035851,8459,1035851,6,42,916235e01a64e9c017731d440bf7544dd8f43407,0,0,0,0,0,
