date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210225,NV,292630,,1111490,,totalTestEncountersViral,2696649,532,,116,,71,,,2/24/2021 00:00,2021-02-24T00:00:00Z,02/23 19:00,4933,,,2021-02-24T00:00:00Z,,,,292630,,,2696649,1404120,,,,,,,,,,,32,571,2718,1404120,10057,1404120,,14,0,866f474c691f2f3d761d78b5887a65276eb2e7e2,0,0,0,0,0,
20210224,NV,292059,,1108772,,totalTestEncountersViral,2686592,534,,120,,78,,,2/23/2021 00:00,2021-02-23T00:00:00Z,02/22 19:00,4919,,,2021-02-23T00:00:00Z,,,,292059,,,2686592,1400831,,,,,,,,,,,32,516,2124,1400831,8343,1400831,,16,0,e5b8c5bbd570e4c3a0a4a96307a3539367507416,0,0,0,0,0,
20210223,NV,291543,,1106648,,totalTestEncountersViral,2678249,581,,131,,84,,,2/22/2021 00:00,2021-02-22T00:00:00Z,02/21 19:00,4903,,,2021-02-22T00:00:00Z,,,,291543,,,2678249,1398191,,,,,,,,,,,32,398,3439,1398191,10449,1398191,,21,0,1a8ea98f126c539454249af4ec15c07f22a673a6,0,0,0,0,0,
20210222,NV,291145,,1103209,,totalTestEncountersViral,2667800,580,,142,,87,,,2/21/2021 00:00,2021-02-21T00:00:00Z,02/20 19:00,4882,,,2021-02-21T00:00:00Z,,,,291145,,,2667800,1394354,,,,,,,,,,,32,173,1263,1394354,4933,1394354,,10,0,bccae2b022cb6b8d5f3df4ec725017bfb3aacfb5,0,0,0,0,0,
20210221,NV,290972,,1101946,,totalTestEncountersViral,2662867,639,,145,,103,,,2/20/2021 00:00,2021-02-20T00:00:00Z,02/19 19:00,4872,,,2021-02-20T00:00:00Z,,,,290972,,,2662867,1392918,,,,,,,,,,,32,301,1807,1392918,6034,1392918,,4,0,376971ff8713d6a5189febb21e6a0705082708b9,0,0,0,0,0,
20210220,NV,290671,,1100139,,totalTestEncountersViral,2656833,639,,145,,103,,,2/19/2021 00:00,2021-02-19T00:00:00Z,02/18 19:00,4868,,,2021-02-19T00:00:00Z,,,,290671,,,2656833,1390810,,,,,,,,,,,32,371,1534,1390810,6747,1390810,,37,0,581bea857b4eb9d0da9d4d93713b388b771ba5ca,0,0,0,0,0,
20210219,NV,290300,,1098605,,totalTestEncountersViral,2650086,670,,154,,106,,,2/18/2021 00:00,2021-02-18T00:00:00Z,02/17 19:00,4831,,,2021-02-18T00:00:00Z,,,,290300,,,2650086,1388905,,,,,,,,,,,32,420,1707,1388905,7193,1388905,,26,0,aa6e6669b84cad7222fbb96b7904d4353181e09c,0,0,0,0,0,
20210218,NV,289880,,1096898,,totalTestEncountersViral,2642893,698,,173,,111,,,2/17/2021 00:00,2021-02-17T00:00:00Z,02/16 19:00,4805,,,2021-02-17T00:00:00Z,,,,289880,,,2642893,1386778,,,,,,,,,,,32,488,2366,1386778,7902,1386778,,31,0,f084a168f8a54a2ae641081339d867db4a8cc2e4,0,0,0,0,0,
20210217,NV,289392,,1094532,,totalTestEncountersViral,2634991,740,,176,,110,,,2/16/2021 00:00,2021-02-16T00:00:00Z,02/15 19:00,4774,,,2021-02-16T00:00:00Z,,,,289392,,,2634991,1383924,,,,,,,,,,,32,363,3701,1383924,8214,1383924,,41,0,09a3d435871dacc6db363eca5d967da0c95af887,0,0,0,0,0,
20210216,NV,289029,,1090831,,totalTestEncountersViral,2626777,773,,193,,113,,,2/15/2021 00:00,2021-02-15T00:00:00Z,02/14 19:00,4733,,,2021-02-15T00:00:00Z,,,,289029,,,2626777,1379860,,,,,,,,,,,32,290,3280,1379860,7971,1379860,,13,0,087680e5cfedd1980afacf56cfb9ecab32e3e6a2,0,0,0,0,0,
20210215,NV,288739,,1087551,,totalTestEncountersViral,2618806,755,,197,,117,,,2/14/2021 00:00,2021-02-14T00:00:00Z,02/13 19:00,4720,,,2021-02-14T00:00:00Z,,,,288739,,,2618806,1376290,,,,,,,,,,,32,391,1666,1376290,6386,1376290,,11,0,4d59a0f68358cecd19208995ac2f66a7d4c495ed,0,0,0,0,0,
20210214,NV,288348,,1085885,,totalTestEncountersViral,2612420,827,,201,,127,,,2/13/2021 00:00,2021-02-13T00:00:00Z,02/12 19:00,4709,,,2021-02-13T00:00:00Z,,,,288348,,,2612420,1374233,,,,,,,,,,,32,512,2147,1374233,8210,1374233,,15,0,5c786ef261709f0a15b470b4f2d8910a514f260e,0,0,0,0,0,
20210213,NV,287836,,1083738,,totalTestEncountersViral,2604210,827,,201,,127,,,2/12/2021 00:00,2021-02-12T00:00:00Z,02/11 19:00,4694,,,2021-02-12T00:00:00Z,,,,287836,,,2604210,1371574,,,,,,,,,,,32,813,3295,1371574,13564,1371574,,31,0,caa3384f4d775939961a9449782d080bdbf7fbbc,0,0,0,0,0,
20210212,NV,287023,,1080443,,totalTestEncountersViral,2590646,847,,219,,137,,,2/11/2021 00:00,2021-02-11T00:00:00Z,02/10 19:00,4663,,,2021-02-11T00:00:00Z,,,,287023,,,2590646,1367466,,,,,,,,,,,32,636,1976,1367466,7807,1367466,,26,0,b233cee36546cf504d843f831d40a90409d14887,0,0,0,0,0,
20210211,NV,286387,,1078467,,totalTestEncountersViral,2582839,879,,223,,147,,,2/10/2021 00:00,2021-02-10T00:00:00Z,02/09 19:00,4637,,,2021-02-10T00:00:00Z,,,,286387,,,2582839,1364854,,,,,,,,,,,32,592,2476,1364854,9894,1364854,,55,0,15a077dc23a451f4f5faed2ad5ec43de91b696e5,0,0,0,0,0,
20210210,NV,285795,,1075991,,totalTestEncountersViral,2572945,922,,226,,139,,,2/9/2021 00:00,2021-02-09T00:00:00Z,02/08 19:00,4582,,,2021-02-09T00:00:00Z,,,,285795,,,2572945,1361786,,,,,,,,,,,32,659,2495,1361786,8965,1361786,,23,0,e1e080f59c2d2cf0240c6090e3e70e8576ae8af3,0,0,0,0,0,
20210209,NV,285136,,1073496,,totalTestEncountersViral,2563980,971,,237,,151,,,2/8/2021 00:00,2021-02-08T00:00:00Z,02/07 19:00,4559,,,2021-02-08T00:00:00Z,,,,285136,,,2563980,1358632,,,,,,,,,,,32,546,3176,1358632,6212,1358632,,37,0,c8df82bf5d2a4e39dea3fe65e6550194b81a2f1d,0,0,0,0,0,
