date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201227,NY,922145,,23706349,,totalTestEncountersViral,24628494,7183,89995,1187,,687,,99583,B,12/26/2020 14:00,2020-12-26T14:00:00Z,12/26 09:00,29511,89995,2020-12-26T14:00:00Z,,,,922145,,,24628494,,,,,,,,,,,,36,7623,122676,24628494,130299,24628494,115,0,f910ce4293324a24eb661c2da38468a4d80ea3f9,0,0,0,0,0,
20201226,NY,914522,,23583673,,totalTestEncountersViral,24498195,6884,89995,1129,,638,,99156,B,12/25/2020 14:00,2020-12-25T14:00:00Z,12/25 09:00,29396,89995,2020-12-25T14:00:00Z,,,,914522,,,24498195,,,,,,,,,,,,36,10806,190636,24498195,201442,24498195,126,0,3c2540f418bb638536d9d51416b8af92040be2eb,0,0,0,0,0,
20201225,NY,903716,,23393037,,totalTestEncountersViral,24296753,6950,89995,1148,,621,,98350,B,12/24/2020 14:00,2020-12-24T14:00:00Z,12/24 09:00,29270,89995,2020-12-24T14:00:00Z,,,,903716,,,24296753,,,,,,,,,,,,36,12446,214114,24296753,226560,24296753,121,0,95e14dd45f705ebfea8a90d76511d5c9e3d04dbd,0,0,0,0,0,
20201224,NY,891270,,23178923,,totalTestEncountersViral,24070193,6928,89995,1160,,621,,97600,B,12/23/2020 14:00,2020-12-23T14:00:00Z,12/23 09:00,29149,89995,2020-12-23T14:00:00Z,,,,891270,,,24070193,,,,,,,,,,,,36,12568,213728,24070193,226296,24070193,133,0,4b237bd6129e94eb47f829036f347c74a3447e62,0,0,0,0,0,
20201223,NY,878702,,22965195,,totalTestEncountersViral,23843897,6864,89995,1166,,633,,96857,B,12/22/2020 14:00,2020-12-22T14:00:00Z,12/22 09:00,29016,89995,2020-12-22T14:00:00Z,,,,878702,,,23843897,,,,,,,,,,,,36,11937,192424,23843897,204361,23843897,166,0,2df81bf58664575e4eea8247706ece523a4308de,0,0,0,0,0,
20201222,NY,866765,,22772771,,totalTestEncountersViral,23639536,6661,89995,1126,,614,,96185,B,12/21/2020 14:00,2020-12-21T14:00:00Z,12/21 09:00,28850,89995,2020-12-21T14:00:00Z,,,,866765,,,23639536,,,,,,,,,,,,36,9716,155152,23639536,164868,23639536,141,0,a071eaa1f9874a09a6f440c890c51887b533d7de,0,0,0,0,0,
20201221,NY,857049,,22617619,,totalTestEncountersViral,23474668,6331,89995,1095,,613,,95779,B,12/20/2020 14:00,2020-12-20T14:00:00Z,12/20 09:00,28709,89995,2020-12-20T14:00:00Z,,,,857049,,,23474668,,,,,,,,,,,,36,9007,147503,23474668,156510,23474668,111,0,8aaa66685c0b527bf3ccf3eb90a39c28c0229558,0,0,0,0,0,
20201220,NY,848042,,22470116,,totalTestEncountersViral,23318158,6185,89995,1045,,600,,94579,B,12/19/2020 14:00,2020-12-19T14:00:00Z,12/19 09:00,28598,89995,2020-12-19T14:00:00Z,,,,848042,,,23318158,,,,,,,,,,,,36,9957,187294,23318158,197251,23318158,124,0,b1b87ff29af0f573aea6df75502f63ac797b1cca,0,0,0,0,0,
20201219,NY,838085,,22282822,,totalTestEncountersViral,23120907,6208,89995,1088,,610,,94579,B,12/18/2020 14:00,2020-12-18T14:00:00Z,12/18 09:00,28474,89995,2020-12-18T14:00:00Z,,,,838085,,,23120907,,,,,,,,,,,,36,9919,181557,23120907,191476,23120907,130,0,8108e050f091ae79fea2aa82551384b69cdef908,0,0,0,0,0,
20201218,NY,828166,,22101265,,totalTestEncountersViral,22929431,6081,89995,1068,,592,,94057,B,12/17/2020 14:00,2020-12-17T14:00:00Z,12/17 09:00,28344,89995,2020-12-17T14:00:00Z,,,,828166,,,22929431,,,,,,,,,,,,36,12697,236688,22929431,249385,22929431,122,0,96d0db552687e985631572886d2baad29c2ea98e,0,0,0,0,0,
