date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210105,OH,735003,78422,7226102,,posNeg,7961105,4446,39650,1054,6022,670,,596221,A+,1/5/2021 14:00,2021-01-05T14:00:00Z,01/05 09:00,9247,39650,2021-01-05T14:00:00Z,7882683,682613,,656581,8352,895,,,,,,,,,,,886882,48135,39,7580,24246,7961105,31826,7961105,104,538,c5ba908b9b52611ad01b2920e51745ccc0ffd988,0,0,0,0,0,
20210104,OH,727423,76494,7201856,,posNeg,7929279,4405,39112,1073,5978,691,,585091,A+,1/4/2021 14:00,2021-01-04T14:00:00Z,01/04 09:00,9143,39112,2021-01-04T14:00:00Z,7862631,679003,,650929,8262,881,,,,,,,,,,,882995,47486,39,5942,24391,7929279,30333,7929279,67,314,659f79dbb082454eb73fd4f53b6dc1161b530b2d,0,0,0,0,0,
20210103,OH,721481,75007,7177465,,posNeg,7898946,4237,38798,1054,5933,684,,579583,A+,1/3/2021 14:00,2021-01-03T14:00:00Z,01/03 09:00,9076,38798,2021-01-03T14:00:00Z,7831810,674886,,646474,8199,877,,,,,,,,,,,878565,46691,39,6808,73130,7898946,79938,7898946,59,165,45f90700e899303d6c11191205cbad3570229d29,0,0,0,0,0,
20210102,OH,714673,73861,7104335,,posNeg,7819008,4102,38633,1036,5910,696,,573641,A+,1/2/2021 14:00,2021-01-02T14:00:00Z,01/02 09:00,9017,38633,2021-01-02T14:00:00Z,7795210,669869,,640812,8154,863,,,,,,,,,,,875922,46536,39,14293,52401,7819008,66694,7819008,55,299,d8ad11c4edfd9135dedc7016542dc6560ea04a6b,0,0,0,0,0,
20210101,OH,700380,72044,7051934,,posNeg,7752314,4367,38334,1059,5870,722,,556106,A+,12/31/2020 14:00,2020-12-31T14:00:00Z,12/31 09:00,8962,38334,2020-12-31T14:00:00Z,7745920,662771,,628336,8112,850,,,,,,,,,,,860951,45805,39,0,0,7752314,0,7752314,0,0,b65ce64e5c050e0b8817effc85f6d525a3b64bb9,0,0,0,0,0,
20201231,OH,700380,72044,7051934,,posNeg,7752314,4367,38334,1059,5870,722,,556106,A+,12/31/2020 14:00,2020-12-31T14:00:00Z,12/31 09:00,8962,38334,2020-12-31T14:00:00Z,7682584,654120,,628336,8112,850,,,,,,,,,,,842642,44661,39,9632,47782,7752314,57414,7752314,107,332,f3e7bd1d7d1c4f6bf488d3a1c3b3b3e1adf209cc,0,0,0,0,0,
20201230,OH,690748,70567,7004152,,posNeg,7694900,4409,38002,1087,5837,693,,546305,A+,12/30/2020 14:00,2020-12-30T14:00:00Z,12/30 09:00,8855,38002,2020-12-30T14:00:00Z,7625641,645879,,620181,8009,846,,,,,,,,,,,828903,43499,39,8178,20272,7694900,28450,7694900,133,366,46fcae95f7f13183e78af4b1a8180a9aea984c7d,0,0,0,0,0,
20201229,OH,682570,68539,6983880,,posNeg,7666450,4516,37636,1110,5801,706,,535487,A+,12/29/2020 14:00,2020-12-29T14:00:00Z,12/29 09:00,8722,37636,2020-12-29T14:00:00Z,7601078,641245,,614031,7903,819,,,,,,,,,,,800455,41995,39,7526,19090,7666450,26616,7666450,151,560,adb55cd803f2ef3b8c336b7d1437a2f14f657142,0,0,0,0,0,
20201228,OH,675044,66615,6964790,,posNeg,7639834,4511,37076,1108,5749,729,,523494,A+,12/28/2020 14:00,2020-12-28T14:00:00Z,12/28 09:00,8571,37076,2020-12-28T14:00:00Z,7580749,638135,,608429,7791,780,,,,,,,,,,,796441,41388,39,4519,27393,7639834,31912,7639834,62,290,61efc8ea29c44d66c748c2e6a2072b236c25ee0c,0,0,0,0,0,
20201227,OH,670525,65311,6937397,,posNeg,7607922,4371,36786,1083,5719,731,,517057,A+,12/27/2020 14:00,2020-12-27T14:00:00Z,12/27 09:00,8509,36786,2020-12-27T14:00:00Z,7551957,634574,,605214,7732,777,,,,,,,,,,,792278,40678,39,5857,68014,7607922,73871,7607922,33,273,dc6d485cb72927c018cf374ec1634f6736136376,0,0,0,0,0,
20201226,OH,664668,64338,6869383,,posNeg,7534051,4298,36513,1082,5689,694,,510332,A+,12/26/2020 14:00,2020-12-26T14:00:00Z,12/26 09:00,8476,36513,2020-12-26T14:00:00Z,7521814,630989,,600330,7704,772,,,,,,,,,,,790383,40567,39,11018,54088,7534051,65106,7534051,20,168,e68fcb8f7e0a36120b65fefcc31686411e19f801,0,0,0,0,0,
20201225,OH,653650,63020,6815295,,posNeg,7468945,4494,36345,1124,5675,683,,489808,A+,12/24/2020 14:00,2020-12-24T14:00:00Z,12/24 09:00,8456,36345,2020-12-24T14:00:00Z,7472240,624935,,590630,7687,769,,,,,,,,,,,776605,39910,39,0,0,7468945,0,7468945,0,0,88ebe493b23ef9b7ed1a477b8ff9d74c26e3f7ff,0,0,0,0,0,
20201224,OH,653650,63020,6815295,,posNeg,7468945,4494,36345,1124,5675,683,,489808,A+,12/24/2020 14:00,2020-12-24T14:00:00Z,12/24 09:00,8456,36345,2020-12-24T14:00:00Z,7409870,617567,,590630,7687,769,,,,,,,,,,,753351,38880,39,8828,47650,7468945,56478,7468945,95,320,7dd33065789be053a8dbd7fffafb566824cc452b,0,0,0,0,0,
