date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201109,OK,138455,,1571321,17869,posNeg,1709776,1045,9621,312,,,,116882,A+,11/8/2020 00:00,2020-11-08T24:00:00Z,11/07 19:00,1444,9621,2020-11-08T24:00:00Z,1720070,145687,1571321,138455,,,,,91240,5285,,,,,,,,,40,2197,0,1727645,2197,1709776,6,51,71f018d8b43e5c20c968f06b11c84c606da967e4,0,0,0,0,0,
20201108,OK,136258,,1571321,17869,posNeg,1707579,1045,9570,312,,,,115030,A+,11/7/2020 00:00,2020-11-07T24:00:00Z,11/06 19:00,1438,9570,2020-11-07T24:00:00Z,1720070,145687,1571321,136258,,,,,91240,5285,,,,,,,,,40,4507,0,1725448,4507,1707579,9,132,e6de63011a6522bed3d6be9d82905bc839fc82c1,0,0,0,0,0,
20201107,OK,131751,,1571321,17869,posNeg,1703072,1045,9438,312,,,,113227,A+,11/6/2020 00:00,2020-11-06T24:00:00Z,11/05 19:00,1429,9438,2020-11-06T24:00:00Z,1720070,145687,1571321,131751,,,,,91240,5285,,,,,,,,,40,0,13471,1720941,13471,1703072,0,0,81e6483474a9f50889784a2d82ea430d9b77c98d,0,0,0,0,0,
20201106,OK,131751,,1557850,6437,posNeg,1689601,1025,9438,326,,,,113227,A+,11/6/2020 00:00,2020-11-06T24:00:00Z,11/05 19:00,1429,9438,2020-11-06T24:00:00Z,1705067,144206,1557850,131751,,,,,91240,5285,,,,,,,,,40,1878,14166,1696038,16044,1689601,16,100,e0897521aa39d745151c51bed0150cd9afb15df6,0,0,0,0,0,
20201105,OK,129873,,1543684,5883,posNeg,1673557,1055,9338,337,,,,111695,A+,11/5/2020 00:00,2020-11-05T24:00:00Z,11/04 19:00,1413,9338,2020-11-05T24:00:00Z,1688812,142196,1543684,129873,,,,,89217,5049,,,,,,,,,40,2101,14339,1679440,16440,1673557,21,119,16fc447b66de1aa82518db54572b71493b903aac,0,0,0,0,0,
20201104,OK,127772,,1529345,4871,posNeg,1657117,1026,9219,349,,,,110453,A+,11/4/2020 00:00,2020-11-04T24:00:00Z,11/03 19:00,1392,9219,2020-11-04T24:00:00Z,1671901,139642,1529345,127772,,,,,89217,5049,,,,,,,,,40,1246,8532,1661988,9778,1657117,17,115,112675d2bf2d531c5744102628a7062085fb48dd,0,0,0,0,0,
20201103,OK,126526,,1520813,2807,posNeg,1647339,974,9104,336,,,,109234,A+,11/3/2020 00:00,2020-11-03T24:00:00Z,11/02 19:00,1375,9104,2020-11-03T24:00:00Z,1663016,138655,1520813,126526,,,,,89217,5049,,,,,,,,,40,1331,26181,1650146,27512,1647339,21,170,1b9bc62d36980da0145d80f71a54339c83235a86,0,0,0,0,0,
20201102,OK,125195,,1494632,5493,posNeg,1619827,852,8934,322,,,,107893,A+,11/2/2020 00:00,2020-11-02T24:00:00Z,11/01 19:00,1354,8934,2020-11-02T24:00:00Z,1632701,135119,1494632,125195,,,,,89217,5049,,,,,,,,,40,1084,0,1625320,1084,1619827,9,23,92e1de902628ea0e24027b6ad95d5eb5bf029544,0,0,0,0,0,
20201101,OK,124111,,1494632,5493,posNeg,1618743,852,8911,322,,,,107082,A+,11/1/2020 00:00,2020-11-01T24:00:00Z,10/31 20:00,1345,8911,2020-11-01T24:00:00Z,1632701,135119,1494632,124111,,,,,89217,5049,,,,,,,,,40,1349,0,1624236,1349,1618743,8,22,06c446015f0d220da3ac37f81e89278d082b5ae4,0,0,0,0,0,
20201031,OK,122762,,1494632,5493,posNeg,1617394,852,8889,322,,,,106292,A+,10/31/2020 00:00,2020-10-31T24:00:00Z,10/30 20:00,1337,8889,2020-10-31T24:00:00Z,1632701,135119,1494632,122762,,,,,89217,5049,,,,,,,,,40,1267,14352,1622887,15619,1617394,11,111,015b7ec8977d0b635a652dd8b4b180f797117413,0,0,0,0,0,
