date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210105,OR,118456,3531,2604321,,totalTestsViral,2722777,520,6635,107,,55,,5870,A+,1/4/2021 03:01,2021-01-04T03:01:00Z,01/03 22:01,1506,6635,2021-01-04T03:01:00Z,2722777,161817,2560960,74629,,,,,,,,,,,,,,,41,0,0,2722777,0,2722777,0,0,0b27ea2795869f7ed4603a47392f2581ba260e1e,0,0,0,0,0,
20210104,OR,118456,3531,2604321,,totalTestsViral,2722777,524,6635,119,,60,,5870,A+,1/4/2021 03:01,2021-01-04T03:01:00Z,01/03 22:01,1506,6635,2021-01-04T03:01:00Z,2722777,161817,2560960,74629,,,,,,,,,,,,,,,41,711,65560,2722777,70107,2722777,6,137,3271bab5c9f1a54ec3712909d51aa54061dc8c22,0,0,0,0,0,
20210103,OR,117745,3531,2538761,,totalTestsViral,2652670,524,6498,119,,60,,5870,A+,1/3/2021 03:01,2021-01-03T03:01:00Z,01/02 22:01,1500,6498,2021-01-03T03:01:00Z,2652670,156276,2496394,74629,,,,,,,,,,,,,,,41,1397,0,2656506,0,2656506,8,0,91145a32999cfaa430bea87adbcdbf55570bf677,0,0,0,0,0,
20210102,OR,116348,3531,2538761,,totalTestsViral,2652670,524,6498,119,,60,,5870,A+,1/2/2021 03:01,2021-01-02T03:01:00Z,01/01 22:01,1492,6498,2021-01-02T03:01:00Z,2652670,156276,2496394,74629,,,,,,,,,,,,,,,41,1009,0,2655109,0,2655109,2,0,7d9515576a7a9eb425812a94a9fd44f2f76ba73f,0,0,0,0,0,
20210101,OR,115339,3531,2538761,,totalTestsViral,2652670,524,6498,119,,60,,5870,A+,1/1/2021 03:01,2021-01-01T03:01:00Z,12/31 22:01,1490,6498,2021-01-01T03:01:00Z,2652670,156276,2496394,74629,,,,,,,,,,,,,,,41,1430,0,2654100,0,2654100,13,0,291645dac37baee13460ff3aa73715dee7f8cb11,0,0,0,0,0,
20201231,OR,113909,3531,2538761,,totalTestsViral,2652670,524,6498,119,,60,,5870,A+,12/31/2020 03:01,2020-12-31T03:01:00Z,12/30 22:01,1477,6498,2020-12-31T03:01:00Z,2652670,156276,2496394,74629,,,,,,,,,,,,,,,41,1649,18546,2652670,20195,2652670,9,43,5dc5bc553791081ab5743af83f99cfe08daa7f86,0,0,0,0,0,
20201230,OR,112260,3531,2520215,,totalTestsViral,2632475,568,6455,117,,61,,5870,A+,12/29/2020 03:01,2020-12-29T03:01:00Z,12/28 22:01,1468,6455,2020-12-29T03:01:00Z,2632475,154487,2477988,74629,,,,,,,,,,,,,,,41,1033,17884,2632475,18917,2632475,19,101,9656d0d2c7177d9bba9633c93fc1021fafa3d9db,0,0,0,0,0,
20201229,OR,111227,3531,2502331,,totalTestsViral,2613558,570,6354,127,,60,,5870,A+,12/28/2020 03:01,2020-12-28T03:01:00Z,12/27 22:01,1449,6354,2020-12-28T03:01:00Z,2613558,153327,2460231,74629,,,,,,,,,,,,,,,41,682,14485,2613558,15167,2613558,16,77,b7ad7706f8a59e651ee695be0d74a85b3e9e725b,0,0,0,0,0,
20201228,OR,110545,3531,2487846,,totalTestsViral,2598391,563,6277,122,,62,,5870,A+,12/28/2020 03:01,2020-12-28T03:01:00Z,12/27 22:01,1433,6277,2020-12-28T03:01:00Z,2598391,152511,2445880,74629,,,,,,,,,,,,,,,41,820,57185,2598391,60909,2598391,6,109,7f198ed302a983bff8d086d9343c9985e227749c,0,0,0,0,0,
20201227,OR,109725,3531,2430661,,totalTestsViral,2537482,530,6168,109,,59,,5870,A+,12/27/2020 03:01,2020-12-27T03:01:00Z,12/26 22:01,1427,6168,2020-12-27T03:01:00Z,2537482,148469,2389013,74629,,,,,,,,,,,,,,,41,1399,0,2540386,0,2540386,5,0,440409bcbb7b6af8d5e7cd60a23e98d6712bf036,0,0,0,0,0,
