date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210303,PA,938411,131723,3906535,,totalTestEncountersViral,10514461,1648,,357,,186,,844569,3/3/2021 12:00,2021-03-03T12:00:00Z,03/03 07:00,24169,,,2021-03-03T12:00:00Z,,,,806688,,,10514461,4713223,,,,,,,,,,,42,2577,8368,4844946,38138,4844946,,69,0,6a869794af6211912f44fb5d81b81a9dd931dbe0,0,0,0,0,0,
20210302,PA,935834,130982,3898167,,totalTestEncountersViral,10476323,1670,,354,,190,,851608,3/2/2021 12:00,2021-03-02T12:00:00Z,03/02 07:00,24100,,,2021-03-02T12:00:00Z,,,,804852,,,10476323,4703019,,,,,,,,,,,42,2564,8325,4834001,33165,4834001,,74,0,d663d59074f982d72452216905c99f8a9cfa9e72,0,0,0,0,0,
20210301,PA,933270,130261,3889842,,totalTestEncountersViral,10443158,1715,,366,,203,,849275,3/1/2021 12:00,2021-03-01T12:00:00Z,03/01 07:00,24026,,,2021-03-01T12:00:00Z,,,,803009,,,10443158,4692851,,,,,,,,,,,42,1628,5256,4823112,64369,4823112,,5,0,b9d23068f63be9e577437a380c5b242fc0c08b11,0,0,0,0,0,
20210228,PA,931642,129897,3884586,,totalTestEncountersViral,10378789,1720,,374,,211,,836727,2/28/2021 12:00,2021-02-28T12:00:00Z,02/28 07:00,24021,,,2021-02-28T12:00:00Z,,,,801745,,,10378789,4686331,,,,,,,,,,,42,1945,8370,4816228,0,4816228,,84,0,cf8abb13d15c17c655fb6113bdc098fe30f39e48,0,0,0,0,0,
20210227,PA,929697,129657,3876216,,totalTestEncountersViral,10378789,1785,,386,,209,,836727,2/27/2021 12:00,2021-02-27T12:00:00Z,02/27 07:00,23937,,,2021-02-27T12:00:00Z,,,,800040,,,10378789,4676256,,,,,,,,,,,42,3361,12281,4805913,65055,4805913,,0,0,7bedbe327824b5fbe08b72edd659b18e18d6381a,0,0,0,0,0,
20210226,PA,926336,129026,3863935,,totalTestEncountersViral,10313734,1897,,403,,218,,833702,2/26/2021 12:00,2021-02-26T12:00:00Z,02/26 07:00,23937,,,2021-02-26T12:00:00Z,,,,797310,,,10313734,4661245,,,,,,,,,,,42,3346,11489,4790271,68766,4790271,,69,0,be6ef9aae2fec6d14a0e839ebe2d0114079b521f,0,0,0,0,0,
20210225,PA,922990,128402,3852446,,totalTestEncountersViral,10244968,1962,,421,,229,,830691,2/24/2021 12:00,2021-02-24T12:00:00Z,02/24 07:00,23868,,,2021-02-24T12:00:00Z,,,,794588,,,10244968,4647034,,,,,,,,,,,42,2356,8653,4775436,54200,4775436,,81,0,86f58d2b33b34b94041ee28dabacadca42ae40e4,0,0,0,0,0,
20210224,PA,920634,127932,3843793,,totalTestEncountersViral,10190768,1972,,433,,239,,828570,2/24/2021 12:00,2021-02-24T12:00:00Z,02/24 07:00,23787,,,2021-02-24T12:00:00Z,,,,792702,,,10190768,4636495,,,,,,,,,,,42,2786,9323,4764427,39966,4764427,,76,0,7b232e5649ee322b9c98a556b5662bfc6da86384,0,0,0,0,0,
20210223,PA,917848,127120,3834470,,totalTestEncountersViral,10150802,1963,,418,,240,,816884,2/23/2021 12:00,2021-02-23T12:00:00Z,02/23 07:00,23711,,,2021-02-23T12:00:00Z,,,,790728,,,10150802,4625198,,,,,,,,,,,42,2830,7311,4752318,28822,4752318,,97,0,c07ab5608588da4c92ea2d227b3478b179989794,0,0,0,0,0,
20210222,PA,915018,126304,3827159,,totalTestEncountersViral,10121980,1963,,418,,240,,814366,2/22/2021 12:00,2021-02-22T12:00:00Z,02/22 07:00,23614,,,2021-02-22T12:00:00Z,,,,788714,,,10121980,4615873,,,,,,,,,,,42,1521,4513,4742177,51198,4742177,,17,0,3028478f8d8206caf418b0d8375a03ad67764407,0,0,0,0,0,
20210221,PA,913497,125883,3822646,,totalTestEncountersViral,10070782,1959,,421,,253,,811315,2/21/2021 12:00,2021-02-21T12:00:00Z,02/21 07:00,23597,,,2021-02-21T12:00:00Z,,,,787614,,,10070782,4610260,,,,,,,,,,,42,1906,6868,4736143,0,4736143,,27,0,16e9e12788da57adb4520cec7e407ad1f92ed4ad,0,0,0,0,0,
