date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201106,PR,70519,,305972,,posNeg,376491,518,,68,,42,,31915,B,11/6/2020 00:00,2020-11-06T24:00:00Z,11/05 19:00,862,,2020-11-06T24:00:00Z,310546,7002,303412,36904,659,203,,,,33615,,,,,,,,,72,1103,0,376491,1103,376491,7,0,4b631e6135aba1ff9ea675cf0d6bb8c6396bd5e7,0,0,0,0,0,
20201105,PR,69416,,305972,,posNeg,375388,483,,60,,40,,31182,B,11/5/2020 00:00,2020-11-05T24:00:00Z,11/04 19:00,855,,2020-11-05T24:00:00Z,310546,7002,303412,36101,653,202,,,,33315,,,,,,,,,72,396,0,375388,396,375388,5,0,34c38d0b7e3200f2552d27f413616dd80ed6111c,0,0,0,0,0,
20201104,PR,69020,,305972,,posNeg,374992,459,,60,,46,,30568,B,11/4/2020 00:00,2020-11-04T24:00:00Z,11/03 19:00,850,,2020-11-04T24:00:00Z,310546,7002,303412,35807,648,202,,,,33213,,,,,,,,,72,77,0,374992,77,374992,8,0,96a850edf3ba288576c4dc7cc0ddbb37f06262f7,0,0,0,0,0,
20201103,PR,68943,,305972,,posNeg,374915,421,,63,,48,,29763,B,11/3/2020 00:00,2020-11-03T24:00:00Z,11/02 19:00,842,,2020-11-03T24:00:00Z,310546,7002,303412,35750,642,200,,,,33193,,,,,,,,,72,771,0,374915,771,374915,3,0,127faf32cf30976819258f2f521d052f86db5750,0,0,0,0,0,
20201102,PR,68172,,305972,,posNeg,374144,443,,68,,51,,29352,B,11/2/2020 00:00,2020-11-02T24:00:00Z,11/01 19:00,839,,2020-11-02T24:00:00Z,310546,7002,303412,35405,639,200,,,,32767,,,,,,,,,72,1511,0,374144,1511,374144,7,0,ac332bd96a1d14d8d6d460bd59e4c3bf0471274e,0,0,0,0,0,
20201101,PR,66661,,305972,,posNeg,372633,429,,62,,43,,29903,B,11/1/2020 00:00,2020-11-01T24:00:00Z,10/31 20:00,832,,2020-11-01T24:00:00Z,310546,7002,303412,34541,632,200,,,,32120,,,,,,,,,72,533,0,372633,533,372633,10,0,15d15cf095722cbdf417b712591b3b35ebc0f74d,0,0,0,0,0,
20201031,PR,66128,,305972,,posNeg,372100,430,,61,,39,,29464,B,10/31/2020 00:00,2020-10-31T24:00:00Z,10/30 20:00,822,,2020-10-31T24:00:00Z,310546,7002,303412,34138,626,196,,,,31990,,,,,,,,,72,385,0,372100,385,372100,2,0,d316f683c2ed43e8164645a7399960118d4e291d,0,0,0,0,0,
20201030,PR,65743,,305972,,posNeg,371715,452,,60,,38,,28912,B,10/30/2020 00:00,2020-10-30T24:00:00Z,10/29 20:00,820,,2020-10-30T24:00:00Z,310546,7002,303412,33853,626,194,,,,31890,,,,,,,,,72,945,0,371715,945,371715,6,0,9e53e69afce0153cf38761a5103d4f084c08d333,0,0,0,0,0,
20201029,PR,64798,,305972,,posNeg,370770,425,,63,,39,,28439,B,10/29/2020 00:00,2020-10-29T24:00:00Z,10/28 20:00,814,,2020-10-29T24:00:00Z,310546,7002,303412,33279,621,193,,,,31519,,,,,,,,,72,1211,0,370770,1211,370770,1,0,3a848200fb82337c33f1e63c4ba18d385f682e2d,0,0,0,0,0,
20201028,PR,63587,,305972,,posNeg,369559,434,,61,,37,,28021,B,10/28/2020 00:00,2020-10-28T24:00:00Z,10/27 20:00,813,,2020-10-28T24:00:00Z,310546,7002,303412,32527,620,193,,,,31060,,,,,,,,,72,90,0,369559,90,369559,5,0,64859713a86266b1a859e15d231215f36df81c28,0,0,0,0,0,
20201027,PR,63497,,305972,,posNeg,369469,395,,59,,38,,27607,B,10/27/2020 00:00,2020-10-27T24:00:00Z,10/26 20:00,808,,2020-10-27T24:00:00Z,310546,7002,303412,32461,616,192,,,,31036,,,,,,,,,72,362,0,369469,362,369469,4,0,3be0b9e9feb79a4e03ae53f6d73c493cf2a3d98a,0,0,0,0,0,
20201026,PR,63135,,305972,,posNeg,369107,356,,58,,45,,27603,B,10/26/2020 00:00,2020-10-26T24:00:00Z,10/25 20:00,804,,2020-10-26T24:00:00Z,310546,7002,303412,32198,612,192,,,,30937,,,,,,,,,72,632,0,369107,632,369107,3,0,3c75d5eb24f9689f2861356cb3c4f0427d9d6b1c,0,0,0,0,0,
20201025,PR,62503,,305972,,posNeg,368475,370,,60,,46,,27348,B,10/25/2020 00:00,2020-10-25T24:00:00Z,10/24 20:00,801,,2020-10-25T24:00:00Z,310546,7002,303412,31737,610,191,,,,30766,,,,,,,,,72,1223,0,368475,1223,368475,7,0,398e06aac00a9da0df9e615048f77032c567470a,0,0,0,0,0,
20201024,PR,61280,,305972,,posNeg,367252,395,,60,,43,,26866,B,10/24/2020 00:00,2020-10-24T24:00:00Z,10/23 20:00,794,,2020-10-24T24:00:00Z,310546,7002,303412,31072,604,190,,,,30208,,,,,,,,,72,296,0,367252,296,367252,3,0,f15943b9f2331a3c007256860877051727cb6f80,0,0,0,0,0,
20201023,PR,60984,,305972,,posNeg,366956,381,,51,,39,,26430,B,10/23/2020 00:00,2020-10-23T24:00:00Z,10/22 20:00,791,,2020-10-23T24:00:00Z,310546,7002,303412,30956,602,189,,,,30028,,,,,,,,,72,1947,0,366956,1947,366956,8,0,3faaea33bcab4623a484787f06aa7441a7d52b40,0,0,0,0,0,
20201022,PR,59037,,305972,,posNeg,365009,395,,53,,44,,26253,B,10/22/2020 00:00,2020-10-22T24:00:00Z,10/21 20:00,783,,2020-10-22T24:00:00Z,310546,7002,303412,29804,596,187,,,,29233,,,,,,,,,72,207,0,365009,207,365009,9,0,d7d25198d771d7c6adaf744002649807f2de857d,0,0,0,0,0,
20201021,PR,58830,,305972,,posNeg,364802,378,,62,,45,,26018,B,10/21/2020 00:00,2020-10-21T24:00:00Z,10/20 20:00,774,,2020-10-21T24:00:00Z,310546,7002,303412,29717,590,184,,,,29113,,,,,,,,,72,187,0,364802,187,364802,5,0,34d4bc95689ed88cbb5aa4855d66f6f0956b9cc6,0,0,0,0,0,
20201020,PR,58643,,305972,,posNeg,364615,378,,61,,38,,25947,B,10/20/2020 00:00,2020-10-20T24:00:00Z,10/19 20:00,769,,2020-10-20T24:00:00Z,310546,7002,303412,29585,586,183,,,,29058,,,,,,,,,72,693,0,364615,693,364615,1,0,0a3ebc8ce4da30a5854983e111c44301d657cd2e,0,0,0,0,0,
20201019,PR,57950,,305972,,posNeg,363922,327,,64,,41,,25939,B,10/19/2020 00:00,2020-10-19T24:00:00Z,10/18 20:00,768,,2020-10-19T24:00:00Z,310546,7002,303412,29138,585,183,,,,28812,,,,,,,,,72,657,0,363922,657,363922,2,0,1ed790b229f4eea619c67e8ff2afcbfbb1420fed,0,0,0,0,0,
20201018,PR,57293,,305972,,posNeg,363265,292,,59,,39,,25870,B,10/18/2020 00:00,2020-10-18T24:00:00Z,10/17 20:00,766,,2020-10-18T24:00:00Z,310546,7002,303412,28711,583,183,,,,28582,,,,,,,,,72,643,0,363265,643,363265,5,0,e1201a6cdbd7dbc077355c58fb77b877670f6d6c,0,0,0,0,0,
20201017,PR,56650,,305972,,posNeg,362622,317,,56,,39,,25645,B,10/17/2020 00:00,2020-10-17T24:00:00Z,10/16 20:00,761,,2020-10-17T24:00:00Z,310546,7002,303412,28293,578,183,,,,28357,,,,,,,,,72,238,0,362622,238,362622,3,0,1786f1ea183a6ec093ba7ff412b539734d719c51,0,0,0,0,0,
20201016,PR,56412,,305972,,posNeg,362384,341,,64,,35,,25298,B,10/16/2020 00:00,2020-10-16T24:00:00Z,10/15 20:00,758,,2020-10-16T24:00:00Z,310546,7002,303412,28174,575,183,,,,28238,,,,,,,,,72,327,0,362384,327,362384,15,0,a9e9f68be78e9cf9b6b0a2879962ebde3e50b25a,0,0,0,0,0,
20201015,PR,56085,,305972,,posNeg,362057,354,,62,,37,,25071,B,10/15/2020 00:00,2020-10-15T24:00:00Z,10/14 20:00,743,,2020-10-15T24:00:00Z,310546,7002,303412,27947,562,181,,,,28138,,,,,,,,,72,569,0,362057,569,362057,1,0,8f8022cb7cb95b4f1ee594847e9c19cae7128ae9,0,0,0,0,0,
20201014,PR,55516,,305972,,posNeg,361488,343,,53,,37,,24788,B,10/12/2020 00:00,2020-10-12T24:00:00Z,10/11 20:00,742,,2020-10-12T24:00:00Z,310546,7002,303412,27629,561,181,,,,27887,,,,,,,,,72,976,0,361488,976,361488,4,0,d25f43611d1b0b1f9014372b9f79d6f5f5ee37ae,0,0,0,0,0,
20201013,PR,54540,,305972,,posNeg,360512,303,,54,,34,,24552,B,10/13/2020 00:00,2020-10-13T24:00:00Z,10/12 20:00,738,,2020-10-13T24:00:00Z,310546,7002,303412,27139,557,181,,,,27401,,,,,,,,,72,306,0,360512,306,360512,3,0,de1f9508a5ce76e59fb66c36fae3ee75ae667750,0,0,0,0,0,
20201012,PR,54234,,305972,,posNeg,360206,314,,54,,36,,24488,B,10/12/2020 00:00,2020-10-12T24:00:00Z,10/11 20:00,735,,2020-10-12T24:00:00Z,310546,7002,303412,27004,554,181,,,,27230,,,,,,,,,72,563,0,360206,563,360206,5,0,12a2d12f56fe5b1e7aa20a272637888113ff7f57,0,0,0,0,0,
20201011,PR,53671,,305972,,posNeg,359643,324,,51,,34,,24533,B,10/11/2020 00:00,2020-10-11T24:00:00Z,10/10 20:00,730,,2020-10-11T24:00:00Z,310546,7002,303412,26776,551,179,,,,26895,,,,,,,,,72,307,0,359643,307,359643,2,0,3bf3ae36cdb3279adc3749e097566d0d91263a89,0,0,0,0,0,
20201010,PR,53364,,305972,,posNeg,359336,347,,55,,31,,24129,B,10/10/2020 00:00,2020-10-10T24:00:00Z,10/09 20:00,728,,2020-10-10T24:00:00Z,310546,7002,303412,26558,548,180,,,,26806,,,,,,,,,72,472,0,359336,472,359336,8,0,f3074d9a164e21fae5386fc5c96d5009475c6d04,0,0,0,0,0,
20201009,PR,52892,,305972,,posNeg,358864,354,,55,,29,,23603,B,10/9/2020 00:00,2020-10-09T24:00:00Z,10/08 20:00,720,,2020-10-09T24:00:00Z,310546,7002,303412,26326,541,179,,,,26566,,,,,,,,,72,598,0,358864,598,358864,5,0,168d2c7b8d6d93e12e7f085ddac29451452f9cf9,0,0,0,0,0,
