date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200817,RI,20572,213250,,80,2380,11,,3,,1982,A+,8/17/2020 12:00,2020-08-17T12:00:00Z,08/17 08:00,1023,2380,2020-08-17T12:00:00Z,,29317,401688,20572,,,431005,233822,,,,,,,,,,,44,0,0,233822,431005,0,233822,0,0,464f2ca3d2741a66471b231aca4fabec475de6a6,0,0,0,0,0,
20200816,RI,20572,213250,,80,2380,11,,3,,1982,A+,8/14/2020 12:00,2020-08-14T12:00:00Z,08/14 08:00,1023,2380,2020-08-14T12:00:00Z,,29317,401688,20572,,,431005,233822,,,,,,,,,,,44,58,686,233822,431005,2028,233822,1,0,996c5e9251626460fe5647063c2ffe0b21907ac2,0,0,0,0,0,
20200815,RI,20514,212564,,80,2380,11,,3,,1982,A+,8/14/2020 12:00,2020-08-14T12:00:00Z,08/14 08:00,1022,2380,2020-08-14T12:00:00Z,,29246,399731,20514,,,428977,233078,,,,,,,,,,,44,179,3034,233078,428977,3662,233078,1,30,23e6f7b30aadf41ea0d7a00c3ef626aa70b3d7bb,0,0,0,0,0,
20200814,RI,20335,209530,,79,2350,8,,3,,1953,A+,8/14/2020 12:00,2020-08-14T12:00:00Z,08/14 08:00,1021,2350,2020-08-14T12:00:00Z,,29007,390466,20335,,,425315,229865,,,,,,,,,,,44,95,1296,229865,425315,4582,229865,2,9,6cc30d39a3c637bffd0600e6e375da19067c60e9,0,0,0,0,0,
20200813,RI,20240,208234,,80,2341,10,,4,,1943,A+,8/13/2020 12:00,2020-08-13T12:00:00Z,08/13 08:00,1019,2341,2020-08-13T12:00:00Z,,28909,387294,20240,,,420733,228474,,,,,,,,,,,44,111,2230,228474,420733,4530,228474,1,5,8e566225d62a77c8d898a2b03c7aee0f0870afb1,0,0,0,0,0,
20200812,RI,20129,206004,,89,2336,9,,3,,1929,A+,8/12/2020 12:00,2020-08-12T12:00:00Z,08/12 08:00,1018,2336,2020-08-12T12:00:00Z,,28776,382951,20129,,,416203,226133,,,,,,,,,,,44,76,1887,226133,416203,4154,226133,2,19,f3f585e126688c20a43f69f05c6c1636c38fd53e,0,0,0,0,0,
20200811,RI,20053,204117,,88,2317,9,,2,,1911,A+,8/11/2020 12:00,2020-08-11T12:00:00Z,08/11 08:00,1016,2317,2020-08-11T12:00:00Z,409435,28836,380599,20053,,,412049,224170,,,,,,,,,,,44,119,1704,224170,412049,3975,224170,1,6,fc8d27dbc5cbaeec601b90823434bb729bafba2a,0,0,0,0,0,
20200810,RI,19934,202413,,93,2311,8,,2,,1900,A+,8/10/2020 12:00,2020-08-10T12:00:00Z,08/10 08:00,1015,2311,2020-08-10T12:00:00Z,405152,28707,376445,19934,,,408074,222347,,,,,,,,,,,44,0,0,222347,408074,4142,222347,0,0,c77b38ca1f5a2b09aa2367bcfcc57fd2f1ed3b68,0,0,0,0,0,
20200809,RI,19934,202413,,93,2311,8,,2,,1900,A+,8/7/2020 12:00,2020-08-07T12:00:00Z,08/07 08:00,1015,2311,2020-08-07T12:00:00Z,405152,28707,376445,19934,,,403932,222347,,,,,,,,,,,44,28,829,222347,403932,1557,222347,0,0,e23f65e862f39aee8158fd15044afd2d57075785,0,0,0,0,0,
20200808,RI,19906,201584,,93,2311,8,,2,,1900,A+,8/7/2020 12:00,2020-08-07T12:00:00Z,08/07 08:00,1015,2311,2020-08-07T12:00:00Z,403746,28674,375072,19906,,,402375,221490,,,,,,,,,,,44,168,3349,221490,402375,3399,221490,1,35,47b80c28f99778c6ffb32ca6d2eff60d5232b9c9,0,0,0,0,0,
