date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210305,SC,523258,74983,4603549,,posNeg,5126807,664,20605,163,,88,,230793,3/3/2021 23:59,2021-03-03T23:59:00Z,03/03 18:59,8699,20605,,2021-03-03T23:59:00Z,5051824,578013,4473811,448275,7697,1002,,,134284,27965,106319,,,,,,893871,110026,45,1695,25299,5126807,26994,5126807,,39,63,c8891998bf1336850b43129f560748790a5ab692,0,0,0,0,0,
20210304,SC,521563,74478,4578250,,posNeg,5099813,734,20542,180,,91,,230793,3/2/2021 23:59,2021-03-02T23:59:00Z,03/02 18:59,8660,20542,,2021-03-02T23:59:00Z,5025335,576515,4448820,447085,7660,1000,,,133816,27765,106051,,,,,,885397,109525,45,1567,20102,5099813,21669,5099813,,40,41,3cc19923f2b065771162cb11498e2e0fb26b8c0d,0,0,0,0,0,
20210303,SC,519996,73827,4558148,,posNeg,5078144,706,20501,190,,86,,230793,3/1/2021 23:59,2021-03-01T23:59:00Z,03/01 18:59,8620,20501,,2021-03-01T23:59:00Z,5004317,575355,4428962,446169,7626,994,,,133490,27609,105881,,,,,,877322,108884,45,1173,8550,5078144,9723,5078144,,44,73,a16f02df0aa7ca0da3eed605fc50635c2da7d2e5,0,0,0,0,0,
20210302,SC,518823,73300,4549598,,posNeg,5068421,706,20428,190,,86,,230793,2/28/2021 23:59,2021-02-28T23:59:00Z,02/28 18:59,8576,20428,,2021-02-28T23:59:00Z,4995121,574463,4420658,445523,7606,970,,,133313,27524,105789,,,,,,869734,108441,45,847,14264,5068421,15111,5068421,,14,22,8ceda408b7ed943e1e95316525d524e66844045f,0,0,0,0,0,
20210301,SC,517976,72985,4535334,,posNeg,5053310,725,20406,194,,88,,230793,2/27/2021 23:59,2021-02-27T23:59:00Z,02/27 18:59,8562,20406,,2021-02-27T23:59:00Z,4980325,573792,4406533,444991,7592,970,,,133070,27409,105661,,,,,,867036,108193,45,1153,24419,5053310,25572,5053310,,32,19,419ea6639ed6fc92f73546c82ff08eec0c5514d6,0,0,0,0,0,
20210228,SC,516823,72616,4510915,,posNeg,5027738,769,20387,203,,97,,230793,2/26/2021 23:59,2021-02-26T23:59:00Z,02/26 18:59,8530,20387,,2021-02-26T23:59:00Z,4955122,572759,4382363,444207,7578,952,,,132672,27243,105429,,,,,,862952,107862,45,1751,25527,5027738,27278,5027738,,32,47,628eccb34134cdd95a42d371cb9a060a4a2de4c8,0,0,0,0,0,
20210227,SC,515072,72115,4485388,,posNeg,5000460,865,20340,221,,109,,230793,2/25/2021 23:59,2021-02-25T23:59:00Z,02/25 18:59,8498,20340,,2021-02-25T23:59:00Z,4928345,570902,4357443,442957,7546,952,,,132098,27010,105088,,,,,,855067,107150,45,1777,32242,5000460,34019,5000460,,21,65,214dba0bbb504b7f56ce06abde19fc35c882d1da,0,0,0,0,0,
20210226,SC,513295,71598,4453146,,posNeg,4966441,916,20275,212,,113,,230793,2/24/2021 23:59,2021-02-24T23:59:00Z,02/24 18:59,8477,20275,,2021-02-24T23:59:00Z,4894843,569235,4325608,441697,7528,949,,,131586,26805,104781,,,,,,846034,106561,45,1749,31700,4966441,33449,4966441,,34,80,6cbfb4d9b1ef614731adec1bff41905aacf91da0,0,0,0,0,0,
20210225,SC,511546,71029,4421446,,posNeg,4932992,939,20195,223,,128,,230793,2/23/2021 23:59,2021-02-23T23:59:00Z,02/23 18:59,8443,20195,,2021-02-23T23:59:00Z,4861963,567573,4294390,440517,7502,941,,,131183,26631,104552,,,,,,836918,106000,45,2502,25187,4932992,27689,4932992,,45,78,98b805c4a4216b09fbfd7636908e2ffc2e021b74,0,0,0,0,0,
20210224,SC,509044,70183,4396259,,posNeg,4905303,968,20117,231,,129,,230793,2/22/2021 23:59,2021-02-22T23:59:00Z,02/22 18:59,8398,20117,,2021-02-22T23:59:00Z,4835120,565314,4269806,438861,7460,938,,,130819,26483,104336,,,,,,827985,105305,45,2132,53546,4905303,55678,4905303,,41,93,67b5fbbd4fbb681bf80ab9d141e63d9c2f5ea8b2,0,0,0,0,0,
