date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210304,SD,113065,12781,312421,,totalTestsPeopleViral,425486,87,6664,17,,10,,109113,3/3/2021 14:00,2021-03-03T14:00:00Z,03/03 09:00,1896,6664,,2021-03-03T14:00:00Z,696656,105443,,100284,,,,425486,,,,,,,,,,,46,232,909,425486,1141,425486,,3,10,95da0a796db666e51f91215d8da1ad861a28cdd1,0,0,0,0,0,
20210303,SD,112833,12687,311512,,totalTestsPeopleViral,424345,97,6654,16,,8,,108947,3/2/2021 14:00,2021-03-02T14:00:00Z,03/02 09:00,1893,6654,,2021-03-02T14:00:00Z,694883,105291,,100146,,,,424345,,,,,,,,,,,46,181,701,424345,882,424345,,5,14,23ae4e6c25f85ca1e69ef4ded4c2002c1e7f8604,0,0,0,0,0,
20210302,SD,112652,12638,310811,,totalTestsPeopleViral,423463,92,6640,13,,10,,108789,3/1/2021 14:00,2021-03-01T14:00:00Z,03/01 09:00,1888,6640,,2021-03-01T14:00:00Z,692858,105106,,100014,,,,423463,,,,,,,,,,,46,182,464,423463,646,423463,,0,8,a98192efed5a9cb323872a1c0aaf7bc9fb071164,0,0,0,0,0,
20210301,SD,112470,12597,310347,,totalTestsPeopleViral,422817,92,6632,15,,7,,108664,2/28/2021 14:00,2021-02-28T14:00:00Z,02/28 09:00,1888,6632,,2021-02-28T14:00:00Z,692321,105054,,99873,,,,422817,,,,,,,,,,,46,43,225,422817,268,422817,,0,6,a6994f43e14faf2f1a624cc8520d7030dbf3982a,0,0,0,0,0,
20210228,SD,112427,12591,310122,,totalTestsPeopleViral,422549,89,6626,15,,9,,108606,2/27/2021 14:00,2021-02-27T14:00:00Z,02/27 09:00,1888,6626,,2021-02-27T14:00:00Z,691692,104997,,99836,,,,422549,,,,,,,,,,,46,134,388,422549,522,422549,,2,16,ee008147baa32f5ca7dfd1cc5419d02cc6079fd4,0,0,0,0,0,
20210227,SD,112293,12549,309734,,totalTestsPeopleViral,422027,91,6610,22,,10,,108497,2/26/2021 14:00,2021-02-26T14:00:00Z,02/26 09:00,1886,6610,,2021-02-26T14:00:00Z,690339,104876,,99744,,,,422027,,,,,,,,,,,46,186,553,422027,739,422027,,7,19,5d65f63bdec45f1ec90e153b336a02f903782b81,0,0,0,0,0,
20210226,SD,112107,12504,309181,,totalTestsPeopleViral,421288,96,6591,21,,8,,108284,2/25/2021 14:00,2021-02-25T14:00:00Z,02/25 09:00,1879,6591,,2021-02-25T14:00:00Z,688675,104757,,99603,,,,421288,,,,,,,,,,,46,143,580,421288,723,421288,,7,2,fa9f0f50e27f0223bf23487ecfd0b5e48c8b1383,0,0,0,0,0,
20210225,SD,111964,12465,308601,,totalTestsPeopleViral,420565,100,6589,20,,12,,108144,2/24/2021 14:00,2021-02-24T14:00:00Z,02/24 09:00,1872,6589,,2021-02-24T14:00:00Z,686758,104622,,99499,,,,420565,,,,,,,,,,,46,156,582,420565,738,420565,,8,19,42ba9800e981a65875054425a9c587057896f0c5,0,0,0,0,0,
20210224,SD,111808,12450,308019,,totalTestsPeopleViral,419827,102,6570,17,,9,,108053,2/23/2021 14:00,2021-02-23T14:00:00Z,02/23 09:00,1864,6570,,2021-02-23T14:00:00Z,685063,104479,,99358,,,,419827,,,,,,,,,,,46,262,778,419827,1040,419827,,1,22,ef1316169f1b243c09b642d7c6385f57f03fb3d4,0,0,0,0,0,
20210223,SD,111546,12371,307241,,totalTestsPeopleViral,418787,91,6548,17,,10,,107745,2/22/2021 14:00,2021-02-22T14:00:00Z,02/22 09:00,1863,6548,,2021-02-22T14:00:00Z,682960,104245,,99175,,,,418787,,,,,,,,,,,46,212,671,418787,883,418787,,0,11,0bc905cf0f93eb02646f3e5f7c1028f1a5b05d07,0,0,0,0,0,
20210222,SD,111334,12328,306570,,totalTestsPeopleViral,417904,91,6537,10,,7,,107538,2/21/2021 14:00,2021-02-21T14:00:00Z,02/21 09:00,1863,6537,,2021-02-21T14:00:00Z,682648,104210,,99006,,,,417904,,,,,,,,,,,46,30,99,417904,129,417904,,0,13,fcdbbed4241c6f7492907ffa18655987a3638eef,0,0,0,0,0,
20210221,SD,111304,12318,306471,,totalTestsPeopleViral,417775,90,6524,17,,9,,107475,2/20/2021 14:00,2021-02-20T14:00:00Z,02/20 09:00,1863,6524,,2021-02-20T14:00:00Z,682181,104179,,98986,,,,417775,,,,,,,,,,,46,139,301,417775,440,417775,,4,15,a3da2bf3695c08f837746f835ae1e9c6a9045e3d,0,0,0,0,0,
20210220,SD,111165,12285,306170,,totalTestsPeopleViral,417335,95,6509,17,,9,,107309,2/19/2021 14:00,2021-02-19T14:00:00Z,02/19 09:00,1859,6509,,2021-02-19T14:00:00Z,680703,104059,,98880,,,,417335,,,,,,,,,,,46,147,646,417335,793,417335,,6,17,b8785b7fd5f5f9c588faffaa042e4042351d26a7,0,0,0,0,0,
20210219,SD,111018,12243,305524,,totalTestsPeopleViral,416542,91,6492,12,,9,,107137,2/18/2021 14:00,2021-02-18T14:00:00Z,02/18 09:00,1853,6492,,2021-02-18T14:00:00Z,678808,103964,,98775,,,,416542,,,,,,,,,,,46,147,573,416542,720,416542,,6,17,4223725ac8268d230a08c056a500103c90ad0aa4,0,0,0,0,0,
20210218,SD,110871,12223,304951,,totalTestsPeopleViral,415822,92,6475,10,,10,,106956,2/17/2021 14:00,2021-02-17T14:00:00Z,02/17 09:00,1847,6475,,2021-02-17T14:00:00Z,677153,103835,,98648,,,,415822,,,,,,,,,,,46,186,747,415822,933,415822,,3,9,df375b02ba9b4957c004bb96dd81103e3be77a69,0,0,0,0,0,
20210217,SD,110685,12186,304204,,totalTestsPeopleViral,414889,94,6466,11,,4,,106769,2/16/2021 14:00,2021-02-16T14:00:00Z,02/16 09:00,1844,6466,,2021-02-16T14:00:00Z,675610,103695,,98499,,,,414889,,,,,,,,,,,46,92,286,414889,378,414889,,0,5,d096302aaa4fd9c339a00c1feb7b4cc500d9dab3,0,0,0,0,0,
20210216,SD,110593,12186,303918,,totalTestsPeopleViral,414511,97,6461,10,,16,,106545,2/15/2021 14:00,2021-02-15T14:00:00Z,02/15 09:00,1844,6461,,2021-02-15T14:00:00Z,674483,103588,,98407,,,,414511,,,,,,,,,,,46,217,510,414511,727,414511,,0,15,036900696ec6e931f50f559e3cad8d98d9f997a2,0,0,0,0,0,
20210215,SD,110376,12123,303408,,totalTestsPeopleViral,413784,86,6446,12,,16,,106440,2/14/2021 14:00,2021-02-14T14:00:00Z,02/14 09:00,1844,6446,,2021-02-14T14:00:00Z,673876,103532,,98253,,,,413784,,,,,,,,,,,46,61,275,413784,336,413784,,0,8,0e3dcf9b1ee9515042909422bd3e5b7450bac630,0,0,0,0,0,
20210214,SD,110315,12107,303133,,totalTestsPeopleViral,413448,87,6438,12,,16,,106398,2/13/2021 14:00,2021-02-13T14:00:00Z,02/13 09:00,1844,6438,,2021-02-13T14:00:00Z,672958,103461,,98208,,,,413448,,,,,,,,,,,46,110,490,413448,600,413448,,6,7,4d1a6f5f1cd8ae440853b98e4f244d123c5ef3cf,0,0,0,0,0,
20210213,SD,110205,12099,302643,,totalTestsPeopleViral,412848,82,6431,12,,13,,106248,2/12/2021 14:00,2021-02-12T14:00:00Z,02/12 09:00,1838,6431,,2021-02-12T14:00:00Z,671475,103366,,98106,,,,412848,,,,,,,,,,,46,137,535,412848,672,412848,,7,6,1ee594b46f30958ba5de12b4764a6fb41b2112fc,0,0,0,0,0,
20210212,SD,110068,12058,302108,,totalTestsPeopleViral,412176,84,6425,13,,11,,106057,2/11/2021 14:00,2021-02-11T14:00:00Z,02/11 09:00,1831,6425,,2021-02-11T14:00:00Z,669812,103250,,98010,,,,412176,,,,,,,,,,,46,209,662,412176,871,412176,,2,14,fbef56caba33701cf84c9def999c2ccea5874540,0,0,0,0,0,
20210211,SD,109859,12007,301446,,totalTestsPeopleViral,411305,104,6411,17,,6,,105821,2/10/2021 14:00,2021-02-10T14:00:00Z,02/10 09:00,1829,6411,,2021-02-10T14:00:00Z,667167,103075,,97852,,,,411305,,,,,,,,,,,46,279,1385,411305,1664,411305,,14,14,9067ebe892bd058a73cab0bd96c2919b888a6d86,0,0,0,0,0,
20210210,SD,109580,11908,300061,,totalTestsPeopleViral,409641,109,6397,20,,12,,105614,2/9/2021 14:00,2021-02-09T14:00:00Z,02/09 09:00,1815,6397,,2021-02-09T14:00:00Z,664127,102950,,97672,,,,409641,,,,,,,,,,,46,175,1089,409641,1264,409641,,6,10,64c95ba288742186cc7908ce7c6ee893c094da64,0,0,0,0,0,
20210209,SD,109405,11849,298972,,totalTestsPeopleViral,408377,109,6387,18,,13,,105352,2/8/2021 14:00,2021-02-08T14:00:00Z,02/08 09:00,1809,6387,,2021-02-08T14:00:00Z,662596,102829,,97556,,,,408377,,,,,,,,,,,46,122,459,408377,581,408377,,0,10,eda7f7c0e8d1014e001a8f4da57bc2fcc6d013b2,0,0,0,0,0,
20210208,SD,109283,11834,298513,,totalTestsPeopleViral,407796,112,6377,19,,12,,105166,2/7/2021 14:00,2021-02-07T14:00:00Z,02/07 09:00,1809,6377,,2021-02-07T14:00:00Z,661963,102785,,97449,,,,407796,,,,,,,,,,,46,54,279,407796,333,407796,,0,7,4ea07eca7c6e2da869f6aa9e53fac3a89afa9eb7,0,0,0,0,0,
20210207,SD,109229,11823,298234,,totalTestsPeopleViral,407463,113,6370,25,,15,,105104,2/6/2021 14:00,2021-02-06T14:00:00Z,02/06 09:00,1809,6370,,2021-02-06T14:00:00Z,660930,102714,,97406,,,,407463,,,,,,,,,,,46,97,412,407463,509,407463,,5,11,37364406b3afb50f94c208243b1bc9b47611b39a,0,0,0,0,0,
