date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210225,TN,770940,124446,6088610,,posNeg,6859550,1139,18506,286,,137,,745200,2/25/2021 15:00,2021-02-25T15:00:00Z,02/25 10:00,11321,18506,,2021-02-25T15:00:00Z,6735104,745675,5989429,646494,9098,2223,,,,,,,,,,,1340603,136109,47,1994,24212,6859550,26206,6859550,,55,76,88fa800ecaf0c7a17dfe674bd4ad62d797232c99,0,0,0,0,0,
20210224,TN,768946,123944,6064398,,posNeg,6833344,1142,18430,280,,148,,743254,2/24/2021 15:00,2021-02-24T15:00:00Z,02/24 10:00,11266,18430,,2021-02-24T15:00:00Z,6709400,744017,5965383,645002,9060,2206,,,,,,,,,,,1329787,135530,47,1631,14681,6833344,16312,6833344,,68,67,516f9d2d2a619a16cd03bf407076f8c0fffbc478,0,0,0,0,0,
20210223,TN,767315,123387,6049717,,posNeg,6817032,1129,18363,285,,158,,741057,2/23/2021 15:00,2021-02-23T15:00:00Z,02/23 10:00,11198,18363,,2021-02-23T15:00:00Z,6693645,742855,5950790,643928,9007,2191,,,,,,,,,,,1318241,134930,47,1226,11599,6817032,12825,6817032,,45,52,617cc1095fecfb535a636bf5d3a3baca05d988a2,0,0,0,0,0,
20210222,TN,766089,122807,6038118,,posNeg,6804207,1128,18311,295,,167,,738731,2/22/2021 15:00,2021-02-22T15:00:00Z,02/22 10:00,11153,18311,,2021-02-22T15:00:00Z,6681400,741941,5939459,643282,8974,2179,,,,,,,,,,,1302364,134246,47,952,6300,6804207,7252,6804207,,20,27,cbbdba352e70f80a037d12d713fe76e450ead060,0,0,0,0,0,
20210221,TN,765137,122464,6031818,,posNeg,6796955,1128,18284,300,,171,,737635,2/21/2021 15:00,2021-02-21T15:00:00Z,02/21 10:00,11133,18284,,2021-02-21T15:00:00Z,6674491,741254,5933237,642673,8956,2177,,,,,,,,,,,1299544,133897,47,1129,8387,6796955,9516,6796955,,18,17,8a0463d73e03e934490eaf4535efc1f991c78ce8,0,0,0,0,0,
20210220,TN,764008,122010,6023431,,posNeg,6787439,1123,18267,292,,165,,736300,2/20/2021 15:00,2021-02-20T15:00:00Z,02/20 10:00,11115,18267,,2021-02-20T15:00:00Z,6665429,740519,5924910,641998,8942,2173,,,,,,,,,,,1295558,133433,47,1335,10060,6787439,11395,6787439,,51,32,a742b93c79ca89992e260f0cadd0899e32e62fee,0,0,0,0,0,
20210219,TN,762673,121558,6013371,,posNeg,6776044,1095,18235,268,,150,,734152,2/19/2021 15:00,2021-02-19T15:00:00Z,02/19 10:00,11064,18235,,2021-02-19T15:00:00Z,6654486,739517,5914969,641115,8898,2166,,,,,,,,,,,1285118,132915,47,1372,8633,6776044,10005,6776044,,7,60,aacb938d32d5bd2c60766a699bab73f25e849c35,0,0,0,0,0,
20210218,TN,761301,121087,6004738,,posNeg,6766039,1250,18175,309,,163,,731791,2/18/2021 15:00,2021-02-18T15:00:00Z,02/18 10:00,11057,18175,,2021-02-18T15:00:00Z,6644952,738527,5906425,640214,8892,2165,,,,,,,,,,,1274722,132418,47,998,9908,6766039,10906,6766039,,72,55,d2b606ba48243e691c2dfbcd1ac7809324c087c3,0,0,0,0,0,
20210217,TN,760303,120696,5994830,,posNeg,6755133,1245,18120,320,,173,,729629,2/17/2021 15:00,2021-02-17T15:00:00Z,02/17 10:00,10985,18120,,2021-02-17T15:00:00Z,6634437,737650,5896787,639607,8834,2151,,,,,,,,,,,1265367,131976,47,780,7423,6755133,8203,6755133,,31,57,767956f0bab2007ff37471228a0b6b08d3a22f5d,0,0,0,0,0,
20210216,TN,759523,120397,5987407,,posNeg,6746930,1219,18063,329,,173,,726910,2/16/2021 15:00,2021-02-16T15:00:00Z,02/16 10:00,10954,18063,,2021-02-16T15:00:00Z,6626533,737046,5889487,639126,8810,2144,,,,,,,,,,,1255785,131553,47,962,7676,6746930,8638,6746930,,17,36,866506cbdcb390a593f47aa6e4c152655296d838,0,0,0,0,0,
