date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210216,TX,2567297,338289,,,totalTestsViral,18810731,7661,,2397,,,,2257030,2/16/2021 11:45,2021-02-16T11:45:00Z,02/16 06:45,40645,,2021-02-16T11:45:00Z,18810731,2521479,,2229008,,,,,987853,141470,,,,,,,2200714,188051,48,3348,0,2567297,0,2567297,,52,0,b91620eccfdd9c48aeb9813cc30ac514dd419956,0,0,0,0,0,
20210215,TX,2563949,338550,,,totalTestsViral,18810731,7824,,2428,,,,2260840,2/15/2021 15:35,2021-02-15T15:35:00Z,02/15 10:35,40593,,2021-02-15T15:35:00Z,18810731,2521479,,2225399,,,,,987853,141470,,,,,,,2200714,188051,48,3889,0,2563949,0,2563949,,66,0,35c64076be44989e0aca4420248c240ba5948bf8,0,0,0,0,0,
20210214,TX,2560060,338105,,,totalTestsViral,18810731,8107,,2473,,,,2231709,2/14/2021 14:10,2021-02-14T14:10:00Z,02/14 09:10,40527,,2021-02-14T14:10:00Z,18810731,2521479,,2221955,,,,,987853,141470,,,,,,,2200714,188051,48,6933,0,2560060,109964,2560060,,149,0,b3c5d26bdda8f95e54e51d3ee3506caa6df5f58f,0,0,0,0,0,
20210213,TX,2553127,337242,,,totalTestsViral,18700767,8395,,2543,,,,2220233,2/13/2021 15:00,2021-02-13T15:00:00Z,02/13 10:00,40378,,2021-02-13T15:00:00Z,18700767,2510207,,2215885,,,,,983897,139990,,,,,,,2168000,186571,48,11282,0,2553127,95013,2553127,,283,0,652e06d0112465fa105fa39ec77c0d307393eab0,0,0,0,0,0,
20210212,TX,2541845,334863,,,totalTestsViral,18605754,8607,,2582,,,,2204146,2/12/2021 16:45,2021-02-12T16:45:00Z,02/12 11:45,40095,,2021-02-12T16:45:00Z,18605754,2500055,,2206982,,,,,981011,139080,,,,,,,2127545,184313,48,12502,0,2541845,99489,2541845,,324,0,a75c5799a9db2af3cfb02bfd562a77336cb6a627,0,0,0,0,0,
20210211,TX,2529343,332461,,,totalTestsViral,18506265,8933,,2703,,,,2184719,2/11/2021 17:05,2021-02-11T17:05:00Z,02/11 12:05,39771,,2021-02-11T17:05:00Z,18506265,2489681,,2196882,,,,,977294,137659,,,,,,,2083584,182973,48,11890,0,2529343,91398,2529343,,385,0,1aecd8728c06ec52bbae3cd17d0fb019bb875014,0,0,0,0,0,
20210210,TX,2517453,329603,,,totalTestsViral,18414867,9165,,2740,,,,2168762,2/10/2021 16:00,2021-02-10T16:00:00Z,02/10 11:00,39386,,2021-02-10T16:00:00Z,18414867,2479268,,2187850,,,,,974278,136762,,,,,,,2063225,181535,48,12897,0,2517453,113195,2517453,,385,0,bb6f969d66b17e0764e6b73bfbc2ec60e687cd97,0,0,0,0,0,
20210209,TX,2504556,326984,,,totalTestsViral,18301672,9401,,2777,,,,2125302,2/9/2021 16:35,2021-02-09T16:35:00Z,02/09 11:35,39001,,2021-02-09T16:35:00Z,18301672,2463920,,2177572,,,,,970422,135461,,,,,,,2030649,179936,48,13329,0,2504556,80902,2504556,,301,0,ba1103ede4daa8604347d7a0fbde72fed309c9df,0,0,0,0,0,
20210208,TX,2491227,324308,,,totalTestsViral,18220770,9401,,2667,,,,2104894,2/8/2021 15:15,2021-02-08T15:15:00Z,02/08 10:15,38700,,2021-02-08T15:15:00Z,18220770,2453191,,2166919,,,,,969047,135101,,,,,,,1993396,177559,48,7485,0,2491227,148480,2491227,,57,0,2caa649213290bf62f64075eb1ef0ad7ca392638,0,0,0,0,0,
20210207,TX,2483742,323644,,,totalTestsViral,18072290,9652,,2843,,,,2091113,2/7/2021 14:21,2021-02-07T14:21:00Z,02/07 09:21,38643,,2021-02-07T14:21:00Z,18072290,2435800,,2160098,,,,,964000,133447,,,,,,,1980915,177045,48,6959,0,2483742,37467,2483742,,167,0,1f694176d7ab445786fdce73286288cb5b234a92,0,0,0,0,0,
