date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201105,UT,124292,,956016,,totalTestsViral,1447849,409,5830,158,1202,,465,89837,A+,11/5/2020 11:06,2020-11-05T11:06:00Z,11/05 06:06,632,5830,2020-11-05T11:06:00Z,1447849,128445,1319404,124292,,,,1080308,,,,,,,45298,6470,100163,6720,49,2807,9835,1080308,18463,1080308,7,75,1fc9c7ce336857f8a8453107ff0632f16f6f1ab8,0,0,0,0,0,
20201104,UT,121485,,946181,,totalTestsViral,1429386,401,5755,158,1183,,456,88347,A+,11/4/2020 11:20,2020-11-04T11:20:00Z,11/04 06:20,625,5755,2020-11-04T11:20:00Z,1429386,125233,1304153,121485,,,,1067666,,,,,,,44320,6274,98113,6519,49,2110,2407,1067666,8531,1067666,5,90,ac27f63c35e597bf424eb834095fae0524bedfc8,0,0,0,0,0,
20201103,UT,119375,,943774,,totalTestsViral,1420855,382,5665,152,1170,,451,87211,A+,11/3/2020 11:03,2020-11-03T11:03:00Z,11/03 06:03,620,5665,2020-11-03T11:03:00Z,1420855,124050,1296805,119375,,,,1063149,,,,,,,42278,5708,94182,5946,49,1669,5498,1063149,10710,1063149,6,89,1ffe9440654bffdbe4ffbaed369ffacaad372d1f,0,0,0,0,0,
20201102,UT,117706,,938276,,totalTestsViral,1410145,366,5576,138,1147,,443,86269,A+,11/2/2020 10:41,2020-11-02T10:41:00Z,11/02 05:41,614,5576,2020-11-02T10:41:00Z,1410145,122406,1287739,117706,,,,1055982,,,,,,,41611,5545,91159,5778,49,1196,6900,1055982,11790,1055982,0,50,ff0971718793ad40c044646b98df781517bb33c9,0,0,0,0,0,
20201101,UT,116510,,931376,,totalTestsViral,1398355,355,5526,130,1144,,443,85299,A+,11/1/2020 10:45,2020-11-01T10:45:00Z,11/01 05:45,614,5526,2020-11-01T10:45:00Z,1398355,120820,1277535,116510,,,,1047886,,,,,,,40963,5383,90076,5610,49,1854,4292,1047886,9293,1047886,10,63,e6425e5427ec42d8c8becef1c4c6247f6f8775c8,0,0,0,0,0,
20201031,UT,114656,,927084,,totalTestsViral,1389062,335,5463,132,1138,,437,84101,A+,10/31/2020 10:59,2020-10-31T10:59:00Z,10/31 06:59,604,5463,2020-10-31T10:59:00Z,1389062,119313,1269749,114656,,,,1041740,,,,,,,40083,5202,88644,5429,49,1724,5447,1041740,11569,1041740,3,68,6b87b96472cb077850c815d3da7e30063f2ab4c6,0,0,0,0,0,
20201030,UT,112932,,921637,,totalTestsViral,1377493,338,5395,133,1117,,432,82752,A+,10/30/2020 10:07,2020-10-30T10:07:00Z,10/30 06:07,601,5395,2020-10-30T10:07:00Z,1377493,117637,1259856,112932,,,,1034569,,,,,,,39068,5039,85947,5259,49,2292,6920,1034569,15541,1034569,3,76,4c73c6d73a2733c8dd587aed667f59afa26d7a3f,0,0,0,0,0,
20201029,UT,110640,,914717,,totalTestsViral,1361952,338,5319,123,1112,,430,81403,A+,10/29/2020 10:55,2020-10-29T10:55:00Z,10/29 06:55,598,5319,2020-10-29T10:55:00Z,1361952,115669,1246283,110640,,,,1025357,,,,,,,37934,4836,82886,5051,49,1837,8136,1025357,14983,1025357,10,72,e86770372f5e820252deec7595eae5233d0f9e9f,0,0,0,0,0,
20201028,UT,108803,,906581,,totalTestsViral,1346969,316,5247,117,1098,,425,79918,A+,10/28/2020 10:55,2020-10-28T10:55:00Z,10/28 06:55,588,5247,2020-10-28T10:55:00Z,1346969,113666,1233303,108803,,,,1015384,,,,,,,36675,4624,80390,4834,49,1575,4661,1015384,9731,1015384,10,78,9f968f640df6f8f1d89261de23af9053955cd2a6,0,0,0,0,0,
20201027,UT,107228,,901920,,totalTestsViral,1337238,309,5169,111,1083,,423,78946,A+,10/27/2020 11:23,2020-10-27T11:23:00Z,10/27 07:23,578,5169,2020-10-27T11:23:00Z,1337238,112356,1224882,107228,,,,1009148,,,,,,,35547,4419,77271,4622,49,1145,5443,1009148,3119,1009148,4,67,0e35ff26b4bd0d5c02a84a2555b7c847ff2b4531,0,0,0,0,0,
20201026,UT,106083,,896477,,totalTestsViral,1334119,311,5102,112,1067,,419,78212,A+,10/26/2020 11:02,2020-10-26T11:02:00Z,10/26 07:02,574,5102,2020-10-26T11:02:00Z,1334119,111976,1222143,106083,,,,1002560,,,,,,,34696,4279,75058,4476,49,1201,4191,1002560,4659,1002560,2,53,600b934af2600827447505c89d4a18793c97f7dd,0,0,0,0,0,
20201025,UT,104882,,892286,,totalTestsViral,1329460,313,5049,120,1067,,419,77145,A+,10/25/2020 11:39,2020-10-25T11:39:00Z,10/25 07:39,572,5049,2020-10-25T11:39:00Z,1329460,111451,1218009,104882,,,,997168,,,,,,,34343,4174,74457,4370,49,1765,6257,997168,11115,997168,4,52,1885c059623578d29c1b4975009546fa70888376,0,0,0,0,0,
20201024,UT,103117,,886029,,totalTestsViral,1318345,319,4997,110,1062,,417,75776,A+,10/24/2020 11:39,2020-10-24T11:39:00Z,10/24 07:39,568,4997,2020-10-24T11:39:00Z,1318345,109971,1208374,103117,,,,989146,,,,,,,33663,4055,72847,4248,49,1608,7579,989146,12974,989146,1,58,475d1bdd9a672765bf339496796e6cc39368f5f6,0,0,0,0,0,
20201023,UT,101509,,878450,,totalTestsViral,1305371,321,4939,109,1056,,415,74688,A+,10/22/2020 10:18,2020-10-22T10:18:00Z,10/22 06:18,567,4939,2020-10-22T10:18:00Z,1305371,108159,1197212,101509,,,,979959,,,,,,,32781,3932,70201,4116,49,1960,5567,979959,12352,979959,4,59,184a2c6a4ada53cbae69d919592dd757e4b27da6,0,0,0,0,0,
20201022,UT,99549,,872883,,totalTestsViral,1293019,318,4880,110,1050,,409,73586,A+,10/22/2020 10:18,2020-10-22T10:18:00Z,10/22 06:18,563,4880,2020-10-22T10:18:00Z,1293019,106420,1186599,99549,,,,972432,,,,,,,31854,3768,67628,3944,49,1543,7881,972432,12708,972432,6,73,7ea580cd522ca0931ea38f920803f03264b63d3b,0,0,0,0,0,
20201021,UT,98006,,865002,,totalTestsViral,1280311,338,4807,111,1040,,406,72606,A+,10/21/2020 10:52,2020-10-21T10:52:00Z,10/21 06:52,557,4807,2020-10-21T10:52:00Z,1280311,104675,1175636,98006,,,,963008,,,,,,,30987,3718,65372,3890,49,1363,5173,963008,11847,963008,6,54,8cc205e44331f23117ccaf27482572b45186993b,0,0,0,0,0,
20201020,UT,96643,,859829,,totalTestsViral,1268464,311,4753,104,1030,,403,71693,A+,10/20/2020 11:18,2020-10-20T11:18:00Z,10/20 07:18,551,4753,2020-10-20T11:18:00Z,1268464,103173,1165291,96643,,,,956472,,,,,,,29952,3471,62268,3640,49,1081,3838,956472,8322,956472,5,65,003f4831d47b5d6fa3bcaf795292b7aa4de85fd3,0,0,0,0,0,
20201019,UT,95562,,855991,,totalTestsViral,1260142,304,4688,103,1022,,401,71035,A+,10/19/2020 10:30,2020-10-19T10:30:00Z,10/19 06:30,546,4688,2020-10-19T10:30:00Z,1260142,101925,1158217,95562,,,,951553,,,,,,,29106,3288,60235,3451,49,1168,5319,951553,7159,951553,3,32,cea7c138fa5b6d78bcf80132dd7c66545cecd133,0,0,0,0,0,
20201018,UT,94394,,850672,,totalTestsViral,1252983,307,4656,102,1022,,401,70166,A+,10/18/2020 10:52,2020-10-18T10:52:00Z,10/18 06:52,543,4656,2020-10-18T10:52:00Z,1252983,101141,1151842,94394,,,,945066,,,,,,,28872,3261,59735,3424,49,1097,6108,945066,9579,945066,3,46,f28f677294ae777b94d52c00a115b0d3f1b18313,0,0,0,0,0,
20201017,UT,93297,,844564,,totalTestsViral,1243404,313,4610,96,1016,,401,69110,A+,10/17/2020 11:06,2020-10-17T11:06:00Z,10/17 07:06,540,4610,2020-10-17T11:06:00Z,1243404,100072,1143332,93297,,,,937861,,,,,,,28590,3227,59052,3387,49,1340,15733,937861,11802,937861,3,51,4cd1ca1944655eabd4fc3ce08a75dbdc85ee7c33,0,0,0,0,0,
20201016,UT,91957,,828831,,totalTestsViral,1231602,304,4559,96,1007,,400,68092,A+,10/16/2020 10:01,2020-10-16T10:01:00Z,10/16 06:01,537,4559,2020-10-16T10:01:00Z,1231602,98643,1132959,91957,,,,920788,,,,,,,27965,3157,56742,3312,49,1496,5152,920788,12129,920788,8,48,4ec4fe8674a21287c0690d24fdc401129f9b083a,0,0,0,0,0,
20201015,UT,90461,,823679,,totalTestsViral,1219473,277,4511,99,1001,,400,66683,A+,10/15/2020 10:39,2020-10-15T10:39:00Z,10/15 06:39,529,4511,2020-10-15T10:39:00Z,1219473,97365,1122108,90461,,,,914140,,,,,,,27214,3039,54484,3192,49,1498,6514,914140,13307,914140,2,51,f474aed9c14640157ce66b68de6113f892407ade,0,0,0,0,0,
