date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201022,VA,170104,11044,2292638,424,NaN,2451698,1109,20430,218,,120,,19321,A+,10/21/2020 17:00,2020-10-21T17:00:00Z,10/21 13:00,3524,20430,2020-10-21T17:00:00Z,,189561,,159060,3274,250,2451698,,,,,,,,,,,,51,1332,18900,2463166,19962,2462742,9,194,84e202319c537cb543956778540a3d456ac5c95c,0,0,0,0,0,
20201021,VA,168772,10774,2273738,315,NaN,2431736,1010,20236,202,,97,,19226,A+,10/20/2020 17:00,2020-10-20T17:00:00Z,10/20 13:00,3515,20236,2020-10-20T17:00:00Z,,188401,,157998,3266,249,2431736,,,,,,,,,,,,51,1018,19011,2442825,19796,2442510,30,129,6ab36472826e618ba8a961dd6609976974b437f6,0,0,0,0,0,
20201020,VA,167754,10541,2254727,249,NaN,2411940,937,20107,194,,98,,19170,A+,10/19/2020 17:00,2020-10-19T17:00:00Z,10/19 13:00,3485,20107,2020-10-19T17:00:00Z,,187280,,157213,3236,249,2411940,,,,,,,,,,,,51,926,13055,2422730,13829,2422481,28,39,a5feb9f59a614d99d2565bd41b7b56bde864979f,0,0,0,0,0,
20201019,VA,166828,10389,2241672,283,NaN,2398111,972,20068,210,,81,,19096,A+,10/18/2020 17:00,2020-10-18T17:00:00Z,10/18 13:00,3457,20068,2020-10-18T17:00:00Z,,186494,,156439,3209,248,2398111,,,,,,,,,,,,51,690,10732,2408783,11333,2408500,24,62,d09aadbcb9bfa3a3537f3ae1a33c6a12265a33cd,0,0,0,0,0,
20201018,VA,166138,10300,2230940,282,NaN,2386778,972,20006,205,,95,,19034,A+,10/17/2020 17:00,2020-10-17T17:00:00Z,10/17 13:00,3433,20006,2020-10-17T17:00:00Z,,185890,,155838,3186,247,2386778,,,,,,,,,,,,51,900,19628,2397360,20398,2397078,11,17,b1e4ccba1b736a3222647bb2f905623e0f6eed78,0,0,0,0,0,
20201017,VA,165238,10170,2211312,290,NaN,2366380,993,19989,219,,100,,18996,A+,10/16/2020 17:00,2020-10-16T17:00:00Z,10/16 13:00,3422,19989,2020-10-16T17:00:00Z,,184857,,155068,3175,247,2366380,,,,,,,,,,,,51,1114,18539,2376840,19481,2376550,14,76,c529f0e199a76d531ef381e872b84c8b9e59afd1,0,0,0,0,0,
20201016,VA,164124,9998,2192773,329,NaN,2346899,1002,19913,222,,104,,18911,A+,10/15/2020 17:00,2020-10-15T17:00:00Z,10/15 13:00,3408,19913,2020-10-15T17:00:00Z,,183829,,154126,3161,247,2346899,,,,,,,,,,,,51,1183,19088,2357226,20097,2356897,20,73,ff388c8afad1e78cb91867c6c60914f5a4cb3268,0,0,0,0,0,
20201015,VA,162941,9824,2173685,319,NaN,2326802,1009,19840,220,,104,,18831,A+,10/14/2020 17:00,2020-10-14T17:00:00Z,10/14 13:00,3388,19840,2020-10-14T17:00:00Z,,182743,,153117,3149,239,2326802,,,,,,,,,,,,51,1331,21355,2336945,22433,2336626,7,86,4d9133ee6232bba59a2154297831cfb8d2bee5ed,0,0,0,0,0,
20201014,VA,161610,9571,2152330,334,NaN,2304369,1007,19754,230,,102,,18747,A+,10/13/2020 17:00,2020-10-13T17:00:00Z,10/13 13:00,3381,19754,2020-10-13T17:00:00Z,,181521,,152039,3141,240,2304369,,,,,,,,,,,,51,805,11125,2314274,11807,2313940,9,98,52f64ea78befb529fe3999eac3f757d2f0f8e946,0,0,0,0,0,
20201013,VA,160805,9448,2141205,313,NaN,2292562,999,19656,200,,98,,18657,A+,10/12/2020 17:00,2020-10-12T17:00:00Z,10/12 13:00,3372,19656,2020-10-12T17:00:00Z,,180768,,151357,3132,240,2292562,,,,,,,,,,,,51,1235,19684,2302323,20720,2302010,11,152,408b644a21794990472dd985c8fef1e71fdab907,0,0,0,0,0,
20201012,VA,159570,9249,2121521,321,NaN,2271842,965,19504,205,,92,,18539,A+,10/11/2020 17:00,2020-10-11T17:00:00Z,10/11 13:00,3361,19504,2020-10-11T17:00:00Z,,179640,,150321,3122,239,2271842,,,,,,,,,,,,51,854,14332,2281412,15022,2281091,3,88,d10dc56b1abfa7d5977fb74c3772a3b74a8604cf,0,0,0,0,0,
20201011,VA,158716,9085,2107189,296,NaN,2256820,924,19416,201,,98,,18492,A+,10/10/2020 17:00,2020-10-10T17:00:00Z,10/10 13:00,3358,19416,2020-10-10T17:00:00Z,,176851,,149631,3120,238,2256820,,,,,,,,,,,,51,811,17918,2266201,18616,2265905,4,26,c64c83020759f91e4a9818c2bcdb47e3ca8cc7ca,0,0,0,0,0,
20201010,VA,157905,8972,2089271,301,NaN,2238204,943,19390,208,,97,,18447,A+,10/9/2020 17:00,2020-10-09T17:00:00Z,10/09 13:00,3354,19390,2020-10-09T17:00:00Z,,176851,,148933,3116,238,2238204,,,,,,,,,,,,51,1256,17689,2247477,18694,2247176,10,91,373fc9ffbda1827e908ac21199b3e91c06c5f36c,0,0,0,0,0,
20201009,VA,156649,8721,2071582,312,NaN,2219510,963,19299,205,,87,,18336,A+,10/8/2020 17:00,2020-10-08T17:00:00Z,10/08 13:00,3344,19299,2020-10-08T17:00:00Z,,176851,,147928,3110,234,2219510,,,,,,,,,,,,51,1114,28747,2228543,29718,2228231,16,88,465aeb40bbbd2c1af792e6204b9a73598179176d,0,0,0,0,0,
20201008,VA,155535,8578,2042835,310,NaN,2189792,933,19211,196,,89,,18278,A+,10/7/2020 17:00,2020-10-07T17:00:00Z,10/07 13:00,3328,19211,2020-10-07T17:00:00Z,,175080,,146957,3097,231,2189792,,,,,,,,,,,,51,1844,17984,2198680,19479,2198370,25,19,d0e1339d53e6b1ddcb44f183c9f1354397248ab3,0,0,0,0,0,
20201007,VA,153691,8229,2024851,362,NaN,2170313,1003,19192,228,,109,,18189,A+,10/6/2020 17:00,2020-10-06T17:00:00Z,10/06 13:00,3303,19192,2020-10-06T17:00:00Z,,174072,,145462,3088,215,2170313,,,,,,,,,,,,51,509,15670,2178904,16145,2178542,12,154,56f3930b216dd5f5a8b975c8652760b63b290fe0,0,0,0,0,0,
20201006,VA,153182,8195,2009181,319,NaN,2154168,926,19038,219,,104,,18112,A+,10/5/2020 17:00,2020-10-05T17:00:00Z,10/05 13:00,3291,19038,2020-10-05T17:00:00Z,,173202,,144987,3077,214,2154168,,,,,,,,,,,,51,625,13629,2162682,14177,2162363,15,220,f22f4c342aafca0a2bd3595ea7c3f02189277cd6,0,0,0,0,0,
20201005,VA,152557,8118,1995552,329,NaN,2139991,925,18818,213,,101,,17893,A+,10/4/2020 17:00,2020-10-04T17:00:00Z,10/04 13:00,3276,18818,2020-10-04T17:00:00Z,,172487,,144439,3063,213,2139991,,,,,,,,,,,,51,687,24597,2148438,26113,2148109,3,93,e34595fe224751fd6a4956a3198b9413b8184603,0,0,0,0,0,
20201004,VA,151870,7987,1970955,282,NaN,2113878,877,18725,197,,98,,17848,A+,10/3/2020 17:00,2020-10-03T17:00:00Z,10/03 13:00,3273,18725,2020-10-03T17:00:00Z,,171249,,143883,3060,213,2113878,,,,,,,,,,,,51,1067,0,2123107,0,2122825,3,9,a857f9a9d52bbc65aa4d6222c84047ec06ae5399,0,0,0,0,0,
20201003,VA,150803,7880,1970955,306,NaN,2113878,906,18716,191,,103,,17810,A+,10/2/2020 17:00,2020-10-02T17:00:00Z,10/02 13:00,3270,18716,2020-10-02T17:00:00Z,,171249,,142923,3057,213,2113878,,,,,,,,,,,,51,1116,18444,2122064,19517,2121758,20,74,9804214edf8c111517514e33b02debe4d06feecc,0,0,0,0,0,
20201002,VA,149687,7837,1952511,300,NaN,2094361,890,18642,201,,108,,17752,A+,10/1/2020 17:00,2020-10-01T17:00:00Z,10/01 13:00,3250,18642,2020-10-01T17:00:00Z,,169995,,141850,3037,213,2094361,,,,,,,,,,,,51,966,19265,2102498,20125,2102198,22,16,29c2c8bdcee2b10ade86ce20f212c44de366453c,0,0,0,0,0,
20201001,VA,148721,7731,1933246,326,NaN,2074236,913,18626,210,,107,,17713,A+,9/30/2020 17:00,2020-09-30T17:00:00Z,09/30 13:00,3228,18626,2020-09-30T17:00:00Z,,169007,,140990,3015,213,2074236,,,,,,,,,,,,51,450,23872,2082293,24248,2081967,20,85,31b0628a8d748e508af058c145e7e0d1bf2409af,0,0,0,0,0,
