date,state,positive,negative,pending,totalTestResultsSource,totalTestResults,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200923,VI,1278,18340,7,,19618,154,,,,,,,1198,D,9/22/2020 20:33,2020-09-22T20:33:00Z,09/22 16:33,19,,2020-09-22T20:33:00Z,19625,,,,19,,,,,,,,,,,,,,78,2,152,19625,19618,0,0,51feeede193883122444690540f6aa1f3ec3aadd,0,0,0,0,0,
20200922,VI,1276,18188,15,,19464,152,,,,,,,1195,D,9/22/2020 12:42,2020-09-22T12:42:00Z,09/22 08:42,19,,2020-09-22T12:42:00Z,19479,,,,19,,,,,,,,,,,,,,78,7,145,19479,19464,0,0,a2452385873946450986e9f65ecdd753cfac027b,0,0,0,0,0,
20200921,VI,1269,18043,2,,19312,0,,,,,,,1186,D,9/20/2020 11:16,2020-09-20T11:16:00Z,09/20 07:16,19,,2020-09-20T11:16:00Z,19314,,,,19,,,,,,,,,,,,,,78,0,0,19314,19312,0,0,71061a29c9272d36d9c0bd7cd88255fa91acff1c,0,0,0,0,0,
20200920,VI,1269,18043,2,,19312,358,,,,,,,1186,D,9/20/2020 11:16,2020-09-20T11:16:00Z,09/20 07:16,19,,2020-09-20T11:16:00Z,19314,,,,19,,,,,,,,,,,,,,78,27,331,19314,19312,0,0,97cb9d027e5a25045730c7e1a96aef8c6a403758,0,0,0,0,0,
20200919,VI,1242,17712,26,,18954,0,,,,,,,1174,D,9/18/2020 09:31,2020-09-18T09:31:00Z,09/18 05:31,19,,2020-09-18T09:31:00Z,18980,,,,19,,,,,,,,,,,,,,78,0,0,18980,18954,0,0,0c24b0395b32ebf45a16f1f165f4c26339cad380,0,0,0,0,0,
20200918,VI,1242,17712,26,,18954,175,,,,,,,1174,D,9/18/2020 09:31,2020-09-18T09:31:00Z,09/18 05:31,19,,2020-09-18T09:31:00Z,18980,,,,19,,,,,,,,,,,,,,78,4,171,18980,18954,0,0,12dd665962742217d68838d3f1a79fff2f9a0fce,0,0,0,0,0,
20200917,VI,1238,17541,21,,18779,107,,,,,,,1172,D,9/17/2020 06:24,2020-09-17T06:24:00Z,09/17 02:24,19,,2020-09-17T06:24:00Z,18800,,,,19,,,,,,,,,,,,,,78,6,101,18800,18779,0,0,5bdc6bb6fb3eafe73253cfd64fd4da39905c49e3,0,0,0,0,0,
20200916,VI,1232,17440,10,,18672,127,,,,,,,1170,D,9/15/2020 20:04,2020-09-15T20:04:00Z,09/15 16:04,19,,2020-09-15T20:04:00Z,18682,,,,19,,,,,,,,,,,,,,78,7,120,18682,18672,0,0,bfe9973df29eb0d939031fa180f5bf7bcd783fbb,0,0,0,0,0,
20200915,VI,1225,17320,17,,18545,194,,,,,,,1159,C,9/15/2020 06:34,2020-09-15T06:34:00Z,09/15 02:34,19,,2020-09-15T06:34:00Z,18562,,,,19,,,,,,,,,,,,,,78,4,190,18562,18545,0,0,93425fe363eb27f5e8b040d000452199d63faa37,0,0,0,0,0,
20200914,VI,1221,17130,3,,18351,8,,,,,,,1144,C,9/14/2020 06:29,2020-09-14T06:29:00Z,09/14 02:29,19,,2020-09-14T06:29:00Z,18354,,,,19,,,,,,,,,,,,,,78,1,7,18354,18351,0,0,10d75d4b959b390a75c889b6efaea9841197265a,0,0,0,0,0,
20200913,VI,1220,17123,3,,18343,120,,,,,,,1144,C,9/13/2020 00:32,2020-09-13T00:32:00Z,09/12 20:32,19,,2020-09-13T00:32:00Z,18346,,,,19,,,,,,,,,,,,,,78,9,111,18346,18343,0,0,e345ec190b1ad4f6d593744064784729938cc824,0,0,0,0,0,
20200912,VI,1211,17012,5,,18223,173,,,,,,,1143,C,9/12/2020 09:45,2020-09-12T09:45:00Z,09/12 05:45,19,,2020-09-12T09:45:00Z,18228,,,,19,,,,,,,,,,,,,,78,10,163,18228,18223,1,0,7945031e47e585c7380291f92804fffacf1d7dcf,0,0,0,0,0,
20200911,VI,1201,16849,16,,18050,185,,,,,,,1124,C,9/11/2020 06:29,2020-09-11T06:29:00Z,09/11 02:29,18,,2020-09-11T06:29:00Z,18066,,,,18,,,,,,,,,,,,,,78,4,181,18066,18050,0,0,d87071fe10a843374d9293feaa02f5164cb479e4,0,0,0,0,0,
20200910,VI,1197,16668,22,,17865,421,,,,,,,1119,C,9/9/2020 20:57,2020-09-09T20:57:00Z,09/09 16:57,18,,2020-09-09T20:57:00Z,17887,,,,18,,,,,,,,,,,,,,78,6,415,17887,17865,0,0,ef72894e1e48911ac173d1284e73467c8b7ab641,0,0,0,0,0,
20200909,VI,1191,16253,15,,17444,0,,,,,,,1070,C,9/8/2020 06:03,2020-09-08T06:03:00Z,09/08 02:03,18,,2020-09-08T06:03:00Z,17459,,,,18,,,,,,,,,,,,,,78,0,0,17459,17444,0,0,8bfc98591e0d9f9072fec5a396562d5436e0c0b9,0,0,0,0,0,
20200908,VI,1191,16253,15,,17444,24,,,,,,,1070,C,9/8/2020 06:03,2020-09-08T06:03:00Z,09/08 02:03,18,,2020-09-08T06:03:00Z,17459,,,,18,,,,,,,,,,,,,,78,1,23,17459,17444,1,0,1d84e3e6e0216af459f289fe073ca6328b0015c2,0,0,0,0,0,
20200907,VI,1190,16230,15,,17420,95,,,,,,,1069,C,9/7/2020 11:49,2020-09-07T11:49:00Z,09/07 07:49,17,,2020-09-07T11:49:00Z,17435,,,,17,,,,,,,,,,,,,,78,9,86,17435,17420,0,0,e9662bb26951de35c757e17872453593688f5974,0,0,0,0,0,
20200906,VI,1181,16144,15,,17325,114,,,,,,,1069,C,9/6/2020 07:03,2020-09-06T07:03:00Z,09/06 03:03,17,,2020-09-06T07:03:00Z,17340,,,,17,,,,,,,,,,,,,,78,14,100,17340,17325,1,0,a545b970dd8bbb90df0851b5a461958f1167352f,0,0,0,0,0,
