date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210218,VT,14149,401,307714,,totalTestsViral,990931,42,,13,,,,11221,2/17/2021 23:59,2021-02-17T23:59:00Z,02/17 18:59,193,,2021-02-17T23:59:00Z,990931,,,13748,,,,321462,,,,,,,,,,,50,153,515,321863,3743,321863,,2,0,2088bf856f2c63c2042909bdb89dc2a9e883f7e2,0,0,0,0,0,
20210217,VT,13996,397,307199,,totalTestsViral,987188,46,,8,,,,11072,2/16/2021 23:59,2021-02-16T23:59:00Z,02/16 18:59,191,,2021-02-16T23:59:00Z,987188,,,13599,,,,320798,,,,,,,,,,,50,79,1222,321195,9621,321195,,0,0,a9abd732eefefae93ea8c5eed0aa4f8efe95b0d7,0,0,0,0,0,
20210216,VT,13917,384,305977,,totalTestsViral,977567,42,,12,,,,10803,2/15/2021 23:59,2021-02-15T23:59:00Z,02/15 18:59,191,,2021-02-15T23:59:00Z,977567,,,13533,,,,319510,,,,,,,,,,,50,55,583,319894,2551,319894,,1,0,907dd0671b6c91ec62b098dce57511f3047d1e9f,0,0,0,0,0,
20210215,VT,13862,384,305394,,totalTestsViral,975016,40,,12,,,,10798,2/14/2021 23:59,2021-02-14T23:59:00Z,02/14 18:59,190,,2021-02-14T23:59:00Z,975016,,,13478,,,,318872,,,,,,,,,,,50,185,1256,319256,8323,319256,,1,0,9395a9e131a0a813d60b8904cc1ba21fa5853e1c,0,0,0,0,0,
20210214,VT,13677,345,304138,,totalTestsViral,966693,49,,11,,,,10659,2/13/2021 23:59,2021-02-13T23:59:00Z,02/13 18:59,189,,2021-02-13T23:59:00Z,966693,,,13332,,,,317470,,,,,,,,,,,50,116,919,317815,8027,317815,,0,0,a6836911b03c12bcc2201728d1d8404aae6934eb,0,0,0,0,0,
20210213,VT,13561,342,303219,,totalTestsViral,958666,49,,8,,,,10547,2/12/2021 23:59,2021-02-12T23:59:00Z,02/12 18:59,189,,2021-02-12T23:59:00Z,958666,,,13219,,,,316438,,,,,,,,,,,50,146,442,316780,-2876,316780,,0,0,d69ab06b515049ddb329ced917725325ff3f1e3d,0,0,0,0,0,
20210212,VT,13415,341,302777,,totalTestsViral,961542,49,,11,,,,10331,2/11/2021 23:59,2021-02-11T23:59:00Z,02/11 18:59,189,,2021-02-11T23:59:00Z,961542,,,13074,,,,315851,,,,,,,,,,,50,166,880,316192,9822,316192,,1,0,17c9ea3df0fd0eebace002bc69eb9a0cff25074b,0,0,0,0,0,
20210211,VT,13249,341,301897,,totalTestsViral,951720,54,,10,,,,10154,2/10/2021 23:59,2021-02-10T23:59:00Z,02/10 18:59,188,,2021-02-10T23:59:00Z,951720,,,12908,,,,314805,,,,,,,,,,,50,127,947,315146,9444,315146,,1,0,8520ea68de8af4eb948e471fd394ab8f728fed00,0,0,0,0,0,
20210210,VT,13122,338,300950,,totalTestsViral,942276,58,,10,,,,9988,2/9/2021 23:59,2021-02-09T23:59:00Z,02/09 18:59,187,,2021-02-09T23:59:00Z,942276,,,12784,,,,313734,,,,,,,,,,,50,17,563,314072,4946,314072,,1,0,26affeb3fa4143760f58079fed563c96922d67a9,0,0,0,0,0,
20210209,VT,13105,326,300387,,totalTestsViral,937330,60,,13,,,,9866,2/8/2021 23:59,2021-02-08T23:59:00Z,02/08 18:59,186,,2021-02-08T23:59:00Z,937330,,,12779,,,,313166,,,,,,,,,,,50,59,842,313492,3037,313492,,3,0,39663e03ccda2d15164cc99f7bef663cbcaca154,0,0,0,0,0,
