date,state,positive,probableCases,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201011,WA,93035,,1968403,,2061438,262,7786,,,27,,,B,10/12/2020 02:59,2020-10-12T02:59:00Z,10/11 22:59,2190,7786,2020-10-12T02:59:00Z,,,,93035,2190,,2061438,,,,,,,,,,,,53,475,23017,2061438,posNeg,23492,2061438,0,24,16cde3014d1fc54058d6d446d6bb7b584b039d4a,0,0,0,0,0,
20201010,WA,92560,,1945386,,2037946,264,7762,,,30,,,B,10/9/2020 02:59,2020-10-09T02:59:00Z,10/08 22:59,2190,7762,2020-10-09T02:59:00Z,,,,92560,2190,,2037946,,,,,,,,,,,,53,642,20833,2037946,posNeg,21475,2037946,7,29,ea2047de071bbc60186613a80a82040288f4b098,0,0,0,0,0,
20201009,WA,91918,,1924553,,2016471,245,7733,,,29,,,B,10/8/2020 02:59,2020-10-08T02:59:00Z,10/07 22:59,2183,7733,2020-10-08T02:59:00Z,,,,91918,2183,,2016471,,,,,,,,,,,,53,710,28284,2016471,posNeg,28994,2016471,6,30,4cb316a62c8d62959001ff3fb46032e4e2a0eaed,0,0,0,0,0,
20201008,WA,91208,,1896269,,1987477,256,7703,,,30,,,B,10/7/2020 02:59,2020-10-07T02:59:00Z,10/06 22:59,2177,7703,2020-10-07T02:59:00Z,,,,91208,2177,,1987477,,,,,,,,,,,,53,545,25865,1987477,posNeg,26410,1987477,12,30,4576f5656d53d9fa973e27b894cbad840e568830,0,0,0,0,0,
20201007,WA,90663,,1870404,,1961067,253,7673,,,31,,,B,10/6/2020 02:59,2020-10-06T02:59:00Z,10/05 22:59,2165,7673,2020-10-06T02:59:00Z,,,,90663,2165,,1961067,,,,,,,,,,,,53,387,9273,1961067,posNeg,9660,1961067,7,51,041cc3bb06813882b380dc25f29cf67cca41aa48,0,0,0,0,0,
20201006,WA,90276,,1861131,,1951407,253,7622,,,31,,,B,10/5/2020 02:59,2020-10-05T02:59:00Z,10/04 22:59,2158,7622,2020-10-05T02:59:00Z,,,,90276,2158,,1951407,,,,,,,,,,,,53,402,15106,1951407,posNeg,15508,1951407,16,-6,1b86f77c4651ac8ac7d1016dcfc99f6bfc9ee12c,0,0,0,0,0,
20201005,WA,89874,,1846025,,1935899,260,7628,,,29,,,B,10/4/2020 02:59,2020-10-04T02:59:00Z,10/03 22:59,2142,7628,2020-10-04T02:59:00Z,,,,89874,2142,,1935899,,,,,,,,,,,,53,455,12488,1935899,posNeg,12943,1935899,0,17,1aed7f8b2523ca2fe295e1c63f6fcc289a24516a,0,0,0,0,0,
20201004,WA,89419,,1833537,,1922956,252,7611,,,26,,,B,10/3/2020 02:59,2020-10-03T02:59:00Z,10/02 22:59,2142,7611,2020-10-03T02:59:00Z,,,,89419,2142,,1922956,,,,,,,,,,,,53,609,16588,1922956,posNeg,17197,1922956,-1,25,082bbc4f9d93275336c78a21b5cf284bde916e38,0,0,0,0,0,
20201003,WA,88810,,1816949,,1905759,263,7586,,,40,,,B,10/2/2020 02:59,2020-10-02T02:59:00Z,10/01 22:59,2143,7586,2020-10-02T02:59:00Z,,,,88810,2143,,1905759,,,,,,,,,,,,53,694,20361,1905759,posNeg,21685,1905759,11,13,7a49edf6ef0bb464fbe5e89e110889c1598ee461,0,0,0,0,0,
20201002,WA,88116,,1796588,,1884074,263,7573,,,33,,,B,10/1/2020 02:59,2020-10-01T02:59:00Z,09/30 22:59,2132,7573,2020-10-01T02:59:00Z,,,,88116,2132,,1884074,,,,,,,,,,,,53,594,16021,1884704,posNeg,15985,1884704,6,40,743dc358fb4782cba92ddf9b48272f86e9f99b3c,0,0,0,0,0,
