date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201024,WI,205139,10599,1757630,119,posNeg,1962769,1237,10237,276,1405,,,152928,A+,10/24/2020 00:00,2020-10-24T00:00:00Z,10/23 20:00,1803,10237,2020-10-24T00:00:00Z,,,,194540,1770,33,3046677,1952170,,,,,,,,,,,55,4673,13558,1962888,18231,1962769,29,199,3dae32ffac40936525805b04789000ba2ae32de1,0,0,0,0,0,
20201023,WI,200466,9988,1744072,180,posNeg,1944538,1245,10038,332,1396,,,149534,A+,10/23/2020 00:00,2020-10-23T00:00:00Z,10/22 20:00,1774,10038,2020-10-23T00:00:00Z,,,,190478,1745,29,3005516,1934550,,,,,,,,,,,55,4643,13426,1944718,18069,1944538,49,183,cd56a5c6a0bdb5b913fc9b3be028830e0efdcb29,0,0,0,0,0,
20201022,WI,195823,9723,1730646,192,posNeg,1926469,1202,9855,324,1386,,,145509,A+,10/22/2020 00:00,2020-10-22T00:00:00Z,10/21 20:00,1725,9855,2020-10-22T00:00:00Z,,,,186100,1703,22,2965073,1916746,,,,,,,,,,,55,3632,12082,1926661,15714,1926469,23,151,a481072e2e2fe3010ba626c7d330856c0348c9fe,0,0,0,0,0,
20201021,WI,192191,9504,1718564,209,posNeg,1910755,1190,9704,299,1371,,,142485,A+,10/21/2020 00:00,2020-10-21T00:00:00Z,10/20 20:00,1702,9704,2020-10-21T00:00:00Z,,,,182687,1681,21,2924206,1901251,,,,,,,,,,,55,4363,5681,1910964,10044,1910755,50,167,a6e1c727d551eca6726f7ecd101be6b3cf3319de,0,0,0,0,0,
20201020,WI,187828,9346,1712883,223,posNeg,1900711,1192,9537,315,1354,,,139455,A+,10/20/2020 00:00,2020-10-20T00:00:00Z,10/19 20:00,1652,9537,2020-10-20T00:00:00Z,,,,178482,1633,19,2910573,1891365,,,,,,,,,,,55,4686,9070,1900934,13756,1900711,35,218,5284c8efe0ff506bf99d44820f50b94b15e7b634,0,0,0,0,0,
20201019,WI,183142,9251,1703813,201,posNeg,1886955,1172,9319,302,1340,,,136910,A+,10/19/2020 00:00,2020-10-19T00:00:00Z,10/18 20:00,1617,9319,2020-10-19T00:00:00Z,,,,173891,1600,17,,1877704,,,,,,,,,,,55,7915,113244,1887156,121159,1886955,29,292,6b084fdddc107fbd446db96fbfe8383daee92322,0,0,0,0,0,
20201018,WI,175227,9041,1590569,142,posNeg,1765796,1090,9027,284,1325,,,130231,A+,10/18/2020 00:00,2020-10-18T00:00:00Z,10/17 20:00,1588,9027,2020-10-18T00:00:00Z,,,,166186,1574,14,,1756755,,,,,,,,,,,55,0,0,1765938,0,1765796,0,0,644b5ba5bdb506fdb8583442be1a63ba555129c3,0,0,0,0,0,
20201017,WI,175227,9041,1590569,176,posNeg,1765796,1068,9027,268,1325,,,130231,A+,10/16/2020 00:00,2020-10-16T00:00:00Z,10/15 20:00,1588,9027,2020-10-16T00:00:00Z,,,,166186,1574,14,,1756755,,,,,,,,,,,55,0,0,1765972,0,1765796,0,0,702368c6ddc4d0a56c1183793a2cf263b51e1389,0,0,0,0,0,
20201016,WI,175227,9041,1590569,206,posNeg,1765796,1101,9027,274,1325,,,130231,A+,10/16/2020 00:00,2020-10-16T00:00:00Z,10/15 20:00,1588,9027,2020-10-16T00:00:00Z,,,,166186,1574,14,,1756755,,,,,,,,,,,55,4105,10725,1766002,14830,1765796,23,135,0cf802ca4b4a0cb952e3f95075d0340a38186177,0,0,0,0,0,
20201015,WI,171122,8797,1579844,236,posNeg,1750966,1043,8892,264,1308,,,127576,A+,10/15/2020 00:00,2020-10-15T00:00:00Z,10/14 20:00,1565,8892,2020-10-15T00:00:00Z,,,,162325,1553,12,,1742169,,,,,,,,,,,55,4040,11455,1751202,15495,1750966,18,138,86006c20625c5eaa685ffdb92c95983835ea5ce3,0,0,0,0,0,
