date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210304,WV,132677,26637,2101636,,totalTestsViral,2207676,193,,57,,22,,124050,3/3/2021 23:59,2021-03-03T23:59:00Z,03/03 18:59,2309,,,2021-03-03T23:59:00Z,2207676,,,106040,1962,347,,,32758,,,,,,,,,,54,261,9243,2234313,9422,2234313,,0,0,cd1541a5569d4ea60bd48887ce88cb82df5946bc,0,0,0,0,0,
20210303,WV,132416,26583,2092393,,totalTestsViral,2198254,197,,60,,25,,123656,3/2/2021 23:59,2021-03-02T23:59:00Z,03/02 18:59,2309,,,2021-03-02T23:59:00Z,2198254,,,105833,1962,347,,,32689,,,,,,,,,,54,232,7949,2224809,8253,2224809,,8,0,6e82f613771d720f8f69463a7b4e9139408341f4,0,0,0,0,0,
20210302,WV,132184,26591,2084444,,totalTestsViral,2190001,210,,61,,28,,123191,3/1/2021 23:59,2021-03-01T23:59:00Z,03/01 18:59,2301,,,2021-03-01T23:59:00Z,2190001,,,105593,1955,346,,,32656,,,,,,,,,,54,136,7921,2216628,8074,2216628,,1,0,10f35ced96a895730ee28af7c0cfba52b50142fb,0,0,0,0,0,
20210301,WV,132048,26584,2076523,,totalTestsViral,2181927,225,,59,,30,,122751,2/28/2021 23:59,2021-02-28T23:59:00Z,02/28 18:59,2300,,,2021-02-28T23:59:00Z,2181927,,,105464,1955,345,,,32608,,,,,,,,,,54,193,4141,2208571,4330,2208571,,0,0,de0d17e9c5d0a9ac8138e721fe0a296faf9a53f4,0,0,0,0,0,
20210228,WV,131855,26530,2072382,,totalTestsViral,2177597,239,,65,,34,,121797,2/27/2021 23:59,2021-02-27T23:59:00Z,02/27 18:59,2300,,,2021-02-27T23:59:00Z,2177597,,,105325,1955,345,,,32546,,,,,,,,,,54,275,9574,2204237,11017,2204237,,3,0,f1d2b76e715f0f4a84605ec744a7a6f6f98f197d,0,0,0,0,0,
20210227,WV,131580,26482,2062808,,totalTestsViral,2166580,237,,65,,37,,121797,2/26/2021 23:59,2021-02-26T23:59:00Z,02/26 18:59,2297,,,2021-02-26T23:59:00Z,2166580,,,105098,1952,345,,,32481,,,,,,,,,,54,346,9725,2194388,8724,2194388,,6,0,10a7a04a1e2a4b802763db8792be7e3f6bae5933,0,0,0,0,0,
20210226,WV,131234,26407,2053083,,totalTestsViral,2157856,267,,62,,33,,121143,2/25/2021 23:59,2021-02-25T23:59:00Z,02/25 18:59,2291,,,2021-02-25T23:59:00Z,2157856,,,104827,1945,346,,,32357,,,,,,,,,,54,421,10411,2184317,10668,2184317,,1,0,7cb50eaa6b5c75ea6571af9fce4b6fcc76aecb26,0,0,0,0,0,
20210225,WV,130813,26209,2042672,,totalTestsViral,2147188,282,,74,,40,,120503,2/24/2021 23:59,2021-02-24T23:59:00Z,02/24 18:59,2290,,,2021-02-24T23:59:00Z,2147188,,,104604,1944,346,,,32291,,,,,,,,,,54,431,11034,2173485,11358,2173485,,5,0,0c48019b631e68f6d50cbe507301b2b362e4d4ef,0,0,0,0,0,
20210224,WV,130382,26106,2031638,,totalTestsViral,2135830,292,,74,,40,,120030,2/23/2021 23:59,2021-02-23T23:59:00Z,02/23 18:59,2285,,,2021-02-23T23:59:00Z,2135830,,,104276,1941,344,,,31752,,,,,,,,,,54,243,8156,2162020,8563,2162020,,11,0,0eaa476172e1f96a00cabde216775512321f41e5,0,0,0,0,0,
20210223,WV,130139,26055,2023482,,totalTestsViral,2127267,296,,78,,35,,119337,2/22/2021 23:59,2021-02-22T23:59:00Z,02/22 18:59,2274,,,2021-02-22T23:59:00Z,2127267,,,104084,1934,340,,,31754,,,,,,,,,,54,285,8212,2153621,8539,2153621,,11,0,00e848ace34290026f9ed643f1b00ffcf34760e8,0,0,0,0,0,
