date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210304,WY,54685,8357,181957,,totalTestsViral,646179,23,1389,,,,,53481,3/4/2021 00:00,2021-03-04T00:00:00Z,03/03 19:00,682,1389,,2021-03-04T00:00:00Z,646179,38946,599452,46328,,,,228285,,,,,,,,,,,56,69,276,236642,2703,236642,,0,1,bafad46ba8420fbbba342b4739be877ac62c0050,0,0,0,0,0,
20210303,WY,54616,8348,181681,,totalTestsViral,643476,24,1388,,,,,53375,3/3/2021 00:00,2021-03-03T00:00:00Z,03/02 19:00,682,1388,,2021-03-03T00:00:00Z,643476,38905,596799,46268,,,,227949,,,,,,,,,,,56,89,278,236297,2096,236297,,0,3,716c8498948f8b7ab25227b0beb294adcacf307a,0,0,0,0,0,
20210302,WY,54527,8337,181403,,totalTestsViral,641380,24,1385,,,,,53339,3/2/2021 00:00,2021-03-02T00:00:00Z,03/01 19:00,682,1385,,2021-03-02T00:00:00Z,641380,38847,594768,46190,,,,227593,,,,,,,,,,,56,56,207,235930,786,235930,,11,1,76fff3d29fa6c93bfd938e380e3ea483f561a7b8,0,0,0,0,0,
20210301,WY,54471,8324,181196,,totalTestsViral,640594,28,1384,,,,,53248,3/1/2021 00:00,2021-03-01T00:00:00Z,02/28 19:00,671,1384,,2021-03-01T00:00:00Z,640594,38827,594005,46147,,,,227343,,,,,,,,,,,56,77,370,235667,3878,235667,,0,2,22c0594820e39b5eb6dbff2eeffaf0872d5123c5,0,0,0,0,0,
20210228,WY,54394,8318,180826,,totalTestsViral,636716,25,1382,,,,,53132,2/28/2021 00:00,2021-02-28T00:00:00Z,02/27 19:00,671,1382,,2021-02-28T00:00:00Z,636716,38734,590006,46076,,,,226870,,,,,,,,,,,56,44,0,235220,0,235220,,0,1,982a303a24c06c94955ee7e070b80e2db2db381d,0,0,0,0,0,
20210227,WY,54350,8306,180826,,totalTestsViral,636716,25,1381,,,,,52998,2/26/2021 00:00,2021-02-26T00:00:00Z,02/25 19:00,671,1381,,2021-02-26T00:00:00Z,636716,38734,590006,46044,,,,226870,,,,,,,,,,,56,0,0,235176,0,235176,,0,0,1ecfc50f307fa3847adfb8bc0c2c0afb8567a13c,0,0,0,0,0,
20210226,WY,54350,8306,180826,,totalTestsViral,636716,25,1381,,,,,52998,2/26/2021 00:00,2021-02-26T00:00:00Z,02/25 19:00,671,1381,,2021-02-26T00:00:00Z,636716,38734,590006,46044,,,,226870,,,,,,,,,,,56,148,358,235176,3090,235176,,0,4,64d18c3e8cf78e5f534cb11416a641c05384a49a,0,0,0,0,0,
20210225,WY,54202,8277,180468,,totalTestsViral,633626,20,1377,,,,,52879,2/25/2021 00:00,2021-02-25T00:00:00Z,02/24 19:00,671,1377,,2021-02-25T00:00:00Z,633626,38686,586971,45925,,,,226393,,,,,,,,,,,56,214,240,234670,3788,234670,,0,3,19d068d31678f424ea7f838ba939c938883f8d02,0,0,0,0,0,
20210224,WY,53988,8187,180228,,totalTestsViral,629838,25,1374,,,,,52679,2/24/2021 00:00,2021-02-24T00:00:00Z,02/23 19:00,671,1374,,2021-02-24T00:00:00Z,629838,38597,583283,45801,,,,226029,,,,,,,,,,,56,44,797,234216,4802,234216,,0,1,76ad8e4233c919a03e85ddd982edac30140b8910,0,0,0,0,0,
20210223,WY,53944,8164,179431,,totalTestsViral,625036,21,1373,,,,,52668,2/23/2021 00:00,2021-02-23T00:00:00Z,02/22 19:00,671,1373,,2021-02-23T00:00:00Z,625036,38552,581297,45780,,,,225177,,,,,,,,,,,56,44,0,233375,0,233375,,9,1,895bd2a53dd024230de8f5c78f1c1e36cb105611,0,0,0,0,0,
