date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,totalTestResults,lastModified,total,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash
20201012,56,7771210,103149743,11329,35070,424295,6807,21625,1665,2464,3106769,2020-10-12T00:00:00Z,206888,424295,118163343,2020-10-12T00:00:00Z,0,0,287,1189,889434,43124,1030422,b6124f7ec75aff443fc1d8405ac5bd612dad0750
20201011,56,7728086,102260309,11261,34490,423106,6679,21553,1646,2454,3075110,2020-10-11T00:00:00Z,206601,423106,117132921,2020-10-11T00:00:00Z,0,0,466,1015,803858,46946,989731,5de2c524eb1240f4f870d90f1edcabebae37e472
20201010,56,7681140,101456451,11223,34618,422091,6683,21512,1667,2451,3063007,2020-10-10T00:00:00Z,206135,422091,116143190,2020-10-10T00:00:00Z,0,0,665,1504,959373,57492,1186855,0854e8921afd4010c484c054123545c0e296f897
20201009,56,7623648,100497078,13078,34839,420587,6713,21389,1655,2437,3039089,2020-10-09T00:00:00Z,205470,420587,114956335,2020-10-09T00:00:00Z,0,0,893,1802,950718,57060,1124700,f3305461aabffc5feb3c2ff6580a3a7d245ac6d3
20201008,56,7566588,99546360,13087,34322,418785,6621,21217,1638,2427,3021252,2020-10-08T00:00:00Z,204577,418785,113831635,2020-10-08T00:00:00Z,0,0,986,2074,880813,55352,1069546,f08145fab6fc61ebd43bb221851a29508b819177
20201007,56,7511236,98665547,12269,32105,416711,6507,21112,1646,2410,2999895,2020-10-07T00:00:00Z,203591,416711,112762089,2020-10-07T00:00:00Z,0,0,916,2250,732692,50602,885721,a49d92a76732cc0f66e5d1ab6100d2df96374784
20201006,56,7460634,97932855,8680,31346,414461,6438,20973,1609,2388,2952390,2020-10-06T00:00:00Z,202675,414461,111876368,2020-10-06T00:00:00Z,0,0,634,-624,722475,38661,843202,821c5ddfeb5f2e7feb7388c856e9c5e69aa5d488
20201005,56,7421973,97210380,11544,30098,415085,6209,20812,1515,2370,2935196,2020-10-05T00:00:00Z,202041,415085,111033166,2020-10-05T00:00:00Z,0,0,326,1519,846256,38133,954754,789db01a924099d22078d4bd69db30c905781ef6
20201004,56,7383840,96364124,11471,29944,413566,5974,20729,1485,2362,2911789,2020-10-04T00:00:00Z,201715,413566,110078412,2020-10-04T00:00:00Z,0,0,363,649,824848,38439,988977,02a06103dc15be58c2d0fe013e3e854541628700
20201003,56,7345401,95539276,11464,30106,412917,5996,20686,1501,2358,2897350,2020-10-03T00:00:00Z,201352,412917,109089435,2020-10-03T00:00:00Z,0,0,741,1166,846390,51372,1031025,8cd28d37e9795846f28e008a99accd2aa2a44d25
20201002,56,7294029,94692886,10813,30697,411751,6106,20612,1533,2348,2873369,2020-10-02T00:00:00Z,200611,411751,108058410,2020-10-02T00:00:00Z,0,0,835,1342,977186,49534,1162288,cb83c5efb337e3501cdc9d30945b2e2e874a54bf
20201001,56,7244495,93715700,13003,30742,410409,6173,20492,1547,2334,2860650,2020-10-01T00:00:00Z,199776,410409,106896122,2020-10-01T00:00:00Z,0,0,851,1760,759865,45694,924261,4aa3af39f3df9fc2db745e206eb53ffc28a8ec0d
20200930,56,7198801,92955835,9431,30877,408649,6145,20390,1507,2319,2840747,2020-09-30T00:00:00Z,198925,408649,105971861,2020-09-30T00:00:00Z,0,0,1061,1590,674267,44424,837681,5627d8f56b8413c5ff9ac4f5e2369044a7bff8d1
20200929,56,7154377,92281568,7695,30391,407059,6106,20247,1495,2298,2813305,2020-09-29T00:00:00Z,197864,407059,105134180,2020-09-29T00:00:00Z,0,0,739,1733,707529,36947,839083,d563b72ddd9ddb69d3bfcaab9a04e32b5532576a
20200928,56,7117430,91574039,11112,29608,405326,5981,20121,1518,2285,2794608,2020-09-28T00:00:00Z,197125,405326,104295097,2020-09-28T00:00:00Z,0,0,257,1241,919021,36524,1138061,dabbbad7543e9307bde2d93a7dff2776b96ddac5
20200927,56,7080906,90655018,11136,29434,404085,6080,20050,1511,2277,2766304,2020-09-27T00:00:00Z,196868,404085,103157036,2020-09-27T00:00:00Z,0,0,307,760,669524,35454,862393,45ebf835be4c9c554b052c7362528ace0b79f690
20200926,56,7045452,89985494,11183,29554,403325,6057,20002,1509,2272,2750459,2020-09-26T00:00:00Z,196561,403325,102294643,2020-09-26T00:00:00Z,0,0,869,1154,889151,47856,1058588,e941241bcad664d2bd703893dada8b43fa9d1c90
20200925,56,6997596,89096343,10905,29769,402171,6133,19919,1506,2264,2727335,2020-09-25T00:00:00Z,195692,402171,101236055,2020-09-25T00:00:00Z,0,0,844,1331,877895,55526,1050883,69147989507e0ba2b7fca0ab6917ffc6324ae537
